====== 10 MeV H into Beryllium =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width = 15000.E+03 AAA ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Be       
----------   ------------  -----------  
150000.E+00  1255.43E-07  1267.89E-07  
300000.E+00  1246.05E-07  1262.83E-07  
450000.E+00  1842.61E-07  1860.71E-07  
600000.E+00  2082.69E-07  2101.23E-07  
750000.E+00  9998.61E-08  1018.28E-07  
900000.E+00  1167.91E-07  1186.41E-07  
105000.E+01  1054.36E-07  1073.46E-07  
120000.E+01  1822.28E-07  1841.00E-07  
135000.E+01  1244.19E-07  1264.29E-07  
150000.E+01  1191.99E-07  1211.13E-07  
165000.E+01  1721.74E-07  1740.84E-07  
180000.E+01  1445.79E-07  1465.81E-07  
195000.E+01  1264.00E-07  1283.78E-07  
210000.E+01  1009.56E-07  1030.02E-07  
225000.E+01  2469.00E-07  2489.56E-07  
240000.E+01  5199.48E-07  5220.56E-07  
255000.E+01  9386.37E-07  9408.11E-07  
270000.E+01  1075.80E-07  1096.52E-07  
285000.E+01  3913.37E-07  3935.19E-07  
300000.E+01  2623.80E-07  2647.32E-07  
315000.E+01  2736.51E-07  2758.93E-07  
330000.E+01  2393.27E-07  2416.21E-07  
345000.E+01  1257.47E-07  1280.21E-07  
360000.E+01  1430.93E-07  1455.27E-07  
375000.E+01  1436.84E-07  1462.40E-07  
390000.E+01  2010.36E-07  2034.12E-07  
405000.E+01  2394.83E-07  2420.27E-07  
420000.E+01  2581.76E-07  2607.90E-07  
435000.E+01  2132.73E-07  2159.47E-07  
450000.E+01  2142.67E-07  2169.47E-07  
465000.E+01  1640.62E-07  1668.68E-07  
480000.E+01  5893.26E-07  5921.60E-07  
495000.E+01  2130.75E-07  2160.49E-07  
510000.E+01  8520.03E-07  8550.65E-07  
525000.E+01  1702.19E-07  1733.81E-07  
540000.E+01  2284.28E-07  2315.76E-07  
555000.E+01  2441.85E-07  2475.57E-07  
570000.E+01  2093.28E-07  2127.58E-07  
585000.E+01  2154.82E-07  2190.58E-07  
600000.E+01  5178.66E-07  5215.56E-07  
615000.E+01  2558.78E-07  2597.44E-07  
630000.E+01  1170.24E-06  1174.34E-06  
645000.E+01  2131.95E-07  2173.51E-07  
660000.E+01  2291.86E-07  2338.30E-07  
675000.E+01  3504.13E-07  3550.91E-07  
690000.E+01  3847.45E-07  3898.33E-07  
705000.E+01  3984.75E-07  4040.41E-07  
720000.E+01  3791.85E-07  3849.45E-07  
735000.E+01  6120.34E-07  6187.88E-07  
750000.E+01  8123.75E-07  8203.69E-07  
765000.E+01  6979.38E-07  7074.18E-07  
780000.E+01  8239.73E-07  8385.37E-07  
795000.E+01  2435.49E-06  2475.24E-06  
810000.E+01  2813.51E-06  2879.55E-06  
825000.E+01  1021.97E-06  1047.53E-06  
840000.E+01  6928.12E-08  7158.32E-08  
855000.E+01  2997.09E-09  3077.09E-09  
870000.E+01  0000.00E+00  0000.00E+00  
885000.E+01  0000.00E+00  0000.00E+00  
900000.E+01  0000.00E+00  0000.00E+00  
915000.E+01  0000.00E+00  0000.00E+00  
930000.E+01  0000.00E+00  0000.00E+00  
945000.E+01  0000.00E+00  0000.00E+00  
960000.E+01  0000.00E+00  0000.00E+00  
975000.E+01  0000.00E+00  0000.00E+00  
990000.E+01  0000.00E+00  0000.00E+00  
100500.E+02  0000.00E+00  0000.00E+00  
102000.E+02  0000.00E+00  0000.00E+00  
103500.E+02  0000.00E+00  0000.00E+00  
105000.E+02  0000.00E+00  0000.00E+00  
106500.E+02  0000.00E+00  0000.00E+00  
108000.E+02  0000.00E+00  0000.00E+00  
109500.E+02  0000.00E+00  0000.00E+00  
111000.E+02  0000.00E+00  0000.00E+00  
112500.E+02  0000.00E+00  0000.00E+00  
114000.E+02  0000.00E+00  0000.00E+00  
115500.E+02  0000.00E+00  0000.00E+00  
117000.E+02  0000.00E+00  0000.00E+00  
118500.E+02  0000.00E+00  0000.00E+00  
120000.E+02  0000.00E+00  0000.00E+00  
121500.E+02  0000.00E+00  0000.00E+00  
123000.E+02  0000.00E+00  0000.00E+00  
124500.E+02  0000.00E+00  0000.00E+00  
126000.E+02  0000.00E+00  0000.00E+00  
127500.E+02  0000.00E+00  0000.00E+00  
129000.E+02  0000.00E+00  0000.00E+00  
130500.E+02  0000.00E+00  0000.00E+00  
132000.E+02  0000.00E+00  0000.00E+00  
133500.E+02  0000.00E+00  0000.00E+00  
135000.E+02  0000.00E+00  0000.00E+00  
136500.E+02  0000.00E+00  0000.00E+00  
138000.E+02  0000.00E+00  0000.00E+00  
139500.E+02  0000.00E+00  0000.00E+00  
141000.E+02  0000.00E+00  0000.00E+00  
142500.E+02  0000.00E+00  0000.00E+00  
144000.E+02  0000.00E+00  0000.00E+00  
145500.E+02  0000.00E+00  0000.00E+00  
147000.E+02  0000.00E+00  0000.00E+00  
148500.E+02  0000.00E+00  0000.00E+00  
150000.E+02  0000.00E+00  0000.00E+00  
