====== 10 MeV H into Beryllium =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Beryllium
Layer Width = 15000.E+03 A ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E+00  6996.43E-04  2256.80E-08
300000.E+00  7056.51E-04  5285.32E-08
450000.E+00  7142.00E-04  7553.77E-08
600000.E+00  7199.04E-04  1712.40E-07
750000.E+00  7238.97E-04  2441.76E-08
900000.E+00  7313.81E-04  4295.12E-08
105000.E+01  7385.87E-04  2868.10E-08
120000.E+01  7464.84E-04  8026.71E-08
135000.E+01  7528.54E-04  6008.32E-08
150000.E+01  7606.69E-04  2549.53E-08
165000.E+01  7692.40E-04  9120.02E-08
180000.E+01  7775.31E-04  7030.00E-08
195000.E+01  7845.00E-04  5544.55E-08
210000.E+01  7942.07E-04  2153.19E-08
225000.E+01  8037.24E-04  1440.97E-07
240000.E+01  8127.59E-04  6500.82E-08
255000.E+01  8251.68E-04  1190.89E-06
270000.E+01  8362.13E-04  2822.93E-08
285000.E+01  8426.55E-04  3302.93E-08
300000.E+01  8543.66E-04  4339.28E-07
315000.E+01  8657.99E-04  1346.32E-07
330000.E+01  8790.23E-04  1635.82E-07
345000.E+01  8918.59E-04  4038.70E-08
360000.E+01  9041.37E-04  4671.32E-08
375000.E+01  9194.73E-04  4472.80E-08
390000.E+01  9348.55E-04  7733.40E-08
405000.E+01  9503.96E-04  1305.90E-07
420000.E+01  9644.76E-04  1377.33E-07
435000.E+01  9826.71E-04  9008.22E-08
450000.E+01  1001.65E-03  9604.61E-08
465000.E+01  1021.44E-03  6899.06E-08
480000.E+01  1042.35E-03  4593.99E-07
495000.E+01  1064.85E-03  6494.35E-08
510000.E+01  1088.60E-03  7206.54E-07
525000.E+01  1112.85E-03  5276.31E-08
540000.E+01  1141.58E-03  8715.03E-08
555000.E+01  1171.59E-03  1069.79E-07
570000.E+01  1202.52E-03  6159.14E-08
585000.E+01  1237.74E-03  5510.08E-08
600000.E+01  1279.14E-03  3694.24E-07
615000.E+01  1322.83E-03  9014.48E-08
630000.E+01  1371.11E-03  1007.80E-06
645000.E+01  1425.25E-03  6130.46E-08
660000.E+01  1487.05E-03  6298.14E-08
675000.E+01  1559.27E-03  1401.25E-07
690000.E+01  1645.31E-03  1756.24E-07
705000.E+01  1748.56E-03  1958.16E-07
720000.E+01  1875.45E-03  9729.68E-08
735000.E+01  2040.59E-03  3613.25E-07
750000.E+01  2265.27E-03  4587.25E-07
765000.E+01  2604.94E-03  3147.00E-07
780000.E+01  3216.96E-03  2578.89E-07
795000.E+01  4084.77E-03  1076.15E-06
810000.E+01  3117.53E-03  8574.93E-07
825000.E+01  7671.74E-04  3201.46E-07
840000.E+01  5327.39E-05  1530.54E-08
855000.E+01  9518.12E-07  5833.46E-10
870000.E+01  0000.00E+00  0000.00E+00
885000.E+01  0000.00E+00  0000.00E+00
900000.E+01  0000.00E+00  0000.00E+00
915000.E+01  0000.00E+00  0000.00E+00
930000.E+01  0000.00E+00  0000.00E+00
945000.E+01  0000.00E+00  0000.00E+00
960000.E+01  0000.00E+00  0000.00E+00
975000.E+01  0000.00E+00  0000.00E+00
990000.E+01  0000.00E+00  0000.00E+00
100500.E+02  0000.00E+00  0000.00E+00
102000.E+02  0000.00E+00  0000.00E+00
103500.E+02  0000.00E+00  0000.00E+00
105000.E+02  0000.00E+00  0000.00E+00
106500.E+02  0000.00E+00  0000.00E+00
108000.E+02  0000.00E+00  0000.00E+00
109500.E+02  0000.00E+00  0000.00E+00
111000.E+02  0000.00E+00  0000.00E+00
112500.E+02  0000.00E+00  0000.00E+00
114000.E+02  0000.00E+00  0000.00E+00
115500.E+02  0000.00E+00  0000.00E+00
117000.E+02  0000.00E+00  0000.00E+00
118500.E+02  0000.00E+00  0000.00E+00
120000.E+02  0000.00E+00  0000.00E+00
121500.E+02  0000.00E+00  0000.00E+00
123000.E+02  0000.00E+00  0000.00E+00
124500.E+02  0000.00E+00  0000.00E+00
126000.E+02  0000.00E+00  0000.00E+00
127500.E+02  0000.00E+00  0000.00E+00
129000.E+02  0000.00E+00  0000.00E+00
130500.E+02  0000.00E+00  0000.00E+00
132000.E+02  0000.00E+00  0000.00E+00
133500.E+02  0000.00E+00  0000.00E+00
135000.E+02  0000.00E+00  0000.00E+00
136500.E+02  0000.00E+00  0000.00E+00
138000.E+02  0000.00E+00  0000.00E+00
139500.E+02  0000.00E+00  0000.00E+00
141000.E+02  0000.00E+00  0000.00E+00
142500.E+02  0000.00E+00  0000.00E+00
144000.E+02  0000.00E+00  0000.00E+00
145500.E+02  0000.00E+00  0000.00E+00
147000.E+02  0000.00E+00  0000.00E+00
148500.E+02  0000.00E+00  0000.00E+00
150000.E+02  0000.00E+00  0000.00E+00
