====== 10 MeV H into Beryllium =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10000 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width = 15000.E+03 AAA ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 802728.E+01 A   Straggling = 129168.E+00 A
 Ion Lateral Range = 103144.E+00 A   Straggling = 150861.E+00 A
 Ion Radial  Range = 162808.E+00 A   Straggling = 145451.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1500000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4500000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7500000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9000000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1050000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1200000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1350000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1500000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1650000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1800000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1950000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2100000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2250000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2400000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2550000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2700000.E+00 14097441.E-02 14097441.E-02 38469911.E-01 00000000.E+00 
2850000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3150000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3300000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3450000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3600000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
