====== 10 MeV H into Beryllium =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width =     2.E+07 AAA ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 40 /Ion
 Total Target Displacements = 41 /Ion
 Total Target Replacement Collisions = 1 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
1500000.E-01   0000.000000
3000000.E-01   0000.000000
4500000.E-01   0000.000000
6000000.E-01   0000.000000
7500000.E-01   0000.000000
9000000.E-01   0000.000000
1050000.E+00   0000.000000
1200000.E+00   0000.000000
1350000.E+00   0000.000000
1500000.E+00   0000.000000
1650000.E+00   0000.000000
1800000.E+00   0000.000000
1950000.E+00   0000.000000
2100000.E+00   0000.000000
2250000.E+00   0000.000000
2400000.E+00   0000.000000
2550000.E+00   0000.000000
2700000.E+00   0000.000000
2850000.E+00   0000.000000
3000000.E+00   0000.000000
3150000.E+00   0000.000000
3300000.E+00   0000.000000
3450000.E+00   0000.000000
3600000.E+00   0000.000000
3750000.E+00   0000.000000
3900000.E+00   0000.000000
4050000.E+00   0000.000000
4200000.E+00   0000.000000
4350000.E+00   0000.000000
4500000.E+00   0000.000000
4650000.E+00   0000.000000
4800000.E+00   0000.000000
4950000.E+00   0000.000000
5100000.E+00   0000.000000
5250000.E+00   0000.000000
5400000.E+00   0000.000000
5550000.E+00   0000.000000
5700000.E+00   0000.000000
5850000.E+00   0000.000000
6000000.E+00   0000.000000
6150000.E+00   0000.000000
6300000.E+00   0000.000000
6450000.E+00   0000.000000
6600000.E+00   0000.000000
6750000.E+00   0000.000000
6900000.E+00   0000.000000
7050000.E+00   0000.000000
7200000.E+00   0000.000000
7350000.E+00   0000.000000
7500000.E+00   0000.000000
7650000.E+00   0000.000000
7800000.E+00   0000.000000
7950000.E+00   0000.000001
8100000.E+00   0000.000001
8250000.E+00   0000.000000
8400000.E+00   0000.000000
8550000.E+00   0000.000000
8700000.E+00   0000.000000
8850000.E+00   0000.000000
9000000.E+00   0000.000000
9150000.E+00   0000.000000
9300000.E+00   0000.000000
9450000.E+00   0000.000000
9600000.E+00   0000.000000
9750000.E+00   0000.000000
9900000.E+00   0000.000000
1005000.E+01   0000.000000
1020000.E+01   0000.000000
1035000.E+01   0000.000000
1050000.E+01   0000.000000
1065000.E+01   0000.000000
1080000.E+01   0000.000000
1095000.E+01   0000.000000
1110000.E+01   0000.000000
1125000.E+01   0000.000000
1140000.E+01   0000.000000
1155000.E+01   0000.000000
1170000.E+01   0000.000000
1185000.E+01   0000.000000
1200000.E+01   0000.000000
1215000.E+01   0000.000000
1230000.E+01   0000.000000
1245000.E+01   0000.000000
1260000.E+01   0000.000000
1275000.E+01   0000.000000
1290000.E+01   0000.000000
1305000.E+01   0000.000000
1320000.E+01   0000.000000
1335000.E+01   0000.000000
1350000.E+01   0000.000000
1365000.E+01   0000.000000
1380000.E+01   0000.000000
1395000.E+01   0000.000000
1410000.E+01   0000.000000
1425000.E+01   0000.000000
1440000.E+01   0000.000000
1455000.E+01   0000.000000
1470000.E+01   0000.000000
1485000.E+01   0000.000000
1500000.E+01   0000.000000
