====== 10 MeV H into Beryllium =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width =     2.E+07 AAA ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
150000.E+00  458181.E-10  618017.E-10
300000.E+00  467367.E-10  935269.E-10
450000.E+00  461829.E-10  939781.E-10
600000.E+00  467013.E-10  108629.E-09
750000.E+00  475566.E-10  824034.E-10
900000.E+00  480432.E-10  996593.E-10
105000.E+01  484399.E-10  837535.E-10
120000.E+01  486573.E-10  100986.E-09
135000.E+01  497239.E-10  108247.E-09
150000.E+01  503893.E-10  887304.E-10
165000.E+01  510785.E-10  105296.E-09
180000.E+01  516108.E-10  105782.E-09
195000.E+01  517709.E-10  929823.E-10
210000.E+01  532785.E-10  820036.E-10
225000.E+01  526791.E-10  127129.E-09
240000.E+01  547372.E-10  112050.E-09
255000.E+01  558401.E-10  142249.E-09
270000.E+01  569123.E-10  938340.E-10
285000.E+01  570017.E-10  105275.E-09
300000.E+01  571511.E-10  111984.E-09
315000.E+01  587609.E-10  135616.E-09
330000.E+01  604109.E-10  132733.E-09
345000.E+01  611559.E-10  107844.E-09
360000.E+01  615069.E-10  119547.E-09
375000.E+01  625282.E-10  119191.E-09
390000.E+01  638704.E-10  119247.E-09
405000.E+01  652591.E-10  149074.E-09
420000.E+01  665998.E-10  136786.E-09
435000.E+01  684389.E-10  142873.E-09
450000.E+01  698855.E-10  145983.E-09
465000.E+01  714927.E-10  140437.E-09
480000.E+01  738214.E-10  153883.E-09
495000.E+01  749095.E-10  143750.E-09
510000.E+01  774729.E-10  189751.E-09
525000.E+01  794562.E-10  144405.E-09
540000.E+01  826626.E-10  161623.E-09
555000.E+01  853289.E-10  166569.E-09
570000.E+01  868724.E-10  171957.E-09
585000.E+01  907383.E-10  164041.E-09
600000.E+01  936339.E-10  223170.E-09
615000.E+01  982730.E-10  185419.E-09
630000.E+01  102500.E-09  213025.E-09
645000.E+01  107847.E-09  190159.E-09
660000.E+01  113615.E-09  197766.E-09
675000.E+01  121171.E-09  235745.E-09
690000.E+01  129163.E-09  265521.E-09
705000.E+01  139306.E-09  261799.E-09
720000.E+01  152839.E-09  273488.E-09
735000.E+01  167624.E-09  348497.E-09
750000.E+01  193243.E-09  431570.E-09
765000.E+01  231698.E-09  467092.E-09
780000.E+01  337870.E-09  648492.E-09
795000.E+01  804716.E-09  163317.E-08
810000.E+01  122909.E-08  237244.E-08
825000.E+01  461838.E-09  857985.E-09
840000.E+01  401818.E-10  686314.E-10
855000.E+01  119785.E-11  279863.E-11
870000.E+01  000000.E+00  000000.E+00
885000.E+01  000000.E+00  000000.E+00
900000.E+01  000000.E+00  000000.E+00
915000.E+01  000000.E+00  000000.E+00
930000.E+01  000000.E+00  000000.E+00
945000.E+01  000000.E+00  000000.E+00
960000.E+01  000000.E+00  000000.E+00
975000.E+01  000000.E+00  000000.E+00
990000.E+01  000000.E+00  000000.E+00
100500.E+02  000000.E+00  000000.E+00
102000.E+02  000000.E+00  000000.E+00
103500.E+02  000000.E+00  000000.E+00
105000.E+02  000000.E+00  000000.E+00
106500.E+02  000000.E+00  000000.E+00
108000.E+02  000000.E+00  000000.E+00
109500.E+02  000000.E+00  000000.E+00
111000.E+02  000000.E+00  000000.E+00
112500.E+02  000000.E+00  000000.E+00
114000.E+02  000000.E+00  000000.E+00
115500.E+02  000000.E+00  000000.E+00
117000.E+02  000000.E+00  000000.E+00
118500.E+02  000000.E+00  000000.E+00
120000.E+02  000000.E+00  000000.E+00
121500.E+02  000000.E+00  000000.E+00
123000.E+02  000000.E+00  000000.E+00
124500.E+02  000000.E+00  000000.E+00
126000.E+02  000000.E+00  000000.E+00
127500.E+02  000000.E+00  000000.E+00
129000.E+02  000000.E+00  000000.E+00
130500.E+02  000000.E+00  000000.E+00
132000.E+02  000000.E+00  000000.E+00
133500.E+02  000000.E+00  000000.E+00
135000.E+02  000000.E+00  000000.E+00
136500.E+02  000000.E+00  000000.E+00
138000.E+02  000000.E+00  000000.E+00
139500.E+02  000000.E+00  000000.E+00
141000.E+02  000000.E+00  000000.E+00
142500.E+02  000000.E+00  000000.E+00
144000.E+02  000000.E+00  000000.E+00
145500.E+02  000000.E+00  000000.E+00
147000.E+02  000000.E+00  000000.E+00
148500.E+02  000000.E+00  000000.E+00
150000.E+02  000000.E+00  000000.E+00
