====== 10 MeV H into Beryllium =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 10000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width =     2.E+07 A   Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   802.7E+04 A   Straggling =   129.2E+03 A
 Ion Lateral Range =   103.1E+03 A   Straggling =   150.9E+03 A
 Ion Radial  Range =   162.8E+03 A   Straggling =   145.5E+03 A
====================================================================
 Range Skewne- = -009.0897  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 328.7907  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H         Be    
   (Ang.)       Ions     Tgt. Atoms
-----------  ----------  ----------
150000.E+00  0.0000E+00  1.2347E+02
300000.E+00  0.0000E+00  1.8580E+02
450000.E+00  0.0000E+00  1.8900E+02
600000.E+00  0.0000E+00  2.1660E+02
750000.E+00  0.0000E+00  1.6293E+02
900000.E+00  0.0000E+00  1.9960E+02
105000.E+01  0.0000E+00  1.6047E+02
120000.E+01  0.0000E+00  2.0120E+02
135000.E+01  0.0000E+00  2.1673E+02
150000.E+01  0.0000E+00  1.7627E+02
165000.E+01  0.0000E+00  2.0873E+02
180000.E+01  0.0000E+00  2.0647E+02
195000.E+01  0.0000E+00  1.8340E+02
210000.E+01  0.0000E+00  1.6160E+02
225000.E+01  0.0000E+00  2.5227E+02
240000.E+01  0.0000E+00  2.2433E+02
255000.E+01  0.0000E+00  2.8133E+02
270000.E+01  6.6667E-02  1.8047E+02
285000.E+01  0.0000E+00  2.0627E+02
300000.E+01  0.0000E+00  2.1833E+02
315000.E+01  0.0000E+00  2.6853E+02
330000.E+01  0.0000E+00  2.5953E+02
345000.E+01  0.0000E+00  2.1033E+02
360000.E+01  0.0000E+00  2.3773E+02
375000.E+01  0.0000E+00  2.3273E+02
390000.E+01  0.0000E+00  2.3220E+02
405000.E+01  0.0000E+00  2.9527E+02
420000.E+01  0.0000E+00  2.6927E+02
435000.E+01  0.0000E+00  2.8420E+02
450000.E+01  0.0000E+00  2.8820E+02
465000.E+01  0.0000E+00  2.7687E+02
480000.E+01  0.0000E+00  3.0313E+02
495000.E+01  0.0000E+00  2.8220E+02
510000.E+01  0.0000E+00  3.7220E+02
525000.E+01  0.0000E+00  2.8427E+02
540000.E+01  0.0000E+00  3.1660E+02
555000.E+01  1.3333E-01  3.3093E+02
570000.E+01  0.0000E+00  3.4160E+02
585000.E+01  0.0000E+00  3.2520E+02
600000.E+01  0.0000E+00  4.3893E+02
615000.E+01  6.6667E-02  3.6527E+02
630000.E+01  0.0000E+00  4.2093E+02
645000.E+01  0.0000E+00  3.7153E+02
660000.E+01  6.6667E-02  3.9467E+02
675000.E+01  0.0000E+00  4.5913E+02
690000.E+01  0.0000E+00  5.3213E+02
705000.E+01  0.0000E+00  5.1647E+02
720000.E+01  6.6667E-02  5.4093E+02
735000.E+01  6.6667E-02  6.8680E+02
750000.E+01  1.3333E-01  8.6747E+02
765000.E+01  4.0000E-01  9.3287E+02
780000.E+01  1.1333E+01  1.3044E+03
795000.E+01  1.4067E+02  3.4012E+03
810000.E+01  3.4653E+02  5.0617E+03
825000.E+01  1.5267E+02  1.8490E+03
840000.E+01  1.4000E+01  1.5013E+02
855000.E+01  4.6667E-01  6.1333E+00
870000.E+01  0.0000E+00  0.0000E+00
885000.E+01  0.0000E+00  0.0000E+00
900000.E+01  0.0000E+00  0.0000E+00
915000.E+01  0.0000E+00  0.0000E+00
930000.E+01  0.0000E+00  0.0000E+00
945000.E+01  0.0000E+00  0.0000E+00
960000.E+01  0.0000E+00  0.0000E+00
975000.E+01  0.0000E+00  0.0000E+00
990000.E+01  0.0000E+00  0.0000E+00
100500.E+02  0.0000E+00  0.0000E+00
102000.E+02  0.0000E+00  0.0000E+00
103500.E+02  0.0000E+00  0.0000E+00
105000.E+02  0.0000E+00  0.0000E+00
106500.E+02  0.0000E+00  0.0000E+00
108000.E+02  0.0000E+00  0.0000E+00
109500.E+02  0.0000E+00  0.0000E+00
111000.E+02  0.0000E+00  0.0000E+00
112500.E+02  0.0000E+00  0.0000E+00
114000.E+02  0.0000E+00  0.0000E+00
115500.E+02  0.0000E+00  0.0000E+00
117000.E+02  0.0000E+00  0.0000E+00
118500.E+02  0.0000E+00  0.0000E+00
120000.E+02  0.0000E+00  0.0000E+00
121500.E+02  0.0000E+00  0.0000E+00
123000.E+02  0.0000E+00  0.0000E+00
124500.E+02  0.0000E+00  0.0000E+00
126000.E+02  0.0000E+00  0.0000E+00
127500.E+02  0.0000E+00  0.0000E+00
129000.E+02  0.0000E+00  0.0000E+00
130500.E+02  0.0000E+00  0.0000E+00
132000.E+02  0.0000E+00  0.0000E+00
133500.E+02  0.0000E+00  0.0000E+00
135000.E+02  0.0000E+00  0.0000E+00
136500.E+02  0.0000E+00  0.0000E+00
138000.E+02  0.0000E+00  0.0000E+00
139500.E+02  0.0000E+00  0.0000E+00
141000.E+02  0.0000E+00  0.0000E+00
142500.E+02  0.0000E+00  0.0000E+00
144000.E+02  0.0000E+00  0.0000E+00
145500.E+02  0.0000E+00  0.0000E+00
147000.E+02  0.0000E+00  0.0000E+00
148500.E+02  0.0000E+00  0.0000E+00
150000.E+02  0.0000E+00  0.0000E+00
