============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Beryllium
  Layer # 1 - Bottom Depth=150000.E+02 A
  Layer # 1 - Density =0001.8480 g/cm3
  Layer # 1 -  100 % of Be
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   8.0302E+06 -2.2750E+04  1.5208E+04
0000002   7.8213E+06 -1.3037E+04  9.7466E+04
0000003   7.9553E+06  1.3806E+05  8.4361E+03
0000004   7.8203E+06  4.3560E+04 -2.1286E+05
0000005   8.0331E+06 -3.0099E+05 -1.6804E+05
0000006   7.9240E+06  9.9990E+03  5.4731E+04
0000007   7.9686E+06  2.1471E+05 -1.6258E+05
0000008   7.9254E+06  1.2165E+05  1.9832E+05
0000009   8.0258E+06 -1.1113E+05 -1.4266E+05
0000010   8.0180E+06 -1.1598E+05 -6.1636E+02
0000011   7.9444E+06 -8.6789E+04 -1.4314E+05
0000012   8.1880E+06 -1.4559E+05 -1.3645E+05
0000013   8.1555E+06  1.2639E+04  7.1347E+04
0000014   7.9173E+06  3.1170E+04  1.0551E+05
0000015   7.9256E+06 -1.9294E+05 -1.8132E+04
0000016   8.0082E+06 -1.6910E+05 -4.6073E+03
0000017   7.9329E+06 -3.8174E+05  4.9373E+05
0000018   8.2543E+06  4.4932E+05  5.2350E+04
0000019   8.1017E+06 -5.4527E+04  2.3127E+04
0000020   7.9573E+06  8.6370E+04  7.9298E+04
0000021   8.0868E+06 -3.5067E+04 -1.4618E+05
0000022   8.0360E+06 -1.6418E+05 -2.8595E+03
0000023   8.0464E+06  5.1851E+03 -1.1893E+05
0000024   8.0162E+06  1.4037E+05 -2.8095E+04
0000025   8.0822E+06  1.0406E+05  1.2428E+05
0000026   7.9948E+06 -7.0738E+04  3.8152E+05
0000027   8.1179E+06  1.2530E+05  3.2407E+04
0000028   7.9428E+06  1.3328E+05  2.5321E+05
0000029   7.8536E+06 -7.2155E+04 -1.2486E+05
0000030   7.9595E+06  5.3926E+04  2.1741E+05
0000031   7.9449E+06  2.3337E+04  3.5822E+04
0000032   8.0762E+06  2.0600E+04 -6.3638E+04
0000033   7.7823E+06 -1.4136E+05 -6.5593E+04
0000034   8.1793E+06 -1.3883E+04 -3.9459E+04
0000035   8.1642E+06  4.4911E+04 -3.1479E+04
0000036   8.2160E+06  9.5904E+04  2.1895E+04
0000037   8.0586E+06 -6.6336E+04  6.2533E+04
0000038   8.2281E+06 -1.5012E+05 -9.5188E+04
0000039   7.8325E+06 -1.5376E+05 -1.3420E+05
0000040   8.1090E+06  1.2449E+05  6.8257E+04
0000041   7.9637E+06  1.0551E+05  1.5434E+05
0000042   8.0197E+06  1.7271E+05 -1.7392E+02
0000043   8.0527E+06 -1.9568E+05 -3.1888E+04
0000044   7.9610E+06 -1.3093E+03  8.0805E+04
0000045   8.1721E+06  5.4634E+04 -4.6883E+04
0000046   7.9607E+06 -8.8265E+04 -2.0648E+04
0000047   8.1709E+06 -6.1838E+04  1.2101E+05
0000048   8.0523E+06  1.1006E+05 -4.4034E+04
0000049   8.0637E+06  2.4438E+05 -3.4418E+04
0000050   7.9828E+06  3.3358E+04  8.1375E+04
0000051   7.9425E+06 -1.9262E+04 -1.2993E+05
0000052   8.1892E+06 -2.5478E+04 -2.3201E+05
0000053   7.8864E+06 -5.0531E+04 -7.3257E+03
0000054   8.1035E+06 -4.0014E+04  1.1325E+05
0000055   7.7743E+06  4.5947E+04 -4.6406E+04
0000056   7.8382E+06  4.3624E+04  4.8771E+04
0000057   8.0026E+06  5.7932E+04 -6.9563E+05
0000058   7.9477E+06  8.5272E+04  1.3036E+05
0000059   8.1472E+06  6.9723E+04 -1.4190E+05
0000060   8.0873E+06 -2.2183E+04 -8.1730E+04
0000061   8.0639E+06 -4.1196E+04  8.8253E+04
0000062   8.0590E+06 -7.9429E+04 -2.5602E+04
0000063   7.9627E+06  1.9551E+05  1.1746E+05
0000064   8.0868E+06  2.8180E+04  1.9375E+05
0000065   8.2144E+06 -3.5828E+04 -1.8356E+03
0000066   7.9370E+06 -1.7258E+04  1.3731E+04
0000067   8.0882E+06  1.0604E+05  5.0299E+04
0000068   8.1509E+06 -2.0626E+05 -1.3183E+05
0000069   8.0985E+06  1.2317E+05 -1.8448E+04
0000070   7.9766E+06 -2.1712E+05  1.5979E+05
0000071   7.9497E+06  3.5240E+04 -1.0464E+05
0000072   8.0648E+06  6.6651E+04 -2.2578E+05
0000073   7.9498E+06  5.8698E+04  2.2285E+05
0000074   8.0452E+06  2.6565E+04  2.4478E+05
0000075   8.0911E+06  1.8531E+04  1.4854E+05
0000076   8.0615E+06  1.0088E+05  1.9095E+05
0000077   7.9686E+06 -1.5695E+05  2.7689E+04
0000078   7.9295E+06  1.1439E+04  1.3061E+05
0000079   7.9850E+06 -5.9920E+04 -4.9076E+04
0000080   7.9841E+06  3.5277E+04 -2.4277E+04
0000081   8.0674E+06 -9.1893E+04 -1.9676E+05
0000082   8.0261E+06  4.9292E+04 -4.9592E+04
0000083   7.9896E+06  4.3204E+04  3.5500E+05
0000084   8.0330E+06 -5.5426E+04  1.5042E+03
0000085   8.1436E+06 -1.8695E+05 -3.8109E+03
0000086   7.9129E+06 -1.6483E+05  5.6356E+03
0000087   8.0873E+06 -3.3369E+04  8.9551E+04
0000088   7.9678E+06 -1.6558E+04 -3.3036E+04
0000089   7.9639E+06  1.5238E+05  3.5405E+04
0000090   7.8743E+06 -1.4459E+05  1.2164E+04
0000091   8.2226E+06 -1.2276E+05 -1.9239E+05
0000092   7.9716E+06 -5.4570E+04 -4.1208E+04
0000093   8.1456E+06  3.5565E+04 -2.7809E+05
0000094   7.9736E+06 -1.1539E+04 -1.8152E+05
0000095   8.0413E+06 -4.5248E+04 -7.7054E+04
0000096   8.0646E+06  2.4734E+04  1.3727E+05
0000097   8.1006E+06 -7.9784E+04 -8.7808E+04
0000098   8.1917E+06 -6.3810E+04  3.2198E+04
0000099   8.2663E+06  1.9284E+05  2.3546E+04
0000100   8.0320E+06  1.5206E+05  5.2754E+04
0000101   7.8294E+06 -1.2136E+05 -7.8905E+04
0000102   8.1342E+06  5.3167E+04  2.1393E+05
0000103   7.9877E+06 -6.7274E+04  9.0055E+04
0000104   8.0380E+06 -2.9093E+05  1.5050E+05
0000105   7.9677E+06 -8.0194E+04 -8.6431E+04
0000106   8.1315E+06  9.2261E+03 -3.1012E+04
