====== 10 MeV H into Beryllium =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width =     2.E+07 A ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 40 /Ion
 Total Target Displacements = 41 /Ion
 Total Target Replacement Collisions = 1 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Be       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
150000.E+00  4153.33E-10  1198.67E-09  
300000.E+00  5593.33E-10  1804.00E-09  
450000.E+00  6033.33E-10  1830.67E-09  
600000.E+00  6180.00E-10  2095.33E-09  
750000.E+00  6140.00E-10  1588.00E-09  
900000.E+00  6166.67E-10  1935.33E-09  
105000.E+01  6366.67E-10  1558.67E-09  
120000.E+01  6240.00E-10  1962.67E-09  
135000.E+01  6700.00E-10  2106.00E-09  
150000.E+01  6380.00E-10  1713.33E-09  
165000.E+01  6366.67E-10  2026.67E-09  
180000.E+01  6673.33E-10  2010.67E-09  
195000.E+01  6593.33E-10  1784.67E-09  
210000.E+01  6820.00E-10  1576.00E-09  
225000.E+01  6853.33E-10  2457.33E-09  
240000.E+01  7026.67E-10  2197.33E-09  
255000.E+01  7246.67E-10  2739.33E-09  
270000.E+01  6906.67E-10  1759.33E-09  
285000.E+01  7273.33E-10  2004.67E-09  
300000.E+01  7840.00E-10  2130.67E-09  
315000.E+01  7473.33E-10  2618.67E-09  
330000.E+01  7646.67E-10  2535.33E-09  
345000.E+01  7580.00E-10  2050.67E-09  
360000.E+01  8113.33E-10  2314.00E-09  
375000.E+01  8520.00E-10  2266.00E-09  
390000.E+01  7920.00E-10  2257.33E-09  
405000.E+01  8480.00E-10  2869.33E-09  
420000.E+01  8713.33E-10  2622.00E-09  
435000.E+01  8913.33E-10  2757.33E-09  
450000.E+01  8933.33E-10  2804.67E-09  
465000.E+01  9353.33E-10  2697.33E-09  
480000.E+01  9446.67E-10  2945.33E-09  
495000.E+01  9913.33E-10  2734.00E-09  
510000.E+01  1020.67E-09  3614.67E-09  
525000.E+01  1054.00E-09  2766.00E-09  
540000.E+01  1049.33E-09  3090.67E-09  
555000.E+01  1124.00E-09  3205.33E-09  
570000.E+01  1143.33E-09  3325.33E-09  
585000.E+01  1192.00E-09  3174.67E-09  
600000.E+01  1230.00E-09  4276.67E-09  
615000.E+01  1288.67E-09  3568.00E-09  
630000.E+01  1367.33E-09  4092.00E-09  
645000.E+01  1385.33E-09  3618.67E-09  
660000.E+01  1548.00E-09  3826.00E-09  
675000.E+01  1559.33E-09  4476.00E-09  
690000.E+01  1696.00E-09  5184.67E-09  
705000.E+01  1855.33E-09  5022.67E-09  
720000.E+01  1920.00E-09  5271.33E-09  
735000.E+01  2251.33E-09  6696.00E-09  
750000.E+01  2664.67E-09  8430.67E-09  
765000.E+01  3160.00E-09  9086.00E-09  
780000.E+01  4854.67E-09  1274.33E-08  
795000.E+01  1325.20E-08  3312.33E-08  
810000.E+01  2201.33E-08  4931.40E-08  
825000.E+01  8521.33E-09  1800.13E-08  
840000.E+01  7673.33E-10  1466.67E-09  
855000.E+01  2666.67E-11  5933.33E-11  
870000.E+01  0000.00E+00  0000.00E+00  
885000.E+01  0000.00E+00  0000.00E+00  
900000.E+01  0000.00E+00  0000.00E+00  
915000.E+01  0000.00E+00  0000.00E+00  
930000.E+01  0000.00E+00  0000.00E+00  
945000.E+01  0000.00E+00  0000.00E+00  
960000.E+01  0000.00E+00  0000.00E+00  
975000.E+01  0000.00E+00  0000.00E+00  
990000.E+01  0000.00E+00  0000.00E+00  
100500.E+02  0000.00E+00  0000.00E+00  
102000.E+02  0000.00E+00  0000.00E+00  
103500.E+02  0000.00E+00  0000.00E+00  
105000.E+02  0000.00E+00  0000.00E+00  
106500.E+02  0000.00E+00  0000.00E+00  
108000.E+02  0000.00E+00  0000.00E+00  
109500.E+02  0000.00E+00  0000.00E+00  
111000.E+02  0000.00E+00  0000.00E+00  
112500.E+02  0000.00E+00  0000.00E+00  
114000.E+02  0000.00E+00  0000.00E+00  
115500.E+02  0000.00E+00  0000.00E+00  
117000.E+02  0000.00E+00  0000.00E+00  
118500.E+02  0000.00E+00  0000.00E+00  
120000.E+02  0000.00E+00  0000.00E+00  
121500.E+02  0000.00E+00  0000.00E+00  
123000.E+02  0000.00E+00  0000.00E+00  
124500.E+02  0000.00E+00  0000.00E+00  
126000.E+02  0000.00E+00  0000.00E+00  
127500.E+02  0000.00E+00  0000.00E+00  
129000.E+02  0000.00E+00  0000.00E+00  
130500.E+02  0000.00E+00  0000.00E+00  
132000.E+02  0000.00E+00  0000.00E+00  
133500.E+02  0000.00E+00  0000.00E+00  
135000.E+02  0000.00E+00  0000.00E+00  
136500.E+02  0000.00E+00  0000.00E+00  
138000.E+02  0000.00E+00  0000.00E+00  
139500.E+02  0000.00E+00  0000.00E+00  
141000.E+02  0000.00E+00  0000.00E+00  
142500.E+02  0000.00E+00  0000.00E+00  
144000.E+02  0000.00E+00  0000.00E+00  
145500.E+02  0000.00E+00  0000.00E+00  
147000.E+02  0000.00E+00  0000.00E+00  
148500.E+02  0000.00E+00  0000.00E+00  
150000.E+02  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
