====== 2 MeV H into Silicon =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width = 80000.E+01 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Si       
----------   ------------  -----------  
800001.E-02  1264.80E-06  1267.32E-06  
160000.E-01  1096.81E-06  1107.86E-06  
240000.E-01  7821.03E-07  7991.53E-07  
320000.E-01  7634.37E-07  7784.12E-07  
400000.E-01  1447.55E-06  1464.05E-06  
480000.E-01  1402.20E-06  1418.30E-06  
560000.E-01  1406.86E-06  1421.66E-06  
640000.E-01  1295.51E-06  1312.06E-06  
720000.E-01  1061.47E-06  1077.14E-06  
800000.E-01  1316.82E-06  1333.64E-06  
880000.E-01  1490.45E-06  1508.05E-06  
960000.E-01  1145.44E-06  1161.77E-06  
104000.E+00  7364.23E-07  7540.23E-07  
112000.E+00  9582.67E-07  9754.17E-07  
120000.E+00  1446.79E-06  1464.19E-06  
128000.E+00  1256.52E-06  1274.07E-06  
136000.E+00  1027.43E-06  1045.51E-06  
144000.E+00  1100.73E-06  1117.83E-06  
152000.E+00  9032.68E-07  9211.93E-07  
160000.E+00  1617.48E-06  1635.68E-06  
168000.E+00  2116.18E-06  2135.13E-06  
176000.E+00  1775.02E-06  1793.70E-06  
184000.E+00  1220.08E-06  1239.28E-06  
192000.E+00  1401.23E-06  1422.18E-06  
200000.E+00  1420.21E-06  1441.81E-06  
208000.E+00  1355.53E-06  1376.98E-06  
216000.E+00  9606.10E-07  9814.60E-07  
224000.E+00  1220.19E-06  1241.62E-06  
232000.E+00  1530.45E-06  1552.03E-06  
240000.E+00  1439.25E-06  1462.03E-06  
248000.E+00  1164.28E-06  1186.66E-06  
256000.E+00  1321.56E-06  1346.56E-06  
264000.E+00  1505.50E-06  1529.28E-06  
272000.E+00  1275.48E-06  1299.33E-06  
280000.E+00  1560.42E-06  1586.89E-06  
288000.E+00  1994.27E-06  2018.42E-06  
296000.E+00  2451.46E-06  2477.48E-06  
304000.E+00  3788.11E-06  3816.54E-06  
312000.E+00  1763.62E-06  1792.02E-06  
320000.E+00  1547.14E-06  1576.02E-06  
328000.E+00  1939.24E-06  1969.67E-06  
336000.E+00  3259.99E-06  3290.67E-06  
344000.E+00  2864.52E-06  2896.34E-06  
352000.E+00  3436.19E-06  3469.99E-06  
360000.E+00  2521.55E-06  2557.10E-06  
368000.E+00  2343.40E-06  2379.85E-06  
376000.E+00  3309.59E-06  3347.66E-06  
384000.E+00  2868.77E-06  2908.92E-06  
392000.E+00  3103.64E-06  3145.54E-06  
400000.E+00  2965.09E-06  3011.19E-06  
408000.E+00  4428.25E-06  4476.15E-06  
416000.E+00  3383.40E-06  3437.80E-06  
424000.E+00  3375.09E-06  3433.07E-06  
432000.E+00  4619.93E-06  4686.66E-06  
440000.E+00  4035.76E-06  4108.26E-06  
448000.E+00  5255.10E-06  5342.72E-06  
456000.E+00  6274.58E-06  6383.26E-06  
464000.E+00  8260.78E-06  8419.48E-06  
472000.E+00  1575.19E-05  1608.28E-05  
480000.E+00  2112.09E-05  2171.44E-05  
488000.E+00  2019.66E-05  2083.14E-05  
496000.E+00  1002.85E-05  1037.70E-05  
504000.E+00  2392.64E-06  2475.74E-06  
512000.E+00  3237.18E-07  3346.68E-07  
520000.E+00  1511.94E-08  1574.44E-08  
528000.E+00  0000.00E+00  0000.00E+00  
536000.E+00  0000.00E+00  0000.00E+00  
544000.E+00  0000.00E+00  0000.00E+00  
552000.E+00  0000.00E+00  0000.00E+00  
560000.E+00  0000.00E+00  0000.00E+00  
568000.E+00  0000.00E+00  0000.00E+00  
576000.E+00  0000.00E+00  0000.00E+00  
584000.E+00  0000.00E+00  0000.00E+00  
592000.E+00  0000.00E+00  0000.00E+00  
600000.E+00  0000.00E+00  0000.00E+00  
608000.E+00  0000.00E+00  0000.00E+00  
616000.E+00  0000.00E+00  0000.00E+00  
624000.E+00  0000.00E+00  0000.00E+00  
632000.E+00  0000.00E+00  0000.00E+00  
640000.E+00  0000.00E+00  0000.00E+00  
648000.E+00  0000.00E+00  0000.00E+00  
656000.E+00  0000.00E+00  0000.00E+00  
664000.E+00  0000.00E+00  0000.00E+00  
672000.E+00  0000.00E+00  0000.00E+00  
680000.E+00  0000.00E+00  0000.00E+00  
688000.E+00  0000.00E+00  0000.00E+00  
696000.E+00  0000.00E+00  0000.00E+00  
704000.E+00  0000.00E+00  0000.00E+00  
712000.E+00  0000.00E+00  0000.00E+00  
720000.E+00  0000.00E+00  0000.00E+00  
728000.E+00  0000.00E+00  0000.00E+00  
736000.E+00  0000.00E+00  0000.00E+00  
744000.E+00  0000.00E+00  0000.00E+00  
752000.E+00  0000.00E+00  0000.00E+00  
760000.E+00  0000.00E+00  0000.00E+00  
768000.E+00  0000.00E+00  0000.00E+00  
776000.E+00  0000.00E+00  0000.00E+00  
784000.E+00  0000.00E+00  0000.00E+00  
792000.E+00  0000.00E+00  0000.00E+00  
800000.E+00  0000.00E+00  0000.00E+00  
