====== 2 MeV H into Silicon =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Silicon
Layer Width = 80000.E+01 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
800001.E-02  2608.28E-03  9666.77E-08
160000.E-01  2618.98E-03  3645.23E-07
240000.E-01  2641.38E-03  4576.13E-07
320000.E-01  2658.18E-03  1905.91E-07
400000.E-01  2681.41E-03  2423.37E-07
480000.E-01  2701.30E-03  5099.85E-07
560000.E-01  2717.50E-03  4474.91E-07
640000.E-01  2750.00E-03  1054.81E-06
720000.E-01  2769.15E-03  5097.91E-07
800000.E-01  2789.19E-03  2848.50E-07
880000.E-01  2814.06E-03  2330.23E-07
960000.E-01  2836.47E-03  1182.41E-06
104000.E+00  2862.76E-03  2717.34E-07
112000.E+00  2887.19E-03  2242.08E-07
120000.E+00  2910.59E-03  3337.80E-07
128000.E+00  2950.94E-03  6877.52E-07
136000.E+00  2970.17E-03  3959.88E-07
144000.E+00  2999.73E-03  2998.06E-07
152000.E+00  3028.79E-03  3307.82E-07
160000.E+00  3053.20E-03  8006.34E-07
168000.E+00  3083.01E-03  2643.19E-07
176000.E+00  3120.67E-03  1022.01E-06
184000.E+00  3157.55E-03  8073.69E-07
192000.E+00  3196.94E-03  4470.31E-07
200000.E+00  3231.88E-03  4407.82E-07
208000.E+00  3271.69E-03  7481.29E-07
216000.E+00  3307.65E-03  2636.29E-07
224000.E+00  3350.28E-03  3427.97E-07
232000.E+00  3397.84E-03  4745.99E-07
240000.E+00  3440.16E-03  4488.79E-07
248000.E+00  3491.97E-03  6167.82E-07
256000.E+00  3541.01E-03  3151.56E-07
264000.E+00  3589.96E-03  5369.62E-07
272000.E+00  3655.15E-03  4342.50E-07
280000.E+00  3719.01E-03  4314.80E-07
288000.E+00  3789.09E-03  7031.21E-07
296000.E+00  3849.16E-03  1187.53E-06
304000.E+00  3914.44E-03  1952.04E-06
312000.E+00  3980.51E-03  5891.52E-07
320000.E+00  4043.33E-03  5974.49E-07
328000.E+00  4118.48E-03  8273.84E-07
336000.E+00  4193.48E-03  7491.28E-07
344000.E+00  4289.84E-03  1452.60E-06
352000.E+00  4387.70E-03  1922.05E-06
360000.E+00  4496.59E-03  6698.17E-07
368000.E+00  4601.38E-03  1080.66E-06
376000.E+00  4725.11E-03  1320.24E-06
384000.E+00  4860.45E-03  8484.21E-07
392000.E+00  5018.89E-03  1275.75E-06
400000.E+00  5182.42E-03  9445.43E-07
408000.E+00  5373.73E-03  1891.28E-06
416000.E+00  5594.61E-03  1151.36E-06
424000.E+00  5861.08E-03  1257.46E-06
432000.E+00  6182.68E-03  1518.00E-06
440000.E+00  6556.52E-03  1262.40E-06
448000.E+00  7040.11E-03  1796.46E-06
456000.E+00  7678.80E-03  2283.39E-06
464000.E+00  8546.52E-03  2627.57E-06
472000.E+00  9244.97E-03  4906.05E-06
480000.E+00  8266.31E-03  6195.38E-06
488000.E+00  5036.94E-03  5672.59E-06
496000.E+00  1762.37E-03  2784.48E-06
504000.E+00  3195.14E-04  6817.73E-07
512000.E+00  3089.17E-05  9269.92E-08
520000.E+00  2029.95E-06  4253.40E-09
528000.E+00  0000.00E+00  0000.00E+00
536000.E+00  0000.00E+00  0000.00E+00
544000.E+00  0000.00E+00  0000.00E+00
552000.E+00  0000.00E+00  0000.00E+00
560000.E+00  0000.00E+00  0000.00E+00
568000.E+00  0000.00E+00  0000.00E+00
576000.E+00  0000.00E+00  0000.00E+00
584000.E+00  0000.00E+00  0000.00E+00
592000.E+00  0000.00E+00  0000.00E+00
600000.E+00  0000.00E+00  0000.00E+00
608000.E+00  0000.00E+00  0000.00E+00
616000.E+00  0000.00E+00  0000.00E+00
624000.E+00  0000.00E+00  0000.00E+00
632000.E+00  0000.00E+00  0000.00E+00
640000.E+00  0000.00E+00  0000.00E+00
648000.E+00  0000.00E+00  0000.00E+00
656000.E+00  0000.00E+00  0000.00E+00
664000.E+00  0000.00E+00  0000.00E+00
672000.E+00  0000.00E+00  0000.00E+00
680000.E+00  0000.00E+00  0000.00E+00
688000.E+00  0000.00E+00  0000.00E+00
696000.E+00  0000.00E+00  0000.00E+00
704000.E+00  0000.00E+00  0000.00E+00
712000.E+00  0000.00E+00  0000.00E+00
720000.E+00  0000.00E+00  0000.00E+00
728000.E+00  0000.00E+00  0000.00E+00
736000.E+00  0000.00E+00  0000.00E+00
744000.E+00  0000.00E+00  0000.00E+00
752000.E+00  0000.00E+00  0000.00E+00
760000.E+00  0000.00E+00  0000.00E+00
768000.E+00  0000.00E+00  0000.00E+00
776000.E+00  0000.00E+00  0000.00E+00
784000.E+00  0000.00E+00  0000.00E+00
792000.E+00  0000.00E+00  0000.00E+00
800000.E+00  0000.00E+00  0000.00E+00
