====== 2 MeV H into Silicon =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     8.E+05 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 51 /Ion
 Total Target Displacements = 55 /Ion
 Total Target Replacement Collisions = 4 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
8000010.E-03   0000.000000
1600001.E-02   0000.000003
2400001.E-02   0000.000003
3200001.E-02   0000.000002
4000001.E-02   0000.000002
4800001.E-02   0000.000003
5600001.E-02   0000.000002
6400001.E-02   0000.000004
7200001.E-02   0000.000003
8000001.E-02   0000.000003
8800001.E-02   0000.000002
9600001.E-02   0000.000005
1040000.E-01   0000.000002
1120000.E-01   0000.000002
1200000.E-01   0000.000002
1280000.E-01   0000.000004
1360000.E-01   0000.000003
1440000.E-01   0000.000002
1520000.E-01   0000.000003
1600000.E-01   0000.000004
1680000.E-01   0000.000002
1760000.E-01   0000.000004
1840000.E-01   0000.000003
1920000.E-01   0000.000004
2000000.E-01   0000.000004
2080000.E-01   0000.000005
2160000.E-01   0000.000003
2240000.E-01   0000.000002
2320000.E-01   0000.000003
2400000.E-01   0000.000003
2480000.E-01   0000.000005
2560000.E-01   0000.000003
2640000.E-01   0000.000004
2720000.E-01   0000.000004
2800000.E-01   0000.000004
2880000.E-01   0000.000005
2960000.E-01   0000.000004
3040000.E-01   0000.000008
3120000.E-01   0000.000004
3200000.E-01   0000.000004
3280000.E-01   0000.000005
3360000.E-01   0000.000005
3440000.E-01   0000.000007
3520000.E-01   0000.000008
3600000.E-01   0000.000005
3680000.E-01   0000.000006
3760000.E-01   0000.000009
3840000.E-01   0000.000006
3920000.E-01   0000.000008
4000000.E-01   0000.000008
4080000.E-01   0000.000010
4160000.E-01   0000.000009
4240000.E-01   0000.000010
4320000.E-01   0000.000011
4400000.E-01   0000.000011
4480000.E-01   0000.000014
4560000.E-01   0000.000017
4640000.E-01   0000.000022
4720000.E-01   0000.000043
4800000.E-01   0000.000064
4880000.E-01   0000.000061
4960000.E-01   0000.000030
5040000.E-01   0000.000008
5120000.E-01   0000.000001
5200000.E-01   0000.000000
5280000.E-01   0000.000000
5360000.E-01   0000.000000
5440000.E-01   0000.000000
5520000.E-01   0000.000000
5600000.E-01   0000.000000
5680000.E-01   0000.000000
5760000.E-01   0000.000000
5840000.E-01   0000.000000
5920000.E-01   0000.000000
6000000.E-01   0000.000000
6080000.E-01   0000.000000
6160000.E-01   0000.000000
6240000.E-01   0000.000000
6320000.E-01   0000.000000
6400000.E-01   0000.000000
6480000.E-01   0000.000000
6560000.E-01   0000.000000
6640000.E-01   0000.000000
6720000.E-01   0000.000000
6800000.E-01   0000.000000
6880000.E-01   0000.000000
6960000.E-01   0000.000000
7040000.E-01   0000.000000
7120000.E-01   0000.000000
7200000.E-01   0000.000000
7280000.E-01   0000.000000
7360000.E-01   0000.000000
7440000.E-01   0000.000000
7520000.E-01   0000.000000
7600000.E-01   0000.000000
7680000.E-01   0000.000000
7760000.E-01   0000.000000
7840000.E-01   0000.000000
7920000.E-01   0000.000000
8000000.E-01   0000.000000
