====== 2 MeV H into Silicon =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     8.E+05 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
800001.E-02  268975.E-09  166661.E-09
160000.E-01  248770.E-09  662047.E-09
240000.E-01  251323.E-09  883281.E-09
320000.E-01  254322.E-09  538678.E-09
400000.E-01  256048.E-09  664860.E-09
480000.E-01  262543.E-09  921315.E-09
560000.E-01  265799.E-09  682140.E-09
640000.E-01  267305.E-09  113617.E-08
720000.E-01  269380.E-09  988814.E-09
800000.E-01  269474.E-09  715805.E-09
880000.E-01  273924.E-09  707048.E-09
960000.E-01  276451.E-09  131458.E-08
104000.E+00  281342.E-09  731695.E-09
112000.E+00  288424.E-09  660140.E-09
120000.E+00  291557.E-09  805218.E-09
128000.E+00  294737.E-09  115259.E-08
136000.E+00  296415.E-09  902162.E-09
144000.E+00  303681.E-09  791611.E-09
152000.E+00  306313.E-09  805574.E-09
160000.E+00  310703.E-09  111290.E-08
168000.E+00  314991.E-09  723836.E-09
176000.E+00  319243.E-09  121159.E-08
184000.E+00  318952.E-09  112086.E-08
192000.E+00  326254.E-09  107625.E-08
200000.E+00  332628.E-09  103974.E-08
208000.E+00  341017.E-09  131733.E-08
216000.E+00  344132.E-09  784747.E-09
224000.E+00  354291.E-09  860524.E-09
232000.E+00  359934.E-09  108543.E-08
240000.E+00  365505.E-09  109840.E-08
248000.E+00  371211.E-09  126053.E-08
256000.E+00  377814.E-09  913634.E-09
264000.E+00  387530.E-09  124488.E-08
272000.E+00  401239.E-09  107559.E-08
280000.E+00  419508.E-09  114660.E-08
288000.E+00  420916.E-09  135065.E-08
296000.E+00  423311.E-09  138078.E-08
304000.E+00  430742.E-09  209029.E-08
312000.E+00  444517.E-09  140299.E-08
320000.E+00  459957.E-09  130476.E-08
328000.E+00  467575.E-09  145688.E-08
336000.E+00  488693.E-09  155512.E-08
344000.E+00  504346.E-09  201296.E-08
352000.E+00  520741.E-09  244050.E-08
360000.E+00  545150.E-09  160329.E-08
368000.E+00  571372.E-09  195734.E-08
376000.E+00  593377.E-09  229803.E-08
384000.E+00  629620.E-09  193466.E-08
392000.E+00  648874.E-09  236478.E-08
400000.E+00  688153.E-09  216778.E-08
408000.E+00  730356.E-09  294694.E-08
416000.E+00  773765.E-09  255237.E-08
424000.E+00  836347.E-09  277566.E-08
432000.E+00  928292.E-09  324256.E-08
440000.E+00  104959.E-08  314957.E-08
448000.E+00  117472.E-08  407812.E-08
456000.E+00  145180.E-08  493229.E-08
464000.E+00  205089.E-08  661755.E-08
472000.E+00  379818.E-08  126033.E-07
480000.E+00  649882.E-08  191272.E-07
488000.E+00  697413.E-08  188642.E-07
496000.E+00  380720.E-08  979614.E-08
504000.E+00  939940.E-09  236475.E-08
512000.E+00  115544.E-09  312395.E-09
520000.E+00  853095.E-11  152231.E-10
528000.E+00  000000.E+00  000000.E+00
536000.E+00  000000.E+00  000000.E+00
544000.E+00  000000.E+00  000000.E+00
552000.E+00  000000.E+00  000000.E+00
560000.E+00  000000.E+00  000000.E+00
568000.E+00  000000.E+00  000000.E+00
576000.E+00  000000.E+00  000000.E+00
584000.E+00  000000.E+00  000000.E+00
592000.E+00  000000.E+00  000000.E+00
600000.E+00  000000.E+00  000000.E+00
608000.E+00  000000.E+00  000000.E+00
616000.E+00  000000.E+00  000000.E+00
624000.E+00  000000.E+00  000000.E+00
632000.E+00  000000.E+00  000000.E+00
640000.E+00  000000.E+00  000000.E+00
648000.E+00  000000.E+00  000000.E+00
656000.E+00  000000.E+00  000000.E+00
664000.E+00  000000.E+00  000000.E+00
672000.E+00  000000.E+00  000000.E+00
680000.E+00  000000.E+00  000000.E+00
688000.E+00  000000.E+00  000000.E+00
696000.E+00  000000.E+00  000000.E+00
704000.E+00  000000.E+00  000000.E+00
712000.E+00  000000.E+00  000000.E+00
720000.E+00  000000.E+00  000000.E+00
728000.E+00  000000.E+00  000000.E+00
736000.E+00  000000.E+00  000000.E+00
744000.E+00  000000.E+00  000000.E+00
752000.E+00  000000.E+00  000000.E+00
760000.E+00  000000.E+00  000000.E+00
768000.E+00  000000.E+00  000000.E+00
776000.E+00  000000.E+00  000000.E+00
784000.E+00  000000.E+00  000000.E+00
792000.E+00  000000.E+00  000000.E+00
800000.E+00  000000.E+00  000000.E+00
