====== 2 MeV H into Silicon =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 2000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     8.E+05 A   Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   482.2E+03 A   Straggling =   125.5E+02 A
 Ion Lateral Range =   160.4E+02 A   Straggling =   227.7E+02 A
 Ion Radial  Range =   253.0E+02 A   Straggling =   202.3E+02 A
====================================================================
 Range Skewne- = -007.5044  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 148.0131  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H         Si    
   (Ang.)       Ions     Tgt. Atoms
-----------  ----------  ----------
800001.E-02  0.0000E+00  7.1000E+02
160000.E-01  0.0000E+00  3.1988E+03
240000.E-01  0.0000E+00  4.2288E+03
320000.E-01  0.0000E+00  2.4113E+03
400000.E-01  0.0000E+00  2.9625E+03
480000.E-01  0.0000E+00  4.1750E+03
560000.E-01  0.0000E+00  2.9675E+03
640000.E-01  0.0000E+00  5.1538E+03
720000.E-01  0.0000E+00  4.4525E+03
800000.E-01  0.0000E+00  3.1050E+03
880000.E-01  0.0000E+00  3.1525E+03
960000.E-01  0.0000E+00  6.1150E+03
104000.E+00  0.0000E+00  3.0938E+03
112000.E+00  0.0000E+00  2.8513E+03
120000.E+00  0.0000E+00  3.4950E+03
128000.E+00  1.2500E+00  5.2300E+03
136000.E+00  0.0000E+00  3.9688E+03
144000.E+00  0.0000E+00  3.3863E+03
152000.E+00  0.0000E+00  3.4450E+03
160000.E+00  0.0000E+00  4.9925E+03
168000.E+00  0.0000E+00  3.0175E+03
176000.E+00  0.0000E+00  5.4988E+03
184000.E+00  0.0000E+00  4.9038E+03
192000.E+00  0.0000E+00  4.7988E+03
200000.E+00  0.0000E+00  4.6850E+03
208000.E+00  1.2500E+00  5.9588E+03
216000.E+00  0.0000E+00  3.3363E+03
224000.E+00  0.0000E+00  3.4963E+03
232000.E+00  0.0000E+00  4.7825E+03
240000.E+00  0.0000E+00  4.7350E+03
248000.E+00  0.0000E+00  5.5775E+03
256000.E+00  0.0000E+00  3.9100E+03
264000.E+00  0.0000E+00  5.6113E+03
272000.E+00  1.2500E+00  4.5813E+03
280000.E+00  5.0000E+00  4.9638E+03
288000.E+00  0.0000E+00  6.0338E+03
296000.E+00  0.0000E+00  6.1825E+03
304000.E+00  1.2500E+00  9.6563E+03
312000.E+00  1.2500E+00  6.1888E+03
320000.E+00  1.2500E+00  5.7788E+03
328000.E+00  0.0000E+00  6.4075E+03
336000.E+00  0.0000E+00  6.9000E+03
344000.E+00  0.0000E+00  9.1900E+03
352000.E+00  0.0000E+00  1.1288E+04
360000.E+00  1.2500E+00  7.0288E+03
368000.E+00  2.5000E+00  8.8063E+03
376000.E+00  1.2500E+00  1.0525E+04
384000.E+00  6.2500E+00  8.4738E+03
392000.E+00  1.2500E+00  1.0741E+04
400000.E+00  1.2500E+00  9.7275E+03
408000.E+00  3.7500E+00  1.3456E+04
416000.E+00  2.5000E+00  1.1495E+04
424000.E+00  3.7500E+00  1.2453E+04
432000.E+00  1.0000E+01  1.4621E+04
440000.E+00  2.5000E+01  1.3901E+04
448000.E+00  2.0000E+01  1.8456E+04
456000.E+00  5.7500E+01  2.2245E+04
464000.E+00  2.1625E+02  2.9964E+04
472000.E+00  1.1313E+03  5.7413E+04
480000.E+00  3.2200E+03  8.6284E+04
488000.E+00  4.3025E+03  8.4066E+04
496000.E+00  2.6763E+03  4.2950E+04
504000.E+00  7.0250E+02  1.0365E+04
512000.E+00  9.6250E+01  1.3800E+03
520000.E+00  6.2500E+00  7.7500E+01
528000.E+00  0.0000E+00  0.0000E+00
536000.E+00  0.0000E+00  0.0000E+00
544000.E+00  0.0000E+00  0.0000E+00
552000.E+00  0.0000E+00  0.0000E+00
560000.E+00  0.0000E+00  0.0000E+00
568000.E+00  0.0000E+00  0.0000E+00
576000.E+00  0.0000E+00  0.0000E+00
584000.E+00  0.0000E+00  0.0000E+00
592000.E+00  0.0000E+00  0.0000E+00
600000.E+00  0.0000E+00  0.0000E+00
608000.E+00  0.0000E+00  0.0000E+00
616000.E+00  0.0000E+00  0.0000E+00
624000.E+00  0.0000E+00  0.0000E+00
632000.E+00  0.0000E+00  0.0000E+00
640000.E+00  0.0000E+00  0.0000E+00
648000.E+00  0.0000E+00  0.0000E+00
656000.E+00  0.0000E+00  0.0000E+00
664000.E+00  0.0000E+00  0.0000E+00
672000.E+00  0.0000E+00  0.0000E+00
680000.E+00  0.0000E+00  0.0000E+00
688000.E+00  0.0000E+00  0.0000E+00
696000.E+00  0.0000E+00  0.0000E+00
704000.E+00  0.0000E+00  0.0000E+00
712000.E+00  0.0000E+00  0.0000E+00
720000.E+00  0.0000E+00  0.0000E+00
728000.E+00  0.0000E+00  0.0000E+00
736000.E+00  0.0000E+00  0.0000E+00
744000.E+00  0.0000E+00  0.0000E+00
752000.E+00  0.0000E+00  0.0000E+00
760000.E+00  0.0000E+00  0.0000E+00
768000.E+00  0.0000E+00  0.0000E+00
776000.E+00  0.0000E+00  0.0000E+00
784000.E+00  0.0000E+00  0.0000E+00
792000.E+00  0.0000E+00  0.0000E+00
800000.E+00  0.0000E+00  0.0000E+00
