============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=800000.E+00 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.8454E+05 -1.6394E+04  1.6416E+04
0000002   4.7951E+05  3.1151E+04  1.9302E+04
0000003   4.9348E+05  7.3816E+03 -4.9716E+03
0000004   4.9591E+05  8.5470E+03  1.2738E+04
0000005   4.9041E+05 -2.8125E+03  5.9019E+03
0000006   4.8488E+05  1.5172E+04 -8.4629E+03
0000007   4.7182E+05 -1.1059E+04  3.1689E+04
0000008   4.8217E+05 -2.2013E+03  2.8075E+04
0000009   4.7565E+05 -2.5512E+04  5.7912E+04
0000010   4.8162E+05  2.3906E+04  1.2965E+04
0000011   4.9012E+05  2.0781E+04  4.5639E+04
0000012   4.8010E+05 -1.5521E+04 -3.0535E+04
0000013   4.7355E+05  2.0019E+04  3.4916E+03
0000014   4.8855E+05  7.6396E+03 -3.0398E+04
0000015   4.7800E+05 -8.0023E+03  9.9149E+03
0000016   4.7988E+05  1.7207E+03 -2.1209E+04
0000017   4.8899E+05 -4.8831E+04 -3.4922E+04
0000018   4.9187E+05  6.0788E+03 -7.1352E+03
0000019   4.8658E+05 -2.1565E+04  1.5374E+03
0000020   4.7111E+05  1.6388E+03  2.0905E+04
0000021   4.7629E+05  8.4151E+03 -1.3736E+04
0000022   5.0281E+05 -2.5847E+04  3.5367E+03
0000023   4.9956E+05  5.3337E+03  2.6393E+03
0000024   4.8581E+05  1.7298E+04 -1.7989E+04
0000025   4.7673E+05  9.5423E+03  7.3359E+03
0000026   4.7817E+05  4.9676E+04 -1.8051E+04
0000027   5.0088E+05 -6.0198E+03 -1.6062E+04
0000028   4.8578E+05 -3.9235E+03 -7.9440E+03
0000029   4.7442E+05  2.0890E+04 -1.8866E+04
0000030   4.7853E+05  1.4069E+03 -8.9760E+03
0000031   4.7837E+05  1.8485E+04  1.1099E+03
0000032   4.9010E+05 -1.6134E+04  1.1873E+04
0000033   4.8161E+05  1.9386E+03  6.3199E+03
0000034   4.8777E+05 -7.7974E+03  3.0320E+03
0000035   4.7272E+05 -1.2905E+04 -6.4720E+03
0000036   4.7654E+05 -3.8661E+03  1.7834E+04
0000037   4.7519E+05 -3.5461E+04  8.6692E+03
0000038   4.8489E+05 -2.1310E+03 -1.1182E+04
0000039   4.7429E+05  1.5880E+04  1.2672E+04
0000040   5.0072E+05  3.4745E+04 -9.5673E+03
0000041   4.6898E+05 -7.3447E+03 -4.1159E+04
0000042   4.7275E+05 -3.2853E+03 -1.6676E+03
0000043   4.8075E+05  1.6330E+04  6.5377E+03
0000044   4.9367E+05  5.9896E+04 -5.2147E+04
0000045   4.6928E+05  1.2060E+04 -1.3885E+04
0000046   4.8450E+05  3.9382E+04 -1.6223E+04
0000047   4.8100E+05 -4.1784E+03 -7.0993E+04
0000048   4.8206E+05 -8.4940E+03 -3.7803E+04
0000049   4.7475E+05 -1.8687E+04  8.1642E+03
0000050   4.8574E+05  1.8119E+04  1.9627E+04
0000051   4.6998E+05 -4.3077E+03  1.4068E+04
0000052   4.7699E+05 -1.6617E+04 -4.2434E+03
0000053   4.8053E+05  1.0285E+04 -9.1490E+02
0000054   4.7149E+05 -4.4980E+04 -1.7265E+04
0000055   4.6143E+05  1.5691E+04 -3.3254E+04
0000056   4.7226E+05  2.0605E+04 -8.2259E+03
0000057   4.7986E+05 -8.0629E+03 -2.0477E+03
0000058   4.8654E+05 -1.6393E+04  1.1771E+04
0000059   4.5949E+05 -8.9018E+04 -4.9763E+04
0000060   4.7954E+05 -4.6578E+03  7.4584E+03
0000061   4.8245E+05 -1.0270E+04  2.3509E+04
0000062   4.9360E+05 -3.5582E+03 -1.6012E+04
0000063   4.7586E+05  7.6112E+03  5.7159E+04
0000064   4.7465E+05  2.3082E+04  1.3012E+04
0000065   4.7318E+05  1.1232E+04 -1.6472E+04
0000066   4.7811E+05  1.1807E+04 -5.2528E+04
0000067   4.8523E+05  5.0234E+04  4.6086E+02
0000068   4.9494E+05 -1.6979E+04 -7.8995E+03
0000069   4.7522E+05 -2.4358E+03 -2.0559E+04
0000070   4.8076E+05  9.5093E+03 -8.0528E+03
0000071   4.6827E+05 -5.1850E+03 -2.5368E+04
0000072   4.8565E+05  4.2249E+03 -1.2753E+04
0000073   5.0819E+05  2.4421E+04 -7.4808E+03
0000074   4.9775E+05 -1.9617E+03 -2.5526E+04
0000075   4.7387E+05  2.0176E+04  3.8399E+03
0000076   4.9041E+05  1.8640E+04 -1.5979E+04
0000077   4.9331E+05  5.9511E+04  8.3344E+03
0000078   4.8730E+05 -2.2314E+04 -7.9900E+03
0000079   4.8309E+05  6.0916E+03  3.7842E+04
0000080   4.7530E+05 -8.0839E+03 -1.4852E+04
0000081   5.0017E+05 -8.6365E+03 -2.8637E+04
0000082   4.8065E+05  6.4801E+03  9.4306E+03
0000083   4.8102E+05 -1.9647E+04 -7.0542E+03
0000084   4.8081E+05 -1.0985E+04 -1.6624E+04
0000085   4.8810E+05 -1.3988E+03 -1.9716E+04
0000086   4.7318E+05 -9.0265E+03  1.7695E+04
0000087   4.7698E+05 -2.4088E+03 -1.6341E+03
0000088   4.9087E+05  1.5944E+04 -3.8074E+04
0000089   4.7619E+05 -1.1944E+03  4.2512E+04
0000090   4.9174E+05  9.5173E+03  1.4455E+04
0000091   4.8689E+05 -1.5001E+04 -1.8389E+04
0000092   4.9767E+05  4.0615E+03  2.5062E+04
0000093   4.8684E+05 -9.0760E+03 -1.1905E+04
0000094   4.7903E+05  1.2359E+04 -1.1434E+04
0000095   4.8059E+05 -2.8603E+04  1.8091E+04
0000096   4.8058E+05 -1.3820E+04 -1.5235E+04
0000097   4.8401E+05  5.8752E+02  8.3668E+03
0000098   4.8205E+05 -3.2009E+04 -2.6949E+04
0000099   4.7993E+05 -3.2255E+03 -7.4890E+03
0000100   4.7888E+05 -1.1352E+03 -1.6930E+04
0000101   4.8105E+05 -9.5072E+03 -3.8436E+02
0000102   4.9029E+05 -6.8597E+03  1.1146E+04
0000103   4.8058E+05 -3.9287E+04 -1.8660E+04
0000104   4.7562E+05  5.2315E+03 -2.4747E+04
0000105   4.7411E+05  2.9790E+04 -1.9773E+04
0000106   4.7367E+05  4.0825E+02  5.4998E+03
