====== 2 MeV H into Silicon =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     8.E+05 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 51 /Ion
 Total Target Displacements = 55 /Ion
 Total Target Replacement Collisions = 4 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Si       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
800001.E-02  1262.50E-09  6612.50E-09  
160000.E-01  5525.00E-09  2917.50E-08  
240000.E-01  8525.00E-09  3913.75E-08  
320000.E-01  7487.50E-09  2221.25E-08  
400000.E-01  8250.00E-09  2745.00E-08  
480000.E-01  8050.00E-09  3877.50E-08  
560000.E-01  7400.00E-09  2727.50E-08  
640000.E-01  8275.00E-09  4750.00E-08  
720000.E-01  7837.50E-09  4157.50E-08  
800000.E-01  8412.50E-09  2850.00E-08  
880000.E-01  8800.00E-09  2908.75E-08  
960000.E-01  8162.50E-09  5632.50E-08  
104000.E+00  8800.00E-09  2873.75E-08  
112000.E+00  8575.00E-09  2631.25E-08  
120000.E+00  8700.00E-09  3251.25E-08  
128000.E+00  8775.00E-09  4817.50E-08  
136000.E+00  9037.50E-09  3676.25E-08  
144000.E+00  8550.00E-09  3148.75E-08  
152000.E+00  8962.50E-09  3177.50E-08  
160000.E+00  9100.00E-09  4603.75E-08  
168000.E+00  9475.00E-09  2800.00E-08  
176000.E+00  9337.50E-09  5112.50E-08  
184000.E+00  9600.00E-09  4563.75E-08  
192000.E+00  1047.50E-08  4447.50E-08  
200000.E+00  1080.00E-08  4330.00E-08  
208000.E+00  1072.50E-08  5510.00E-08  
216000.E+00  1042.50E-08  3067.50E-08  
224000.E+00  1071.25E-08  3263.75E-08  
232000.E+00  1078.75E-08  4440.00E-08  
240000.E+00  1138.75E-08  4403.75E-08  
248000.E+00  1118.75E-08  5121.25E-08  
256000.E+00  1250.00E-08  3620.00E-08  
264000.E+00  1188.75E-08  5191.25E-08  
272000.E+00  1192.50E-08  4222.50E-08  
280000.E+00  1323.75E-08  4608.75E-08  
288000.E+00  1207.50E-08  5576.25E-08  
296000.E+00  1301.25E-08  5735.00E-08  
304000.E+00  1421.25E-08  8901.25E-08  
312000.E+00  1420.00E-08  5746.25E-08  
320000.E+00  1443.75E-08  5337.50E-08  
328000.E+00  1521.25E-08  5893.75E-08  
336000.E+00  1533.75E-08  6352.50E-08  
344000.E+00  1591.25E-08  8478.75E-08  
352000.E+00  1690.00E-08  1044.75E-07  
360000.E+00  1777.50E-08  6503.75E-08  
368000.E+00  1822.50E-08  8183.75E-08  
376000.E+00  1903.75E-08  9683.75E-08  
384000.E+00  2007.50E-08  7838.75E-08  
392000.E+00  2095.00E-08  9900.00E-08  
400000.E+00  2305.00E-08  8976.25E-08  
408000.E+00  2395.00E-08  1247.50E-07  
416000.E+00  2720.00E-08  1064.13E-07  
424000.E+00  2898.75E-08  1148.50E-07  
432000.E+00  3336.25E-08  1351.00E-07  
440000.E+00  3625.00E-08  1285.25E-07  
448000.E+00  4381.25E-08  1710.25E-07  
456000.E+00  5433.75E-08  2060.50E-07  
464000.E+00  7935.00E-08  2773.75E-07  
472000.E+00  1654.75E-07  5311.38E-07  
480000.E+00  2967.50E-07  7990.63E-07  
488000.E+00  3173.63E-07  7797.13E-07  
496000.E+00  1742.75E-07  3997.88E-07  
504000.E+00  4155.00E-08  9583.75E-08  
512000.E+00  5475.00E-09  1273.75E-08  
520000.E+00  3125.00E-10  7125.00E-10  
528000.E+00  0000.00E+00  0000.00E+00  
536000.E+00  0000.00E+00  0000.00E+00  
544000.E+00  0000.00E+00  0000.00E+00  
552000.E+00  0000.00E+00  0000.00E+00  
560000.E+00  0000.00E+00  0000.00E+00  
568000.E+00  0000.00E+00  0000.00E+00  
576000.E+00  0000.00E+00  0000.00E+00  
584000.E+00  0000.00E+00  0000.00E+00  
592000.E+00  0000.00E+00  0000.00E+00  
600000.E+00  0000.00E+00  0000.00E+00  
608000.E+00  0000.00E+00  0000.00E+00  
616000.E+00  0000.00E+00  0000.00E+00  
624000.E+00  0000.00E+00  0000.00E+00  
632000.E+00  0000.00E+00  0000.00E+00  
640000.E+00  0000.00E+00  0000.00E+00  
648000.E+00  0000.00E+00  0000.00E+00  
656000.E+00  0000.00E+00  0000.00E+00  
664000.E+00  0000.00E+00  0000.00E+00  
672000.E+00  0000.00E+00  0000.00E+00  
680000.E+00  0000.00E+00  0000.00E+00  
688000.E+00  0000.00E+00  0000.00E+00  
696000.E+00  0000.00E+00  0000.00E+00  
704000.E+00  0000.00E+00  0000.00E+00  
712000.E+00  0000.00E+00  0000.00E+00  
720000.E+00  0000.00E+00  0000.00E+00  
728000.E+00  0000.00E+00  0000.00E+00  
736000.E+00  0000.00E+00  0000.00E+00  
744000.E+00  0000.00E+00  0000.00E+00  
752000.E+00  0000.00E+00  0000.00E+00  
760000.E+00  0000.00E+00  0000.00E+00  
768000.E+00  0000.00E+00  0000.00E+00  
776000.E+00  0000.00E+00  0000.00E+00  
784000.E+00  0000.00E+00  0000.00E+00  
792000.E+00  0000.00E+00  0000.00E+00  
800000.E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
