====== 200 keV B into Silicon =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Si       
----------   ------------  -----------  
200010.E-03  1811.52E-03  1820.84E-03  
400010.E-03  2040.41E-03  2051.86E-03  
600010.E-03  2085.86E-03  2097.60E-03  
800010.E-03  2228.46E-03  2240.50E-03  
100001.E-02  2135.60E-03  2148.31E-03  
120001.E-02  2502.74E-03  2515.89E-03  
140001.E-02  2707.55E-03  2720.91E-03  
160001.E-02  2615.19E-03  2629.19E-03  
180001.E-02  2422.52E-03  2437.29E-03  
200001.E-02  2846.83E-03  2862.35E-03  
220001.E-02  2568.97E-03  2584.88E-03  
240001.E-02  2937.11E-03  2953.30E-03  
260001.E-02  2875.35E-03  2892.91E-03  
280001.E-02  3285.71E-03  3304.27E-03  
300001.E-02  3642.14E-03  3661.72E-03  
320001.E-02  3855.09E-03  3876.09E-03  
340001.E-02  4108.41E-03  4130.92E-03  
360001.E-02  4439.04E-03  4463.26E-03  
380001.E-02  4673.66E-03  4699.77E-03  
400001.E-02  5136.03E-03  5164.19E-03  
420001.E-02  5429.22E-03  5460.28E-03  
440001.E-02  5568.08E-03  5601.75E-03  
460001.E-02  6305.83E-03  6343.37E-03  
480001.E-02  6594.22E-03  6634.47E-03  
500001.E-02  6891.18E-03  6935.23E-03  
520001.E-02  6865.06E-03  6910.22E-03  
540001.E-02  6902.39E-03  6949.54E-03  
560001.E-02  7020.23E-03  7069.57E-03  
580001.E-02  6565.62E-03  6614.58E-03  
600001.E-02  6055.38E-03  6102.26E-03  
620001.E-02  5114.04E-03  5155.16E-03  
640001.E-02  3997.67E-03  4032.86E-03  
660001.E-02  3053.10E-03  3081.08E-03  
680001.E-02  2063.92E-03  2084.25E-03  
700001.E-02  1255.61E-03  1268.73E-03  
720001.E-02  7821.26E-04  7904.26E-04  
740001.E-02  3839.92E-04  3882.69E-04  
760001.E-02  1248.31E-04  1264.17E-04  
780001.E-02  6842.28E-05  6924.58E-05  
800001.E-02  2385.39E-05  2416.99E-05  
820001.E-02  8863.86E-06  9002.86E-06  
840001.E-02  7410.86E-08  7910.86E-08  
860001.E-02  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
104000.E-01  0000.00E+00  0000.00E+00  
106000.E-01  0000.00E+00  0000.00E+00  
108000.E-01  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  
112000.E-01  0000.00E+00  0000.00E+00  
114000.E-01  0000.00E+00  0000.00E+00  
116000.E-01  0000.00E+00  0000.00E+00  
118000.E-01  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  
122000.E-01  0000.00E+00  0000.00E+00  
124000.E-01  0000.00E+00  0000.00E+00  
126000.E-01  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  
