====== 200 keV B into Silicon =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer 1 : Silicon
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  3765.37E-02  5677.88E-04
400010.E-03  3714.74E-02  7111.98E-04
600010.E-03  3662.53E-02  8025.12E-04
800010.E-03  3578.08E-02  8725.26E-04
100001.E-02  3517.66E-02  9388.70E-04
120001.E-02  3478.97E-02  9819.49E-04
140001.E-02  3421.51E-02  1200.34E-03
160001.E-02  3354.90E-02  1158.83E-03
180001.E-02  3292.79E-02  1023.50E-03
200001.E-02  3273.58E-02  1070.69E-03
220001.E-02  3227.32E-02  1094.34E-03
240001.E-02  3171.75E-02  1098.07E-03
260001.E-02  3135.49E-02  1096.93E-03
280001.E-02  3096.78E-02  1303.73E-03
300001.E-02  3051.45E-02  1429.84E-03
320001.E-02  2998.32E-02  1448.86E-03
340001.E-02  2946.71E-02  1570.97E-03
360001.E-02  2889.11E-02  1731.22E-03
380001.E-02  2813.11E-02  1865.93E-03
400001.E-02  2734.18E-02  1965.05E-03
420001.E-02  2625.84E-02  1959.39E-03
440001.E-02  2520.23E-02  2073.33E-03
460001.E-02  2371.16E-02  2292.04E-03
480001.E-02  2199.35E-02  2412.13E-03
500001.E-02  2002.05E-02  2448.13E-03
520001.E-02  1791.36E-02  2438.14E-03
540001.E-02  1547.29E-02  2322.22E-03
560001.E-02  1328.69E-02  2370.70E-03
580001.E-02  1078.81E-02  2232.14E-03
600001.E-02  8674.69E-03  2029.00E-03
620001.E-02  6423.48E-03  1666.88E-03
640001.E-02  4553.30E-03  1279.63E-03
660001.E-02  3129.73E-03  9700.34E-04
680001.E-02  1903.35E-03  6455.38E-04
700001.E-02  1112.13E-03  3885.55E-04
720001.E-02  5949.88E-04  2429.06E-04
740001.E-02  2612.27E-04  1156.84E-04
760001.E-02  9911.87E-05  3845.79E-05
780001.E-02  4667.52E-05  2039.58E-05
800001.E-02  1812.17E-05  6999.13E-06
820001.E-02  4350.45E-06  2691.09E-06
840001.E-02  2584.94E-08  2140.94E-08
860001.E-02  0000.00E+00  0000.00E+00
880001.E-02  0000.00E+00  0000.00E+00
900001.E-02  0000.00E+00  0000.00E+00
920001.E-02  0000.00E+00  0000.00E+00
940001.E-02  0000.00E+00  0000.00E+00
960001.E-02  0000.00E+00  0000.00E+00
980001.E-02  0000.00E+00  0000.00E+00
100000.E-01  0000.00E+00  0000.00E+00
102000.E-01  0000.00E+00  0000.00E+00
104000.E-01  0000.00E+00  0000.00E+00
106000.E-01  0000.00E+00  0000.00E+00
108000.E-01  0000.00E+00  0000.00E+00
110000.E-01  0000.00E+00  0000.00E+00
112000.E-01  0000.00E+00  0000.00E+00
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
