====== 200 keV B into Silicon =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  B   Energy = 200 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 569070.E-02 A   Straggling = 105304.E-02 A
 Ion Lateral Range = 103554.E-02 A   Straggling = 129563.E-02 A
 Ion Radial  Range = 164435.E-02 A   Straggling = 850103.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2000100.E-04 68220381.E-05 78458924.E-05 21122392.E-04 73205215.E-05 
4000100.E-04 68262779.E-05 90763131.E-05 18376939.E-04 11261445.E-04 
6000100.E-04 29242008.E-04 32343094.E-04 34065358.E-04 15415075.E-04 
8000100.E-04 15540082.E-04 17611737.E-04 22051984.E-04 75571087.E-05 
1000010.E-03 14657725.E-04 17583933.E-04 23084328.E-04 11237799.E-04 
1200010.E-03 94094089.E-05 94094089.E-05 15746641.E-04 00000000.E+00 
1400010.E-03 14383916.E-04 17693906.E-04 25821998.E-04 13284138.E-04 
1600010.E-03 15065879.E-04 17774052.E-04 25930134.E-04 12829807.E-04 
1800010.E-03 17718989.E-04 20326888.E-04 23635460.E-04 11029803.E-04 
2000010.E-03 14893597.E-04 17361589.E-04 22883665.E-04 10671891.E-04 
2200010.E-03 18335499.E-04 20849921.E-04 26559232.E-04 93391750.E-05 
2400010.E-03 19528292.E-04 21340533.E-04 26511958.E-04 83624566.E-05 
2600010.E-03 15534323.E-04 18828485.E-04 24702803.E-04 11273511.E-04 
2800010.E-03 16673525.E-04 20270162.E-04 23725384.E-04 11472469.E-04 
3000010.E-03 16488108.E-04 20254270.E-04 24529808.E-04 12417428.E-04 
3200010.E-03 13278019.E-04 16606762.E-04 20885635.E-04 10626303.E-04 
3400010.E-03 15655746.E-04 18456741.E-04 24414031.E-04 11378736.E-04 
3600010.E-03 14360125.E-04 17278936.E-04 22754133.E-04 10540643.E-04 
3800010.E-03 14973592.E-04 18255978.E-04 23443921.E-04 10173481.E-04 
4000010.E-03 16073368.E-04 18998256.E-04 24333032.E-04 10410209.E-04 
4200010.E-03 12903611.E-04 15504482.E-04 21932645.E-04 99218267.E-05 
4400010.E-03 13769737.E-04 16594984.E-04 22323674.E-04 89944035.E-05 
4600010.E-03 13005170.E-04 16110691.E-04 21912617.E-04 99049797.E-05 
4800010.E-03 12126806.E-04 14933082.E-04 19138088.E-04 91079725.E-05 
