====== 200 keV B into Silicon =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 795 /Ion
 Total Target Displacements = 862 /Ion
 Total Target Replacement Collisions = 67 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
2000100.E-04   0000.003006
4000100.E-04   0000.003807
6000100.E-04   0000.004336
8000100.E-04   0000.004644
1000010.E-03   0000.004892
1200010.E-03   0000.005022
1400010.E-03   0000.005490
1600010.E-03   0000.005893
1800010.E-03   0000.005657
2000010.E-03   0000.005887
2200010.E-03   0000.006163
2400010.E-03   0000.006397
2600010.E-03   0000.006370
2800010.E-03   0000.007431
3000010.E-03   0000.008132
3200010.E-03   0000.008532
3400010.E-03   0000.009161
3600010.E-03   0000.010204
3800010.E-03   0000.010927
4000010.E-03   0000.011919
4200010.E-03   0000.012368
4400010.E-03   0000.013261
4600010.E-03   0000.015024
4800010.E-03   0000.015979
5000010.E-03   0000.016853
5200010.E-03   0000.016991
5400010.E-03   0000.016901
5600010.E-03   0000.017270
5800010.E-03   0000.016729
6000010.E-03   0000.015640
6200010.E-03   0000.013240
6400010.E-03   0000.010548
6600010.E-03   0000.008140
6800010.E-03   0000.005513
7000010.E-03   0000.003463
7200010.E-03   0000.002127
7400010.E-03   0000.001013
7600010.E-03   0000.000373
7800010.E-03   0000.000198
8000010.E-03   0000.000076
8200010.E-03   0000.000025
8400010.E-03   0000.000001
8600010.E-03   0000.000000
8800010.E-03   0000.000000
9000010.E-03   0000.000000
9200010.E-03   0000.000000
9400010.E-03   0000.000000
9600010.E-03   0000.000000
9800010.E-03   0000.000000
1000001.E-02   0000.000000
1020001.E-02   0000.000000
1040001.E-02   0000.000000
1060001.E-02   0000.000000
1080001.E-02   0000.000000
1100001.E-02   0000.000000
1120001.E-02   0000.000000
1140001.E-02   0000.000000
1160001.E-02   0000.000000
1180001.E-02   0000.000000
1200001.E-02   0000.000000
1220001.E-02   0000.000000
1240001.E-02   0000.000000
1260001.E-02   0000.000000
1280001.E-02   0000.000000
1300001.E-02   0000.000000
1320001.E-02   0000.000000
1340001.E-02   0000.000000
1360001.E-02   0000.000000
1380001.E-02   0000.000000
1400001.E-02   0000.000000
1420001.E-02   0000.000000
1440001.E-02   0000.000000
1460001.E-02   0000.000000
1480001.E-02   0000.000000
1500001.E-02   0000.000000
1520001.E-02   0000.000000
1540001.E-02   0000.000000
1560001.E-02   0000.000000
1580001.E-02   0000.000000
1600001.E-02   0000.000000
1620001.E-02   0000.000000
1640001.E-02   0000.000000
1660001.E-02   0000.000000
1680001.E-02   0000.000000
1700001.E-02   0000.000000
1720001.E-02   0000.000000
1740001.E-02   0000.000000
1760001.E-02   0000.000000
1780001.E-02   0000.000000
1800001.E-02   0000.000000
1820001.E-02   0000.000000
1840001.E-02   0000.000000
1860001.E-02   0000.000000
1880001.E-02   0000.000000
1900001.E-02   0000.000000
1920001.E-02   0000.000000
1940001.E-02   0000.000000
1960001.E-02   0000.000000
1980001.E-02   0000.000000
2000001.E-02   0000.000000
