====== 200 keV B into Silicon =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  653032.E-07  758164.E-06
400010.E-03  664525.E-07  100404.E-05
600010.E-03  685459.E-07  112920.E-05
800010.E-03  703412.E-07  121310.E-05
100001.E-02  730560.E-07  128576.E-05
120001.E-02  743767.E-07  132788.E-05
140001.E-02  770867.E-07  145149.E-05
160001.E-02  806678.E-07  153921.E-05
180001.E-02  820119.E-07  147761.E-05
200001.E-02  848674.E-07  155262.E-05
220001.E-02  885600.E-07  159283.E-05
240001.E-02  904899.E-07  164705.E-05
260001.E-02  944508.E-07  167411.E-05
280001.E-02  963335.E-07  193705.E-05
300001.E-02  100864.E-06  211915.E-05
320001.E-02  103453.E-06  221088.E-05
340001.E-02  109467.E-06  238934.E-05
360001.E-02  113706.E-06  264759.E-05
380001.E-02  121413.E-06  287055.E-05
400001.E-02  130000.E-06  306748.E-05
420001.E-02  140537.E-06  321552.E-05
440001.E-02  151667.E-06  348153.E-05
460001.E-02  164919.E-06  387435.E-05
480001.E-02  176215.E-06  415098.E-05
500001.E-02  191797.E-06  434296.E-05
520001.E-02  193734.E-06  442630.E-05
540001.E-02  201592.E-06  441683.E-05
560001.E-02  209946.E-06  452154.E-05
580001.E-02  207563.E-06  437677.E-05
600001.E-02  198791.E-06  405336.E-05
620001.E-02  173225.E-06  340905.E-05
640001.E-02  149946.E-06  272182.E-05
660001.E-02  119746.E-06  209845.E-05
680001.E-02  865104.E-07  144744.E-05
700001.E-02  569994.E-07  896183.E-06
720001.E-02  360224.E-07  566220.E-06
740001.E-02  190734.E-07  273637.E-06
760001.E-02  734140.E-08  965324.E-07
780001.E-02  391924.E-08  515454.E-07
800001.E-02  152320.E-08  181627.E-07
820001.E-02  638558.E-09  699261.E-08
840001.E-02  342855.E-10  878823.E-10
860001.E-02  000000.E+00  000000.E+00
880001.E-02  000000.E+00  000000.E+00
900001.E-02  000000.E+00  000000.E+00
920001.E-02  000000.E+00  000000.E+00
940001.E-02  000000.E+00  000000.E+00
960001.E-02  000000.E+00  000000.E+00
980001.E-02  000000.E+00  000000.E+00
100000.E-01  000000.E+00  000000.E+00
102000.E-01  000000.E+00  000000.E+00
104000.E-01  000000.E+00  000000.E+00
106000.E-01  000000.E+00  000000.E+00
108000.E-01  000000.E+00  000000.E+00
110000.E-01  000000.E+00  000000.E+00
112000.E-01  000000.E+00  000000.E+00
114000.E-01  000000.E+00  000000.E+00
116000.E-01  000000.E+00  000000.E+00
118000.E-01  000000.E+00  000000.E+00
120000.E-01  000000.E+00  000000.E+00
122000.E-01  000000.E+00  000000.E+00
124000.E-01  000000.E+00  000000.E+00
126000.E-01  000000.E+00  000000.E+00
128000.E-01  000000.E+00  000000.E+00
130000.E-01  000000.E+00  000000.E+00
132000.E-01  000000.E+00  000000.E+00
134000.E-01  000000.E+00  000000.E+00
136000.E-01  000000.E+00  000000.E+00
138000.E-01  000000.E+00  000000.E+00
140000.E-01  000000.E+00  000000.E+00
142000.E-01  000000.E+00  000000.E+00
144000.E-01  000000.E+00  000000.E+00
146000.E-01  000000.E+00  000000.E+00
148000.E-01  000000.E+00  000000.E+00
150000.E-01  000000.E+00  000000.E+00
152000.E-01  000000.E+00  000000.E+00
154000.E-01  000000.E+00  000000.E+00
156000.E-01  000000.E+00  000000.E+00
158000.E-01  000000.E+00  000000.E+00
160000.E-01  000000.E+00  000000.E+00
162000.E-01  000000.E+00  000000.E+00
164000.E-01  000000.E+00  000000.E+00
166000.E-01  000000.E+00  000000.E+00
168000.E-01  000000.E+00  000000.E+00
170000.E-01  000000.E+00  000000.E+00
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
