====== 200 keV B into Silicon =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  B   Energy = 200  keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     2.E+04 A   Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   569.1E+01 A   Straggling =   105.3E+01 A
 Ion Lateral Range =   103.6E+01 A   Straggling =   129.6E+01 A
 Ion Radial  Range =   164.4E+01 A   Straggling =   850.1E+00 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =7
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -001.1728  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 005.5566  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          B         Si    
   (Ang.)       Ions     Tgt. Atoms
-----------  ----------  ----------
200010.E-03  2.0000E+02  3.8034E+06
400010.E-03  3.0000E+02  4.9224E+06
600010.E-03  2.5000E+02  5.5473E+06
800010.E-03  3.0000E+02  5.9680E+06
100001.E-02  6.0000E+02  6.3262E+06
120001.E-02  5.0000E+01  6.5435E+06
140001.E-02  4.5000E+02  7.1128E+06
160001.E-02  7.0000E+02  7.5777E+06
180001.E-02  5.5000E+02  7.2620E+06
200001.E-02  7.0000E+02  7.6432E+06
220001.E-02  9.0000E+02  7.8613E+06
240001.E-02  6.5000E+02  8.0949E+06
260001.E-02  1.5500E+03  8.2489E+06
280001.E-02  1.5000E+03  9.5520E+06
300001.E-02  2.0500E+03  1.0422E+07
320001.E-02  2.9500E+03  1.0932E+07
340001.E-02  3.3000E+03  1.1797E+07
360001.E-02  3.9500E+03  1.3079E+07
380001.E-02  5.4500E+03  1.4162E+07
400001.E-02  7.1000E+03  1.5165E+07
420001.E-02  8.0500E+03  1.5870E+07
440001.E-02  1.0450E+04  1.7187E+07
460001.E-02  1.4000E+04  1.9160E+07
480001.E-02  1.6800E+04  2.0569E+07
500001.E-02  2.3200E+04  2.1495E+07
520001.E-02  2.3600E+04  2.1871E+07
540001.E-02  3.0750E+04  2.1806E+07
560001.E-02  3.5150E+04  2.2287E+07
580001.E-02  4.2701E+04  2.1629E+07
600001.E-02  4.4851E+04  2.0071E+07
620001.E-02  4.5301E+04  1.6875E+07
640001.E-02  4.3951E+04  1.3464E+07
660001.E-02  3.9700E+04  1.0416E+07
680001.E-02  3.3400E+04  7.1608E+06
700001.E-02  2.1900E+04  4.4234E+06
720001.E-02  1.5800E+04  2.7979E+06
740001.E-02  9.9500E+03  1.3511E+06
760001.E-02  3.4000E+03  4.7771E+05
780001.E-02  1.9000E+03  2.5134E+05
800001.E-02  7.5000E+02  9.1352E+04
820001.E-02  5.0000E+02  3.4450E+04
840001.E-02  5.0000E+01  4.5000E+02
860001.E-02  0.0000E+00  0.0000E+00
880001.E-02  0.0000E+00  0.0000E+00
900001.E-02  0.0000E+00  0.0000E+00
920001.E-02  0.0000E+00  0.0000E+00
940001.E-02  0.0000E+00  0.0000E+00
960001.E-02  0.0000E+00  0.0000E+00
980001.E-02  0.0000E+00  0.0000E+00
100000.E-01  0.0000E+00  0.0000E+00
102000.E-01  0.0000E+00  0.0000E+00
104000.E-01  0.0000E+00  0.0000E+00
106000.E-01  0.0000E+00  0.0000E+00
108000.E-01  0.0000E+00  0.0000E+00
110000.E-01  0.0000E+00  0.0000E+00
112000.E-01  0.0000E+00  0.0000E+00
114000.E-01  0.0000E+00  0.0000E+00
116000.E-01  0.0000E+00  0.0000E+00
118000.E-01  0.0000E+00  0.0000E+00
120000.E-01  0.0000E+00  0.0000E+00
122000.E-01  0.0000E+00  0.0000E+00
124000.E-01  0.0000E+00  0.0000E+00
126000.E-01  0.0000E+00  0.0000E+00
128000.E-01  0.0000E+00  0.0000E+00
130000.E-01  0.0000E+00  0.0000E+00
132000.E-01  0.0000E+00  0.0000E+00
134000.E-01  0.0000E+00  0.0000E+00
136000.E-01  0.0000E+00  0.0000E+00
138000.E-01  0.0000E+00  0.0000E+00
140000.E-01  0.0000E+00  0.0000E+00
142000.E-01  0.0000E+00  0.0000E+00
144000.E-01  0.0000E+00  0.0000E+00
146000.E-01  0.0000E+00  0.0000E+00
148000.E-01  0.0000E+00  0.0000E+00
150000.E-01  0.0000E+00  0.0000E+00
152000.E-01  0.0000E+00  0.0000E+00
154000.E-01  0.0000E+00  0.0000E+00
156000.E-01  0.0000E+00  0.0000E+00
158000.E-01  0.0000E+00  0.0000E+00
160000.E-01  0.0000E+00  0.0000E+00
162000.E-01  0.0000E+00  0.0000E+00
164000.E-01  0.0000E+00  0.0000E+00
166000.E-01  0.0000E+00  0.0000E+00
168000.E-01  0.0000E+00  0.0000E+00
170000.E-01  0.0000E+00  0.0000E+00
172000.E-01  0.0000E+00  0.0000E+00
174000.E-01  0.0000E+00  0.0000E+00
176000.E-01  0.0000E+00  0.0000E+00
178000.E-01  0.0000E+00  0.0000E+00
180000.E-01  0.0000E+00  0.0000E+00
182000.E-01  0.0000E+00  0.0000E+00
184000.E-01  0.0000E+00  0.0000E+00
186000.E-01  0.0000E+00  0.0000E+00
188000.E-01  0.0000E+00  0.0000E+00
190000.E-01  0.0000E+00  0.0000E+00
192000.E-01  0.0000E+00  0.0000E+00
194000.E-01  0.0000E+00  0.0000E+00
196000.E-01  0.0000E+00  0.0000E+00
198000.E-01  0.0000E+00  0.0000E+00
200000.E-01  0.0000E+00  0.0000E+00
