============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  B (05)   Ion Mass= 011.0090
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.4325E+03 -6.0598E+02  1.8693E+02
0000002   6.1468E+03  2.0688E+02  1.0661E+03
0000003   6.6843E+03 -6.0045E+02 -2.2293E+03
0000004   4.7555E+03 -1.5652E+03  2.4264E+03
0000005   5.0496E+03 -1.5550E+03 -3.6429E+03
0000006   4.7068E+03 -7.8106E+02 -9.7173E+02
0000007   3.4155E+03  1.3844E+02  3.7642E+02
0000008   4.8618E+03 -3.2577E+02  5.2634E+02
0000009   6.2002E+03  2.1165E+03  5.6866E+02
0000010   5.8560E+03 -5.5167E+02 -1.4766E+03
0000011   5.8276E+03 -4.1489E+02  5.0496E+02
0000012   5.3740E+03  4.1385E+02 -1.3477E+03
0000013   6.0004E+03  1.4016E+03  2.7397E+02
0000014   5.0541E+03 -1.1667E+03  3.4481E+03
0000015   4.1993E+03  7.4925E+02 -2.4271E+03
0000016   4.4193E+03 -1.3609E+03 -1.8802E+03
0000017   3.5343E+03 -1.1462E+03 -3.8250E+02
0000018   3.5881E+03  1.1577E+03  1.4100E+03
0000019   5.8809E+03 -9.0240E+02 -2.7165E+02
0000020   5.9353E+03  2.7999E+02 -1.6419E+03
0000021   5.3829E+03 -8.6178E+02  1.3079E+03
0000022   7.1116E+03  5.6452E+02  9.7013E+02
0000023   5.7753E+03 -6.9263E+02 -1.2907E+03
0000024   6.4965E+03 -2.1334E+03  1.2335E+01
0000025   3.4483E+03 -2.0328E+03  1.9058E+03
0000026   5.7523E+03 -2.0506E+03 -2.6663E+02
0000027   6.2002E+03 -1.3115E+03  1.9344E+03
0000028   6.3407E+03  1.3529E+03 -4.0205E+02
0000029   6.4210E+03  2.9119E+02  1.0330E+03
0000030   6.6241E+03  1.0116E+03 -2.0207E+03
0000031   5.7088E+03  1.2041E+03  1.1897E+03
0000032   2.1090E+03 -3.7038E+02  2.9675E+03
0000033   5.0325E+03 -3.1001E+03 -1.3021E+03
0000034   6.3626E+03  2.0488E+03 -1.5678E+02
0000035   5.3442E+03  5.3637E+02  8.9838E+02
0000036   5.4251E+03 -2.1815E+03 -5.4309E+01
0000037   6.5705E+03  5.4200E+02 -1.5299E+02
0000038   6.3212E+03 -9.5173E+02  2.0559E+03
0000039   6.7662E+03 -1.0618E+03 -6.4070E+01
0000040   4.4559E+03 -5.1330E+02  1.3326E+03
0000041   4.5134E+03  1.9273E+03 -4.6277E+01
0000042   6.1231E+03 -7.9451E+02 -1.3903E+03
0000043   5.6286E+03  1.4450E+02 -3.1299E+02
0000044   5.4960E+03  7.9058E+02  7.3290E+02
0000045   4.9304E+03 -1.7523E+03  1.4698E+03
0000046   6.5951E+03  6.0525E+02  8.3626E+01
0000047   6.3559E+03  2.7747E+02 -1.0055E+03
0000048   5.2118E+03  2.9022E+03  2.2606E+03
0000049   5.7196E+03  2.2534E+02 -7.0966E+02
0000050   5.6496E+03  3.3763E+03  1.1366E+03
0000051   5.2215E+03 -2.3222E+03 -1.1881E+03
0000052   5.2811E+03  2.6039E+03  9.9161E+02
0000053   5.2326E+03  2.2367E+02 -2.2524E+03
0000054   6.4940E+03  1.1600E+03 -1.1802E+03
0000055   4.5057E+03  2.3289E+03  1.1345E+03
0000056   4.7709E+03  5.1644E+02 -8.9404E+02
0000057   5.4457E+03  9.7262E+02  3.4493E+03
0000058   5.2526E+03 -9.2380E+02  5.5177E+02
0000059   4.1398E+03  1.0098E+03  7.5705E+02
0000060   5.7251E+03 -1.2264E+02 -8.8154E+00
0000061   5.8210E+03  1.4585E+03  1.4167E+03
0000062   4.8898E+03 -1.7001E+03  2.4654E+03
0000063   5.5283E+03 -7.5701E+00 -1.5083E+03
0000064   6.8862E+03  3.4827E+02  1.2598E+02
0000065   6.4324E+03  1.5264E+03 -3.6637E+02
0000066   6.3741E+03 -1.9053E+03 -5.6309E+02
0000067   4.7523E+03  4.9716E+02  8.3682E+02
0000068   2.8439E+03 -1.8719E+03 -1.0537E+03
0000069   6.3090E+03  2.1593E+03 -5.8899E+02
0000070   6.3858E+03 -4.1450E+02  2.4570E+03
0000071   5.6187E+03  1.0528E+03 -1.1694E+03
0000072   4.8841E+03  1.0896E+03  2.2517E+02
0000073   5.6588E+03 -3.1135E+02 -8.2747E+02
0000074   4.0885E+03 -2.6730E+02  1.0373E+03
0000075   6.6238E+03  1.8523E+03 -8.1421E+02
0000076   6.0002E+03 -6.6672E+02  2.8502E+02
0000077   6.5499E+03  1.0461E+03 -1.6582E+02
0000078   4.1384E+03  3.7955E+02  3.1019E+03
0000079   5.5519E+03 -2.4624E+03 -6.7114E+02
0000080   5.8307E+03  1.8904E+03 -3.9887E+01
0000081   5.2595E+03  6.3826E+02 -1.9027E+03
0000082   5.1566E+03  9.5570E+02 -9.7213E+01
0000083   6.1036E+03  6.2918E+02 -2.0506E+03
0000084   6.5365E+03  8.0658E+02 -8.6010E+02
0000085   6.8189E+03 -9.3307E+02 -1.1919E+02
0000086   6.8029E+03  2.4387E+02  2.3916E+02
0000087   6.6449E+03 -2.2627E+02  1.1512E+02
0000088   6.9004E+03 -8.4815E+02 -1.1942E+02
0000089   5.6132E+03 -7.2039E+02  1.7955E+03
0000090   5.1172E+03  1.7059E+02 -7.2033E+02
0000091   6.9338E+03 -8.4449E+02 -8.1303E+02
0000092   6.5455E+03 -1.6870E+02  1.4837E+03
0000093   5.7082E+03  1.8459E+03  8.8330E+02
0000094   6.2452E+03  6.5091E+02 -1.5284E+03
0000095   6.0000E+03 -1.8241E+03 -1.2703E+03
0000096   5.5165E+03 -1.7580E+03  1.1521E+03
0000097   5.7736E+03 -1.3744E+03 -7.9177E+02
0000098   5.2830E+03 -9.4941E+02  8.4296E+02
0000099   4.9916E+03  2.4090E+03  2.7250E+03
0000100   5.6228E+03  1.2023E+03 -2.5390E+03
0000101   6.0701E+03  2.4918E+02  5.4730E+02
0000102   2.6303E+03  3.8848E+02  1.6947E+03
0000103   2.8616E+03  2.8486E+03  1.1243E+03
0000104   6.4496E+03  1.5479E+03  9.9074E+02
0000105   6.0858E+03 -7.8022E+02  7.3901E+01
0000106   6.2288E+03  2.5628E+03 -1.4948E+03
0000107   6.0778E+03  1.2359E+03  1.0388E+01
