====== 200 keV B into Silicon =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 795 /Ion
 Total Target Displacements = 862 /Ion
 Total Target Replacement Collisions = 67 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          B           Si       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
200010.E-03  4660.08E-06  3526.79E-05  
400010.E-03  5724.80E-06  4555.24E-05  
600010.E-03  5870.33E-06  5107.98E-05  
800010.E-03  6018.87E-06  5511.27E-05  
100001.E-02  6353.94E-06  5829.48E-05  
120001.E-02  6575.35E-06  6042.19E-05  
140001.E-02  6681.79E-06  6575.81E-05  
160001.E-02  6999.12E-06  6983.61E-05  
180001.E-02  7389.40E-06  6707.89E-05  
200001.E-02  7756.70E-06  7044.82E-05  
220001.E-02  7951.59E-06  7246.11E-05  
240001.E-02  8096.51E-06  7451.86E-05  
260001.E-02  8779.14E-06  7606.57E-05  
280001.E-02  9282.86E-06  8808.39E-05  
300001.E-02  9787.09E-06  9621.13E-05  
320001.E-02  1049.57E-05  1007.20E-04  
340001.E-02  1125.28E-05  1089.29E-04  
360001.E-02  1211.08E-05  1204.73E-04  
380001.E-02  1305.37E-05  1308.78E-04  
400001.E-02  1408.22E-05  1396.73E-04  
420001.E-02  1552.71E-05  1464.45E-04  
440001.E-02  1683.74E-05  1585.74E-04  
460001.E-02  1877.48E-05  1766.24E-04  
480001.E-02  2012.86E-05  1897.46E-04  
500001.E-02  2203.24E-05  1983.08E-04  
520001.E-02  2258.75E-05  2021.80E-04  
540001.E-02  2358.25E-05  2013.32E-04  
560001.E-02  2467.55E-05  2062.10E-04  
580001.E-02  2448.78E-05  1997.56E-04  
600001.E-02  2344.88E-05  1848.43E-04  
620001.E-02  2056.50E-05  1555.40E-04  
640001.E-02  1759.56E-05  1239.92E-04  
660001.E-02  1398.66E-05  9583.59E-05  
680001.E-02  1016.04E-05  6604.39E-05  
700001.E-02  6559.86E-06  4065.06E-05  
720001.E-02  4149.97E-06  2581.51E-05  
740001.E-02  2138.44E-06  1245.11E-05  
760001.E-02  7930.13E-07  4355.01E-06  
780001.E-02  4115.05E-07  2303.41E-06  
800001.E-02  1580.00E-07  8315.14E-07  
820001.E-02  6950.00E-08  3170.03E-07  
840001.E-02  2500.00E-09  3500.00E-09  
860001.E-02  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
104000.E-01  0000.00E+00  0000.00E+00  
106000.E-01  0000.00E+00  0000.00E+00  
108000.E-01  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  
112000.E-01  0000.00E+00  0000.00E+00  
114000.E-01  0000.00E+00  0000.00E+00  
116000.E-01  0000.00E+00  0000.00E+00  
118000.E-01  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  
122000.E-01  0000.00E+00  0000.00E+00  
124000.E-01  0000.00E+00  0000.00E+00  
126000.E-01  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
