====== 200 keV H into Silicon =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width = 30000.E+00 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Si       
----------   ------------  -----------  
300010.E-03  7504.39E-06  7517.06E-06  
600010.E-03  7762.22E-06  7779.55E-06  
900010.E-03  8531.27E-06  8558.60E-06  
120001.E-02  9194.29E-06  9267.62E-06  
150001.E-02  9000.90E-06  9070.23E-06  
180001.E-02  9340.23E-06  9432.90E-06  
210001.E-02  9250.95E-06  9380.29E-06  
240001.E-02  8757.43E-06  8902.77E-06  
270001.E-02  8593.14E-06  8781.80E-06  
300001.E-02  7863.64E-06  8079.64E-06  
330001.E-02  7245.70E-06  7491.03E-06  
360001.E-02  7677.40E-06  7817.40E-06  
390001.E-02  7952.16E-06  8080.82E-06  
420001.E-02  9035.76E-06  9186.43E-06  
450001.E-02  9642.80E-06  9808.13E-06  
480001.E-02  9257.98E-06  9437.32E-06  
510001.E-02  9032.75E-06  9217.41E-06  
540001.E-02  8498.04E-06  8686.04E-06  
570001.E-02  9403.45E-06  9590.78E-06  
600001.E-02  1035.00E-05  1053.87E-05  
630001.E-02  1115.66E-05  1135.59E-05  
660001.E-02  1303.46E-05  1324.93E-05  
690001.E-02  1169.31E-05  1191.24E-05  
720001.E-02  1007.49E-05  1027.02E-05  
750001.E-02  1085.61E-05  1107.81E-05  
780001.E-02  1152.33E-05  1172.00E-05  
810001.E-02  1166.43E-05  1188.36E-05  
840001.E-02  1221.17E-05  1243.10E-05  
870001.E-02  1219.55E-05  1243.48E-05  
900001.E-02  1244.98E-05  1271.25E-05  
930001.E-02  1353.20E-05  1377.80E-05  
960001.E-02  1355.12E-05  1381.65E-05  
990001.E-02  1363.38E-05  1391.18E-05  
102000.E-01  1514.18E-05  1541.91E-05  
105000.E-01  1665.20E-05  1692.40E-05  
108000.E-01  1710.45E-05  1742.45E-05  
111000.E-01  1728.36E-05  1758.56E-05  
114000.E-01  1945.71E-05  1975.98E-05  
117000.E-01  2022.65E-05  2054.05E-05  
120000.E-01  2222.68E-05  2259.82E-05  
123000.E-01  1881.05E-05  1919.85E-05  
126000.E-01  1889.22E-05  1930.89E-05  
129000.E-01  1992.20E-05  2035.00E-05  
132000.E-01  2085.71E-05  2133.04E-05  
135000.E-01  2512.26E-05  2560.66E-05  
138000.E-01  2803.31E-05  2853.11E-05  
141000.E-01  2901.33E-05  2955.13E-05  
144000.E-01  2990.38E-05  3046.98E-05  
147000.E-01  3224.10E-05  3288.77E-05  
150000.E-01  3461.02E-05  3534.22E-05  
153000.E-01  3793.73E-05  3874.39E-05  
156000.E-01  4006.99E-05  4092.32E-05  
159000.E-01  4228.62E-05  4336.22E-05  
162000.E-01  5052.23E-05  5173.36E-05  
165000.E-01  5645.72E-05  5789.65E-05  
168000.E-01  6842.39E-05  7019.19E-05  
171000.E-01  8066.25E-05  8286.59E-05  
174000.E-01  9437.73E-05  9709.53E-05  
177000.E-01  1099.39E-04  1133.80E-04  
180000.E-01  1185.75E-04  1227.87E-04  
183000.E-01  1229.66E-04  1277.22E-04  
186000.E-01  1115.08E-04  1163.06E-04  
189000.E-01  9525.96E-05  9963.63E-05  
192000.E-01  7316.97E-05  7680.84E-05  
195000.E-01  4223.95E-05  4448.69E-05  
198000.E-01  2517.64E-05  2657.57E-05  
201000.E-01  1072.57E-05  1135.57E-05  
204000.E-01  4372.52E-06  4635.19E-06  
207000.E-01  1320.57E-06  1411.24E-06  
210000.E-01  2584.13E-07  2770.79E-07  
213000.E-01  0000.00E+00  0000.00E+00  
216000.E-01  4569.51E-09  5236.18E-09  
219000.E-01  0000.00E+00  0000.00E+00  
222000.E-01  0000.00E+00  0000.00E+00  
225000.E-01  0000.00E+00  0000.00E+00  
228000.E-01  0000.00E+00  0000.00E+00  
231000.E-01  0000.00E+00  0000.00E+00  
234000.E-01  0000.00E+00  0000.00E+00  
237000.E-01  0000.00E+00  0000.00E+00  
240000.E-01  0000.00E+00  0000.00E+00  
243000.E-01  0000.00E+00  0000.00E+00  
246000.E-01  0000.00E+00  0000.00E+00  
249000.E-01  0000.00E+00  0000.00E+00  
252000.E-01  0000.00E+00  0000.00E+00  
255000.E-01  0000.00E+00  0000.00E+00  
258000.E-01  0000.00E+00  0000.00E+00  
261000.E-01  0000.00E+00  0000.00E+00  
264000.E-01  0000.00E+00  0000.00E+00  
267000.E-01  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  
273000.E-01  0000.00E+00  0000.00E+00  
276000.E-01  0000.00E+00  0000.00E+00  
279000.E-01  0000.00E+00  0000.00E+00  
282000.E-01  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  
288000.E-01  0000.00E+00  0000.00E+00  
291000.E-01  0000.00E+00  0000.00E+00  
294000.E-01  0000.00E+00  0000.00E+00  
297000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  
