====== 200 keV H into Silicon =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer 1 : Silicon
Layer Width = 30000.E+00 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
300010.E-03  9146.16E-03  5504.23E-08
600010.E-03  9135.45E-03  1615.56E-07
900010.E-03  9146.96E-03  1550.60E-07
120001.E-02  9166.30E-03  9327.28E-07
150001.E-02  9193.07E-03  7073.76E-07
180001.E-02  9230.01E-03  8392.98E-07
210001.E-02  9272.84E-03  2378.46E-06
240001.E-02  9327.65E-03  2097.77E-06
270001.E-02  9384.72E-03  3462.56E-06
300001.E-02  9441.73E-03  5854.49E-06
330001.E-02  9519.74E-03  5669.87E-06
360001.E-02  9610.99E-03  2181.45E-06
390001.E-02  9650.50E-03  1110.24E-06
420001.E-02  9705.46E-03  1728.46E-06
450001.E-02  9778.17E-03  2838.55E-06
480001.E-02  9857.18E-03  3175.29E-06
510001.E-02  9929.22E-03  3115.37E-06
540001.E-02  1000.15E-02  2451.39E-06
570001.E-02  1007.64E-02  1775.33E-06
600001.E-02  1016.73E-02  4181.95E-06
630001.E-02  1024.85E-02  2357.29E-06
660001.E-02  1031.34E-02  3513.02E-06
690001.E-02  1039.24E-02  4994.87E-06
720001.E-02  1048.01E-02  2387.50E-06
750001.E-02  1056.04E-02  5003.44E-06
780001.E-02  1067.25E-02  2173.15E-06
810001.E-02  1075.80E-02  2697.59E-06
840001.E-02  1083.89E-02  3176.42E-06
870001.E-02  1092.96E-02  3725.21E-06
900001.E-02  1102.03E-02  3751.89E-06
930001.E-02  1111.93E-02  6430.71E-06
960001.E-02  1120.82E-02  3357.47E-06
990001.E-02  1132.83E-02  3429.29E-06
102000.E-01  1141.67E-02  3170.55E-06
105000.E-01  1154.34E-02  3993.51E-06
108000.E-01  1165.14E-02  4954.61E-06
111000.E-01  1177.83E-02  4576.29E-06
114000.E-01  1191.05E-02  6965.75E-06
117000.E-01  1202.31E-02  3799.12E-06
120000.E-01  1212.87E-02  9127.14E-06
123000.E-01  1224.24E-02  8875.71E-06
126000.E-01  1237.36E-02  4671.99E-06
129000.E-01  1248.48E-02  5533.62E-06
132000.E-01  1255.45E-02  6427.14E-06
135000.E-01  1266.72E-02  7525.89E-06
138000.E-01  1269.77E-02  7027.91E-06
141000.E-01  1275.25E-02  8398.53E-06
144000.E-01  1278.85E-02  8615.77E-06
147000.E-01  1279.68E-02  9185.65E-06
150000.E-01  1275.91E-02  1087.77E-05
153000.E-01  1264.63E-02  1176.59E-05
156000.E-01  1241.44E-02  1282.96E-05
159000.E-01  1215.76E-02  1102.69E-05
162000.E-01  1176.94E-02  1254.12E-05
165000.E-01  1130.87E-02  1568.10E-05
168000.E-01  1076.46E-02  1979.61E-05
171000.E-01  1006.65E-02  2138.14E-05
174000.E-01  9276.00E-03  2476.38E-05
177000.E-01  8324.41E-03  3134.33E-05
180000.E-01  7307.02E-03  3265.18E-05
183000.E-01  6075.98E-03  3377.06E-05
186000.E-01  4789.11E-03  3069.04E-05
189000.E-01  3436.32E-03  2685.89E-05
192000.E-01  2259.62E-03  2078.57E-05
195000.E-01  1257.96E-03  1203.58E-05
198000.E-01  6352.71E-04  7644.85E-06
201000.E-01  2604.65E-04  3166.67E-06
204000.E-01  9580.71E-05  1336.46E-06
207000.E-01  2666.24E-05  4073.09E-07
210000.E-01  6170.03E-06  9224.04E-08
213000.E-01  5480.23E-07  2158.72E-09
216000.E-01  1801.40E-07  2094.13E-09
219000.E-01  0000.00E+00  0000.00E+00
222000.E-01  0000.00E+00  0000.00E+00
225000.E-01  0000.00E+00  0000.00E+00
228000.E-01  0000.00E+00  0000.00E+00
231000.E-01  0000.00E+00  0000.00E+00
234000.E-01  0000.00E+00  0000.00E+00
237000.E-01  0000.00E+00  0000.00E+00
240000.E-01  0000.00E+00  0000.00E+00
243000.E-01  0000.00E+00  0000.00E+00
246000.E-01  0000.00E+00  0000.00E+00
249000.E-01  0000.00E+00  0000.00E+00
252000.E-01  0000.00E+00  0000.00E+00
255000.E-01  0000.00E+00  0000.00E+00
258000.E-01  0000.00E+00  0000.00E+00
261000.E-01  0000.00E+00  0000.00E+00
264000.E-01  0000.00E+00  0000.00E+00
267000.E-01  0000.00E+00  0000.00E+00
270000.E-01  0000.00E+00  0000.00E+00
273000.E-01  0000.00E+00  0000.00E+00
276000.E-01  0000.00E+00  0000.00E+00
279000.E-01  0000.00E+00  0000.00E+00
282000.E-01  0000.00E+00  0000.00E+00
285000.E-01  0000.00E+00  0000.00E+00
288000.E-01  0000.00E+00  0000.00E+00
291000.E-01  0000.00E+00  0000.00E+00
294000.E-01  0000.00E+00  0000.00E+00
297000.E-01  0000.00E+00  0000.00E+00
300000.E-01  0000.00E+00  0000.00E+00
