====== 200 keV H into Silicon =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     3.E+04 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 21 /Ion
 Total Target Displacements = 23 /Ion
 Total Target Replacement Collisions = 2 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
3000100.E-04   0000.000001
6000100.E-04   0000.000002
9000100.E-04   0000.000001
1200010.E-03   0000.000007
1500010.E-03   0000.000005
1800010.E-03   0000.000007
2100010.E-03   0000.000019
2400010.E-03   0000.000022
2700010.E-03   0000.000027
3000010.E-03   0000.000039
3300010.E-03   0000.000039
3600010.E-03   0000.000025
3900010.E-03   0000.000012
4200010.E-03   0000.000016
4500010.E-03   0000.000024
4800010.E-03   0000.000028
5100010.E-03   0000.000032
5400010.E-03   0000.000024
5700010.E-03   0000.000014
6000010.E-03   0000.000038
6300010.E-03   0000.000029
6600010.E-03   0000.000037
6900010.E-03   0000.000039
7200010.E-03   0000.000023
7500010.E-03   0000.000037
7800010.E-03   0000.000024
8100010.E-03   0000.000024
8400010.E-03   0000.000029
8700010.E-03   0000.000041
9000010.E-03   0000.000038
9300010.E-03   0000.000056
9600010.E-03   0000.000032
9900010.E-03   0000.000032
1020001.E-02   0000.000033
1050001.E-02   0000.000036
1080001.E-02   0000.000045
1110001.E-02   0000.000042
1140001.E-02   0000.000064
1170001.E-02   0000.000043
1200001.E-02   0000.000059
1230001.E-02   0000.000069
1260001.E-02   0000.000054
1290001.E-02   0000.000048
1320001.E-02   0000.000067
1350001.E-02   0000.000068
1380001.E-02   0000.000068
1410001.E-02   0000.000069
1440001.E-02   0000.000088
1470001.E-02   0000.000085
1500001.E-02   0000.000110
1530001.E-02   0000.000111
1560001.E-02   0000.000110
1590001.E-02   0000.000110
1620001.E-02   0000.000139
1650001.E-02   0000.000165
1680001.E-02   0000.000201
1710001.E-02   0000.000234
1740001.E-02   0000.000276
1770001.E-02   0000.000364
1800001.E-02   0000.000380
1830001.E-02   0000.000384
1860001.E-02   0000.000386
1890001.E-02   0000.000320
1920001.E-02   0000.000253
1950001.E-02   0000.000152
1980001.E-02   0000.000092
2010001.E-02   0000.000038
2040001.E-02   0000.000012
2070001.E-02   0000.000004
2100001.E-02   0000.000001
2130001.E-02   0000.000000
2160001.E-02   0000.000000
2190001.E-02   0000.000000
2220001.E-02   0000.000000
2250001.E-02   0000.000000
2280001.E-02   0000.000000
2310001.E-02   0000.000000
2340001.E-02   0000.000000
2370001.E-02   0000.000000
2400001.E-02   0000.000000
2430001.E-02   0000.000000
2460001.E-02   0000.000000
2490001.E-02   0000.000000
2520001.E-02   0000.000000
2550001.E-02   0000.000000
2580001.E-02   0000.000000
2610001.E-02   0000.000000
2640001.E-02   0000.000000
2670001.E-02   0000.000000
2700001.E-02   0000.000000
2730001.E-02   0000.000000
2760001.E-02   0000.000000
2790001.E-02   0000.000000
2820001.E-02   0000.000000
2850001.E-02   0000.000000
2880001.E-02   0000.000000
2910001.E-02   0000.000000
2940001.E-02   0000.000000
2970001.E-02   0000.000000
3000001.E-02   0000.000000
