====== 200 keV H into Silicon =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     3.E+04 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
300010.E-03  213054.E-08  302912.E-09
600010.E-03  202018.E-08  576328.E-09
900010.E-03  195834.E-08  674527.E-09
120001.E-02  190831.E-08  232013.E-08
150001.E-02  188730.E-08  226604.E-08
180001.E-02  187445.E-08  283763.E-08
210001.E-02  189302.E-08  555242.E-08
240001.E-02  192145.E-08  580394.E-08
270001.E-02  195523.E-08  777025.E-08
300001.E-02  200641.E-08  107302.E-07
330001.E-02  210784.E-08  114603.E-07
360001.E-02  209508.E-08  550248.E-08
390001.E-02  208852.E-08  373140.E-08
420001.E-02  210119.E-08  490894.E-08
450001.E-02  212302.E-08  693457.E-08
480001.E-02  215955.E-08  775971.E-08
510001.E-02  222990.E-08  833578.E-08
540001.E-02  231882.E-08  702292.E-08
570001.E-02  231359.E-08  565681.E-08
600001.E-02  236462.E-08  905874.E-08
630001.E-02  242297.E-08  727402.E-08
660001.E-02  249261.E-08  934588.E-08
690001.E-02  250186.E-08  101965.E-07
720001.E-02  251403.E-08  687315.E-08
750001.E-02  261236.E-08  113191.E-07
780001.E-02  267812.E-08  679313.E-08
810001.E-02  273850.E-08  823260.E-08
840001.E-02  273772.E-08  838333.E-08
870001.E-02  283597.E-08  104568.E-07
900001.E-02  295620.E-08  103861.E-07
930001.E-02  297506.E-08  143926.E-07
960001.E-02  304665.E-08  958748.E-08
990001.E-02  317030.E-08  101636.E-07
102000.E-01  327188.E-08  980061.E-08
105000.E-01  337219.E-08  113435.E-07
108000.E-01  351764.E-08  129015.E-07
111000.E-01  368477.E-08  122248.E-07
114000.E-01  373305.E-08  159871.E-07
117000.E-01  382679.E-08  113750.E-07
120000.E-01  387983.E-08  192775.E-07
123000.E-01  416025.E-08  196389.E-07
126000.E-01  434695.E-08  140238.E-07
129000.E-01  453225.E-08  157058.E-07
132000.E-01  485597.E-08  180508.E-07
135000.E-01  501796.E-08  195130.E-07
138000.E-01  538126.E-08  195374.E-07
141000.E-01  561822.E-08  212501.E-07
144000.E-01  594257.E-08  239126.E-07
147000.E-01  645617.E-08  248876.E-07
150000.E-01  710291.E-08  293267.E-07
153000.E-01  797823.E-08  322064.E-07
156000.E-01  866998.E-08  338061.E-07
159000.E-01  990286.E-08  348337.E-07
162000.E-01  111327.E-07  394947.E-07
165000.E-01  134804.E-07  484082.E-07
168000.E-01  163000.E-07  607453.E-07
171000.E-01  204146.E-07  692921.E-07
174000.E-01  252591.E-07  827327.E-07
177000.E-01  334937.E-07  104516.E-06
180000.E-01  418846.E-07  116103.E-06
183000.E-01  498770.E-07  125783.E-06
186000.E-01  541427.E-07  119930.E-06
189000.E-01  525237.E-07  107534.E-06
192000.E-01  437499.E-07  856508.E-07
195000.E-01  303655.E-07  515650.E-07
198000.E-01  191210.E-07  323715.E-07
201000.E-01  946534.E-08  142435.E-07
204000.E-01  404903.E-08  620893.E-08
207000.E-01  137494.E-08  192291.E-08
210000.E-01  352789.E-09  434636.E-09
213000.E-01  326496.E-10  102311.E-10
216000.E-01  150295.E-10  142434.E-10
219000.E-01  000000.E+00  000000.E+00
222000.E-01  000000.E+00  000000.E+00
225000.E-01  000000.E+00  000000.E+00
228000.E-01  000000.E+00  000000.E+00
231000.E-01  000000.E+00  000000.E+00
234000.E-01  000000.E+00  000000.E+00
237000.E-01  000000.E+00  000000.E+00
240000.E-01  000000.E+00  000000.E+00
243000.E-01  000000.E+00  000000.E+00
246000.E-01  000000.E+00  000000.E+00
249000.E-01  000000.E+00  000000.E+00
252000.E-01  000000.E+00  000000.E+00
255000.E-01  000000.E+00  000000.E+00
258000.E-01  000000.E+00  000000.E+00
261000.E-01  000000.E+00  000000.E+00
264000.E-01  000000.E+00  000000.E+00
267000.E-01  000000.E+00  000000.E+00
270000.E-01  000000.E+00  000000.E+00
273000.E-01  000000.E+00  000000.E+00
276000.E-01  000000.E+00  000000.E+00
279000.E-01  000000.E+00  000000.E+00
282000.E-01  000000.E+00  000000.E+00
285000.E-01  000000.E+00  000000.E+00
288000.E-01  000000.E+00  000000.E+00
291000.E-01  000000.E+00  000000.E+00
294000.E-01  000000.E+00  000000.E+00
297000.E-01  000000.E+00  000000.E+00
300000.E-01  000000.E+00  000000.E+00
