====== 200 keV H into Silicon =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 200  keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     3.E+04 A   Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   184.9E+02 A   Straggling =   110.1E+01 A
 Ion Lateral Range =   132.0E+01 A   Straggling =   175.0E+01 A
 Ion Radial  Range =   207.5E+01 A   Straggling =   133.0E+01 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =3
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -002.7959  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 023.7888  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H         Si    
   (Ang.)       Ions     Tgt. Atoms
-----------  ----------  ----------
300010.E-03  0.0000E+00  1.4000E+03
600010.E-03  0.0000E+00  1.8000E+03
900010.E-03  0.0000E+00  2.7333E+03
120001.E-02  0.0000E+00  1.1300E+04
150001.E-02  0.0000E+00  1.0033E+04
180001.E-02  0.0000E+00  1.3100E+04
210001.E-02  0.0000E+00  2.6833E+04
240001.E-02  0.0000E+00  2.9333E+04
270001.E-02  0.0000E+00  3.8367E+04
300001.E-02  0.0000E+00  5.3868E+04
330001.E-02  3.3333E+01  5.5934E+04
360001.E-02  0.0000E+00  2.6967E+04
390001.E-02  0.0000E+00  1.7167E+04
420001.E-02  0.0000E+00  2.2300E+04
450001.E-02  0.0000E+00  3.2500E+04
480001.E-02  0.0000E+00  3.7500E+04
510001.E-02  3.3333E+01  3.9733E+04
540001.E-02  3.3333E+01  3.2867E+04
570001.E-02  0.0000E+00  2.5333E+04
600001.E-02  0.0000E+00  4.3067E+04
630001.E-02  0.0000E+00  3.3900E+04
660001.E-02  6.6667E+01  4.4267E+04
690001.E-02  0.0000E+00  4.9001E+04
720001.E-02  0.0000E+00  3.0433E+04
750001.E-02  3.3333E+01  5.2134E+04
780001.E-02  0.0000E+00  3.0700E+04
810001.E-02  0.0000E+00  3.6100E+04
840001.E-02  0.0000E+00  3.8067E+04
870001.E-02  0.0000E+00  4.8867E+04
900001.E-02  1.0000E+02  4.8934E+04
930001.E-02  3.3333E+01  6.8002E+04
960001.E-02  0.0000E+00  4.4134E+04
990001.E-02  1.0000E+02  4.7534E+04
102000.E-01  3.3333E+01  4.4200E+04
105000.E-01  6.6667E+01  5.1834E+04
108000.E-01  1.0000E+02  6.0568E+04
111000.E-01  1.0000E+02  5.6501E+04
114000.E-01  1.0000E+02  7.4236E+04
117000.E-01  1.0000E+02  5.2201E+04
120000.E-01  0.0000E+00  8.8436E+04
123000.E-01  1.6667E+02  9.3035E+04
126000.E-01  1.3333E+02  6.6268E+04
129000.E-01  1.3333E+02  7.1369E+04
132000.E-01  3.0000E+02  8.4469E+04
135000.E-01  1.3333E+02  9.1269E+04
138000.E-01  2.3333E+02  9.0002E+04
141000.E-01  3.0000E+02  9.8201E+04
144000.E-01  2.3333E+02  1.1153E+05
147000.E-01  4.6667E+02  1.1857E+05
150000.E-01  6.6667E+02  1.3723E+05
153000.E-01  7.3333E+02  1.5006E+05
156000.E-01  9.0000E+02  1.5933E+05
159000.E-01  1.5000E+03  1.6256E+05
162000.E-01  2.2000E+03  1.8237E+05
165000.E-01  3.2000E+03  2.2738E+05
168000.E-01  4.7333E+03  2.7652E+05
171000.E-01  7.2333E+03  3.1850E+05
174000.E-01  1.0800E+04  3.8178E+05
177000.E-01  1.7467E+04  4.7783E+05
180000.E-01  2.7400E+04  5.1771E+05
183000.E-01  3.6467E+04  5.5598E+05
186000.E-01  4.6267E+04  5.1797E+05
189000.E-01  5.0134E+04  4.5323E+05
192000.E-01  4.4400E+04  3.5774E+05
195000.E-01  3.3200E+04  2.0841E+05
198000.E-01  2.2533E+04  1.2827E+05
201000.E-01  1.2433E+04  5.3568E+04
204000.E-01  5.5333E+03  2.2967E+04
207000.E-01  1.7667E+03  7.2667E+03
210000.E-01  5.3333E+02  1.5333E+03
213000.E-01  6.6667E+01  0.0000E+00
216000.E-01  3.3333E+01  3.3333E+01
219000.E-01  0.0000E+00  0.0000E+00
222000.E-01  0.0000E+00  0.0000E+00
225000.E-01  0.0000E+00  0.0000E+00
228000.E-01  0.0000E+00  0.0000E+00
231000.E-01  0.0000E+00  0.0000E+00
234000.E-01  0.0000E+00  0.0000E+00
237000.E-01  0.0000E+00  0.0000E+00
240000.E-01  0.0000E+00  0.0000E+00
243000.E-01  0.0000E+00  0.0000E+00
246000.E-01  0.0000E+00  0.0000E+00
249000.E-01  0.0000E+00  0.0000E+00
252000.E-01  0.0000E+00  0.0000E+00
255000.E-01  0.0000E+00  0.0000E+00
258000.E-01  0.0000E+00  0.0000E+00
261000.E-01  0.0000E+00  0.0000E+00
264000.E-01  0.0000E+00  0.0000E+00
267000.E-01  0.0000E+00  0.0000E+00
270000.E-01  0.0000E+00  0.0000E+00
273000.E-01  0.0000E+00  0.0000E+00
276000.E-01  0.0000E+00  0.0000E+00
279000.E-01  0.0000E+00  0.0000E+00
282000.E-01  0.0000E+00  0.0000E+00
285000.E-01  0.0000E+00  0.0000E+00
288000.E-01  0.0000E+00  0.0000E+00
291000.E-01  0.0000E+00  0.0000E+00
294000.E-01  0.0000E+00  0.0000E+00
297000.E-01  0.0000E+00  0.0000E+00
300000.E-01  0.0000E+00  0.0000E+00
