============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.8885E+04 -2.1602E+03  1.2295E+03
0000002   1.8522E+04 -1.1292E+03 -4.2560E+03
0000003   1.8412E+04  1.7413E+03  2.1148E+03
0000004   1.8629E+04 -1.2759E+03  3.7112E+03
0000005   1.9863E+04  1.3257E+03  2.6067E+03
0000006   1.8496E+04 -8.9769E+02 -6.1732E+02
0000007   1.8005E+04  1.5657E+02  2.7583E+03
0000008   1.9625E+04  1.2948E+03 -5.0094E+01
0000009   1.7336E+04  3.1982E+03  1.0038E+03
0000010   1.8707E+04  7.2643E+02 -1.6583E+02
0000011   1.9250E+04 -1.6193E+03 -1.7303E+03
0000012   1.7305E+04 -3.2679E+03 -1.4139E+03
0000013   1.9509E+04  8.2566E+02  9.5183E+02
0000014   1.9063E+04 -2.7184E+03  1.8887E+03
0000015   1.8688E+04  1.2787E+03  2.0823E+01
0000016   1.8021E+04 -1.1228E+03  1.3442E+03
0000017   1.9892E+04  6.2364E+02  1.7923E+03
0000018   1.8020E+04  2.6708E+03  5.1927E+03
0000019   1.7556E+04 -1.0423E+03 -9.4284E+02
0000020   1.6587E+04 -5.9780E+03  1.4845E+03
0000021   1.9021E+04  4.0606E+02  3.7974E+02
0000022   1.6627E+04  3.6926E+03  1.2910E+03
0000023   1.9965E+04  1.2929E+03  1.6670E+03
0000024   1.9165E+04  1.4944E+03 -8.5706E+02
0000025   1.8084E+04 -1.5089E+03  5.7827E+02
0000026   1.6877E+04 -1.9468E+02  3.8835E+02
0000027   1.7494E+04  1.2976E+03 -1.6053E+03
0000028   1.8988E+04 -2.2736E+03  6.4236E+02
0000029   1.9460E+04 -3.8315E+03  6.6123E+02
0000030   1.8503E+04 -6.6716E+02  1.1427E+03
0000031   1.8624E+04 -9.2415E+02  8.7091E+02
0000032   1.8031E+04 -1.2569E+03  2.3927E+02
0000033   1.7895E+04  7.0125E+02 -9.2815E+02
0000034   1.9954E+04 -6.5066E+02  7.8692E+02
0000035   1.8981E+04  3.8193E+02  4.8567E+02
0000036   1.8726E+04  1.5156E+03 -2.7331E+02
0000037   1.8461E+04  1.6932E+03  6.8267E+02
0000038   1.8413E+04 -1.0762E+03  2.2608E+03
0000039   1.9046E+04  7.2239E+02  2.8410E+03
0000040   1.8768E+04  8.9636E+02 -3.2818E+03
0000041   1.9381E+04 -8.6295E+00  1.7271E+02
0000042   1.8439E+04 -2.1084E+03  5.2589E+02
0000043   1.8657E+04 -1.2683E+03  1.1698E+03
0000044   1.8190E+04 -2.4893E+03  1.2893E+03
0000045   1.8745E+04  1.6678E+03 -1.0236E+03
0000046   1.8826E+04  3.5027E+03  3.0715E+02
0000047   1.9139E+04 -1.1566E+03  1.1305E+02
0000048   1.9277E+04 -2.1280E+02  2.3769E+03
0000049   1.7564E+04 -2.6938E+03 -1.2036E+03
0000050   1.8179E+04  9.5692E+02  9.5532E+02
0000051   1.8586E+04  2.6159E+03 -1.9466E+03
0000052   1.9362E+04 -2.4129E+03 -7.1583E+02
0000053   1.7663E+04 -3.0018E+03 -7.8822E+01
0000054   1.8399E+04 -7.9183E+02 -6.0550E+01
0000055   1.9458E+04  1.5322E+03  1.3983E+03
0000056   1.8316E+04 -1.9828E+03  6.9663E+02
0000057   1.5863E+04  5.9188E+02 -4.6785E+03
0000058   1.9199E+04  7.5807E+02  2.0853E+02
0000059   1.9952E+04 -4.5454E+02  1.1903E+03
0000060   1.9449E+04 -3.2650E+02  4.9152E+02
0000061   1.6590E+04  1.5519E+03 -3.3460E+02
0000062   1.8206E+04  1.6090E+03  1.1373E+02
0000063   1.8930E+04  2.5198E+03 -1.3045E+03
0000064   1.7452E+04 -3.9538E+01 -1.6318E+03
0000065   1.8204E+04 -1.4074E+03 -1.4399E+03
0000066   1.8389E+04  2.2720E+02 -7.2213E+02
0000067   1.9252E+04 -4.0475E+02 -1.1615E+02
0000068   1.8182E+04  1.1371E+03 -1.8869E+03
0000069   1.6641E+04 -1.9753E+02 -1.9572E+03
0000070   1.8763E+04 -1.5727E+03  1.1297E+03
0000071   1.7920E+04 -2.6753E+03 -1.9582E+03
0000072   1.8338E+04 -5.3782E+02 -8.8404E+02
0000073   1.8240E+04 -2.2792E+03 -2.7113E+03
0000074   1.9346E+04  1.0026E+03  1.0166E+02
0000075   1.8579E+04 -8.2170E+02  1.2407E+03
0000076   1.8330E+04 -1.7602E+03 -1.7901E+02
0000077   1.7691E+04  1.4708E+02  2.9295E+03
0000078   1.8788E+04  1.8026E+03  2.0706E+03
0000079   1.9279E+04  1.3428E+03  4.7963E+02
0000080   1.9285E+04  6.3337E+02 -9.0177E+02
0000081   1.8448E+04  2.9975E+02  1.6339E+02
0000082   1.9339E+04 -2.7185E+03 -1.5232E+03
0000083   1.8469E+04 -2.0832E+02  2.1708E+03
0000084   1.8304E+04 -6.4075E+02  1.1558E+02
0000085   1.9008E+04 -1.1483E+03 -7.3112E+02
0000086   1.9421E+04 -1.8732E+03  7.5902E+02
0000087   1.8497E+04 -1.5686E+03 -6.8420E+02
0000088   1.7382E+04 -4.4614E+02  1.4443E+02
0000089   1.9179E+04 -1.3601E+02 -8.9229E+02
0000090   1.8188E+04 -8.5360E+02  8.7770E+01
0000091   1.9688E+04  8.7829E+02  1.7076E+03
0000092   1.9170E+04  1.2154E+02  1.8575E+03
0000093   1.7070E+04 -4.2578E+02 -1.8014E+03
0000094   1.9903E+04  8.8250E+02  1.2523E+03
0000095   1.8675E+04 -9.6917E+02 -1.6377E+02
0000096   1.9699E+04 -8.8250E+02  1.0657E+03
0000097   1.9089E+04  1.9284E+03 -3.6489E+02
0000098   1.6321E+04  5.7473E+03 -2.2053E+03
0000099   1.8729E+04  2.7576E+02  9.3165E+02
0000100   1.7736E+04 -4.3807E+03  1.5225E+03
0000101   1.9313E+04  9.6026E+02  4.3328E+01
0000102   1.7708E+04 -1.2489E+03 -5.6059E+02
0000103   1.9122E+04 -1.0718E+03  1.0897E+03
0000104   1.8573E+04 -2.7502E+03 -1.4001E+03
0000105   1.8457E+04 -1.7593E+03  1.5075E+03
0000106   1.8494E+04  4.4785E+02 -3.2659E+03
