====== 200 keV H into Silicon =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicon
Layer Width =     3.E+04 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 21 /Ion
 Total Target Displacements = 23 /Ion
 Total Target Replacement Collisions = 2 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Si       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
300010.E-03  6333.33E-09  1266.67E-08  
600010.E-03  8666.67E-09  1900.00E-08  
900010.E-03  1366.67E-08  2333.33E-08  
120001.E-02  3666.66E-08  1066.67E-07  
150001.E-02  3466.66E-08  9566.66E-08  
180001.E-02  4633.33E-08  1236.67E-07  
210001.E-02  6466.66E-08  2503.33E-07  
240001.E-02  7266.66E-08  2660.00E-07  
270001.E-02  9433.33E-08  3590.00E-07  
300001.E-02  1080.00E-07  5016.73E-07  
330001.E-02  1226.67E-07  5236.75E-07  
360001.E-02  6999.99E-08  2420.00E-07  
390001.E-02  6433.33E-08  1580.00E-07  
420001.E-02  7533.33E-08  2083.33E-07  
450001.E-02  8266.66E-08  3003.33E-07  
480001.E-02  8966.66E-08  3463.33E-07  
510001.E-02  9233.33E-08  3666.66E-07  
540001.E-02  9399.99E-08  3060.00E-07  
570001.E-02  9366.66E-08  2366.66E-07  
600001.E-02  9433.33E-08  3930.00E-07  
630001.E-02  9966.66E-08  3093.33E-07  
660001.E-02  1073.33E-07  4060.00E-07  
690001.E-02  1096.67E-07  4500.03E-07  
720001.E-02  9766.66E-08  2823.33E-07  
750001.E-02  1110.00E-07  4820.05E-07  
780001.E-02  9833.33E-08  2850.00E-07  
810001.E-02  1096.67E-07  3363.33E-07  
840001.E-02  1096.67E-07  3553.33E-07  
870001.E-02  1196.67E-07  4436.69E-07  
900001.E-02  1313.33E-07  4530.03E-07  
930001.E-02  1230.00E-07  6290.16E-07  
960001.E-02  1326.67E-07  4066.67E-07  
990001.E-02  1390.00E-07  4396.69E-07  
102000.E-01  1386.67E-07  4066.67E-07  
105000.E-01  1360.00E-07  4873.39E-07  
108000.E-01  1600.00E-07  5576.77E-07  
111000.E-01  1510.00E-07  5226.75E-07  
114000.E-01  1513.33E-07  6856.86E-07  
117000.E-01  1570.00E-07  4713.38E-07  
120000.E-01  1856.67E-07  8273.59E-07  
123000.E-01  1940.00E-07  8573.57E-07  
126000.E-01  2083.33E-07  6130.15E-07  
129000.E-01  2140.00E-07  6640.18E-07  
132000.E-01  2366.66E-07  7773.60E-07  
135000.E-01  2420.00E-07  8473.58E-07  
138000.E-01  2490.00E-07  8303.59E-07  
141000.E-01  2690.00E-07  9223.52E-07  
144000.E-01  2830.00E-07  1020.68E-06  
147000.E-01  3233.33E-07  1097.67E-06  
150000.E-01  3660.00E-07  1266.99E-06  
153000.E-01  4033.33E-07  1384.99E-06  
156000.E-01  4266.68E-07  1481.98E-06  
159000.E-01  5380.09E-07  1525.98E-06  
162000.E-01  6056.81E-07  1678.32E-06  
165000.E-01  7196.89E-07  2118.08E-06  
168000.E-01  8840.22E-07  2556.51E-06  
171000.E-01  1101.67E-06  2952.93E-06  
174000.E-01  1358.99E-06  3547.05E-06  
177000.E-01  1720.66E-06  4417.24E-06  
180000.E-01  2106.41E-06  4793.65E-06  
183000.E-01  2378.14E-06  5178.73E-06  
186000.E-01  2398.81E-06  4798.32E-06  
189000.E-01  2188.43E-06  4209.19E-06  
192000.E-01  1819.35E-06  3316.67E-06  
195000.E-01  1123.67E-06  1926.04E-06  
198000.E-01  6996.87E-07  1190.33E-06  
201000.E-01  3150.00E-07  4973.40E-07  
204000.E-01  1313.33E-07  2160.00E-07  
207000.E-01  4533.33E-08  6833.33E-08  
210000.E-01  9333.33E-09  1433.33E-08  
213000.E-01  0000.00E+00  0000.00E+00  
216000.E-01  3333.33E-10  3333.33E-10  
219000.E-01  0000.00E+00  0000.00E+00  
222000.E-01  0000.00E+00  0000.00E+00  
225000.E-01  0000.00E+00  0000.00E+00  
228000.E-01  0000.00E+00  0000.00E+00  
231000.E-01  0000.00E+00  0000.00E+00  
234000.E-01  0000.00E+00  0000.00E+00  
237000.E-01  0000.00E+00  0000.00E+00  
240000.E-01  0000.00E+00  0000.00E+00  
243000.E-01  0000.00E+00  0000.00E+00  
246000.E-01  0000.00E+00  0000.00E+00  
249000.E-01  0000.00E+00  0000.00E+00  
252000.E-01  0000.00E+00  0000.00E+00  
255000.E-01  0000.00E+00  0000.00E+00  
258000.E-01  0000.00E+00  0000.00E+00  
261000.E-01  0000.00E+00  0000.00E+00  
264000.E-01  0000.00E+00  0000.00E+00  
267000.E-01  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  
273000.E-01  0000.00E+00  0000.00E+00  
276000.E-01  0000.00E+00  0000.00E+00  
279000.E-01  0000.00E+00  0000.00E+00  
282000.E-01  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  
288000.E-01  0000.00E+00  0000.00E+00  
291000.E-01  0000.00E+00  0000.00E+00  
294000.E-01  0000.00E+00  0000.00E+00  
297000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
