====== 1keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(1 keV) ==> GaAs(  500 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 1 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 50000.E-02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 256746.E-04 A   Straggling = 152913.E-04 A
 Ion Lateral Range = 122941.E-04 A   Straggling = 158082.E-04 A
 Ion Radial  Range = 192687.E-04 A   Straggling = 112071.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5010000.E-06 10401194.E-06 13503916.E-06 16322958.E-06 99716061.E-07 
1001000.E-05 10851100.E-06 14110133.E-06 16896631.E-06 10355670.E-06 
1501000.E-05 11156526.E-06 14284929.E-06 17288787.E-06 10297898.E-06 
2001000.E-05 11818322.E-06 15264274.E-06 18368738.E-06 10821175.E-06 
2501000.E-05 11889546.E-06 15269667.E-06 18785289.E-06 10958020.E-06 
3001000.E-05 12348265.E-06 15803134.E-06 19584754.E-06 11076983.E-06 
3501000.E-05 13050780.E-06 16637574.E-06 20304073.E-06 11160568.E-06 
4001000.E-05 13430537.E-06 16955320.E-06 21198174.E-06 11449201.E-06 
4501000.E-05 13462445.E-06 17163486.E-06 21173907.E-06 11686369.E-06 
5001000.E-05 13879815.E-06 17654059.E-06 22130827.E-06 12091463.E-06 
5501000.E-05 14365527.E-06 18264235.E-06 23184205.E-06 12461924.E-06 
6001000.E-05 15665037.E-06 19618060.E-06 23669227.E-06 12201922.E-06 
6501000.E-05 15091593.E-06 19403628.E-06 22828633.E-06 12115382.E-06 
7001000.E-05 14333024.E-06 17702026.E-06 22510707.E-06 12557278.E-06 
7501000.E-05 17056598.E-06 22019571.E-06 24953573.E-06 13574081.E-06 
8001000.E-05 15790395.E-06 19755806.E-06 24367119.E-06 12987011.E-06 
8501000.E-05 14711586.E-06 17034365.E-06 22337154.E-06 11292841.E-06 
9001000.E-05 18372347.E-06 21772364.E-06 32896948.E-06 12534333.E-06 
9501000.E-05 15390843.E-06 16937153.E-06 29975761.E-06 11535185.E-06 
1000100.E-04 48001832.E-08 48001832.E-08 12351292.E-06 00000000.E+00 
1050100.E-04 13837494.E-06 14686389.E-06 23479612.E-06 42079654.E-07 
1100100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
