====== 1keV Ar into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Ar(1 keV) ==> GaAs(  500 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ar   Energy = 1 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     5.E+02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
501000.E-05  197847.E-05  614194.E-05
100100.E-04  257489.E-05  121817.E-04
150100.E-04  276412.E-05  179592.E-04
200100.E-04  256497.E-05  205461.E-04
250100.E-04  225864.E-05  191786.E-04
300100.E-04  182194.E-05  152586.E-04
350100.E-04  143347.E-05  113141.E-04
400100.E-04  106904.E-05  775160.E-05
450100.E-04  718141.E-06  503737.E-05
500100.E-04  486558.E-06  316681.E-05
550100.E-04  310232.E-06  189274.E-05
600100.E-04  195923.E-06  108198.E-05
650100.E-04  108073.E-06  575798.E-06
700100.E-04  601948.E-07  304866.E-06
750100.E-04  320140.E-07  147927.E-06
800100.E-04  167411.E-07  743709.E-07
850100.E-04  902099.E-08  324257.E-07
900100.E-04  623890.E-08  176469.E-07
950100.E-04  214256.E-08  657946.E-08
100010.E-03  707171.E-09  142815.E-08
105010.E-03  417997.E-09  233783.E-08
110010.E-03  765968.E-10  662249.E-09
115010.E-03  000000.E+00  279269.E-10
120010.E-03  000000.E+00  000000.E+00
125010.E-03  000000.E+00  000000.E+00
130010.E-03  000000.E+00  000000.E+00
135010.E-03  000000.E+00  000000.E+00
140010.E-03  000000.E+00  000000.E+00
145010.E-03  000000.E+00  000000.E+00
150010.E-03  000000.E+00  000000.E+00
155010.E-03  000000.E+00  000000.E+00
160010.E-03  000000.E+00  000000.E+00
165010.E-03  000000.E+00  000000.E+00
170010.E-03  000000.E+00  000000.E+00
175010.E-03  000000.E+00  000000.E+00
180010.E-03  000000.E+00  000000.E+00
185010.E-03  000000.E+00  000000.E+00
190010.E-03  000000.E+00  000000.E+00
195010.E-03  000000.E+00  000000.E+00
200010.E-03  000000.E+00  000000.E+00
205010.E-03  000000.E+00  000000.E+00
210010.E-03  000000.E+00  000000.E+00
215010.E-03  000000.E+00  000000.E+00
220010.E-03  000000.E+00  000000.E+00
225010.E-03  000000.E+00  000000.E+00
230010.E-03  000000.E+00  000000.E+00
235010.E-03  000000.E+00  000000.E+00
240010.E-03  000000.E+00  000000.E+00
245010.E-03  000000.E+00  000000.E+00
250010.E-03  000000.E+00  000000.E+00
255010.E-03  000000.E+00  000000.E+00
260010.E-03  000000.E+00  000000.E+00
265010.E-03  000000.E+00  000000.E+00
270010.E-03  000000.E+00  000000.E+00
275010.E-03  000000.E+00  000000.E+00
280010.E-03  000000.E+00  000000.E+00
285010.E-03  000000.E+00  000000.E+00
290010.E-03  000000.E+00  000000.E+00
295010.E-03  000000.E+00  000000.E+00
300010.E-03  000000.E+00  000000.E+00
305010.E-03  000000.E+00  000000.E+00
310010.E-03  000000.E+00  000000.E+00
315010.E-03  000000.E+00  000000.E+00
320010.E-03  000000.E+00  000000.E+00
325010.E-03  000000.E+00  000000.E+00
330010.E-03  000000.E+00  000000.E+00
335010.E-03  000000.E+00  000000.E+00
340010.E-03  000000.E+00  000000.E+00
345010.E-03  000000.E+00  000000.E+00
350010.E-03  000000.E+00  000000.E+00
355010.E-03  000000.E+00  000000.E+00
360010.E-03  000000.E+00  000000.E+00
365010.E-03  000000.E+00  000000.E+00
370010.E-03  000000.E+00  000000.E+00
375010.E-03  000000.E+00  000000.E+00
380010.E-03  000000.E+00  000000.E+00
385010.E-03  000000.E+00  000000.E+00
390010.E-03  000000.E+00  000000.E+00
395010.E-03  000000.E+00  000000.E+00
400010.E-03  000000.E+00  000000.E+00
405010.E-03  000000.E+00  000000.E+00
410010.E-03  000000.E+00  000000.E+00
415010.E-03  000000.E+00  000000.E+00
420010.E-03  000000.E+00  000000.E+00
425010.E-03  000000.E+00  000000.E+00
430010.E-03  000000.E+00  000000.E+00
435010.E-03  000000.E+00  000000.E+00
440010.E-03  000000.E+00  000000.E+00
445010.E-03  000000.E+00  000000.E+00
450010.E-03  000000.E+00  000000.E+00
455010.E-03  000000.E+00  000000.E+00
460010.E-03  000000.E+00  000000.E+00
465010.E-03  000000.E+00  000000.E+00
470010.E-03  000000.E+00  000000.E+00
475010.E-03  000000.E+00  000000.E+00
480010.E-03  000000.E+00  000000.E+00
485010.E-03  000000.E+00  000000.E+00
490010.E-03  000000.E+00  000000.E+00
495010.E-03  000000.E+00  000000.E+00
500010.E-03  000000.E+00  000000.E+00
