====== 3keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ar(3 keV) ==> GaAs(  600 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 3 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 60000.E-02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
601000.E-05  4403.82E-02  2172.65E-02  2262.33E-02  
120100.E-04  4587.13E-02  2315.10E-02  2317.66E-02  
180100.E-04  4632.87E-02  2327.31E-02  2356.84E-02  
240100.E-04  4445.98E-02  2282.34E-02  2215.35E-02  
300100.E-04  4057.70E-02  2099.08E-02  2009.12E-02  
360100.E-04  3661.23E-02  1915.75E-02  1793.83E-02  
420100.E-04  3200.82E-02  1629.77E-02  1615.39E-02  
480100.E-04  2638.30E-02  1351.26E-02  1326.63E-02  
540100.E-04  2232.19E-02  1147.28E-02  1119.37E-02  
600100.E-04  1797.27E-02  9153.45E-03  9112.82E-03  
660100.E-04  1404.38E-02  7277.93E-03  7012.57E-03  
720100.E-04  1127.26E-02  5702.04E-03  5773.05E-03  
780100.E-04  8166.15E-03  4102.57E-03  4220.10E-03  
840100.E-04  6144.39E-03  3159.77E-03  3107.75E-03  
900100.E-04  4513.52E-03  2105.92E-03  2500.85E-03  
960100.E-04  3455.61E-03  1743.66E-03  1785.13E-03  
102010.E-03  2401.89E-03  1159.48E-03  1296.58E-03  
108010.E-03  1691.08E-03  8864.01E-04  8432.08E-04  
114010.E-03  1185.90E-03  6059.46E-04  6081.58E-04  
120010.E-03  8060.04E-04  4442.38E-04  3820.91E-04  
126010.E-03  5261.19E-04  2790.02E-04  2609.92E-04  
132010.E-03  3586.03E-04  2094.95E-04  1587.08E-04  
138010.E-03  2995.29E-04  1661.13E-04  1414.91E-04  
144010.E-03  1417.98E-04  6984.22E-05  7628.08E-05  
150010.E-03  1022.10E-04  5324.16E-05  5174.29E-05  
156010.E-03  6953.77E-05  2559.19E-05  4597.08E-05  
162010.E-03  3456.82E-05  2333.25E-05  1251.07E-05  
168010.E-03  1721.12E-05  6675.97E-06  1113.53E-05  
174010.E-03  6103.68E-06  2731.83E-06  3671.85E-06  
180010.E-03  5407.19E-06  1991.19E-07  5408.07E-06  
186010.E-03  9872.52E-07  6884.86E-07  3737.66E-07  
192010.E-03  4977.28E-06  4002.52E-06  1024.76E-06  
198010.E-03  1554.22E-06  1604.22E-06  0000.00E+00  
204010.E-03  3154.95E-06  1304.58E-06  1950.37E-06  
210010.E-03  7036.73E-08  0000.00E+00  9536.73E-08  
216010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
222010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
228010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
234010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
240010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
246010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
252010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
258010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
264010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
270010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
276010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
282010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
288010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
294010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
300010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
306010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
312010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
318010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
324010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
330010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
336010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
342010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
348010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
354010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
360010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
