====== 3keV Ar into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Ar(3 keV) ==> GaAs(  600 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ar   Energy = 3 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 60000.E-02 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =020000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
601000.E-05  6223.80E-03  6188.31E-03
120100.E-04  6508.10E-03  6670.03E-03
180100.E-04  6422.25E-03  6766.26E-03
240100.E-04  6044.88E-03  6274.22E-03
300100.E-04  5542.84E-03  5655.80E-03
360100.E-04  4928.65E-03  5294.11E-03
420100.E-04  4260.29E-03  4786.53E-03
480100.E-04  3601.48E-03  4133.39E-03
540100.E-04  2975.82E-03  3531.90E-03
600100.E-04  2427.44E-03  2929.75E-03
660100.E-04  1894.57E-03  2353.01E-03
720100.E-04  1482.36E-03  1842.73E-03
780100.E-04  1116.71E-03  1399.06E-03
840100.E-04  8397.73E-04  1044.89E-03
900100.E-04  6339.08E-04  7774.06E-04
960100.E-04  4653.55E-04  5724.27E-04
102010.E-03  3241.64E-04  4201.36E-04
108010.E-03  2311.16E-04  2891.04E-04
114010.E-03  1557.19E-04  1998.26E-04
120010.E-03  1128.00E-04  1411.00E-04
126010.E-03  7489.45E-05  9409.55E-05
132010.E-03  5291.32E-05  6846.71E-05
138010.E-03  3938.10E-05  4348.72E-05
144010.E-03  2080.30E-05  2963.59E-05
150010.E-03  1450.07E-05  1800.56E-05
156010.E-03  1166.69E-05  1046.45E-05
162010.E-03  4748.17E-06  7942.31E-06
168010.E-03  2231.15E-06  3800.47E-06
174010.E-03  1505.39E-06  1775.90E-06
180010.E-03  5260.86E-07  6766.52E-07
186010.E-03  3318.58E-07  4996.89E-07
192010.E-03  6513.05E-07  5676.92E-07
198010.E-03  1996.99E-07  4131.60E-07
204010.E-03  4366.24E-07  4106.72E-07
210010.E-03  1260.65E-07  1411.01E-07
216010.E-03  3939.22E-08  9296.69E-08
222010.E-03  2447.58E-08  2698.01E-08
228010.E-03  0000.00E+00  0000.00E+00
234010.E-03  0000.00E+00  0000.00E+00
240010.E-03  0000.00E+00  0000.00E+00
246010.E-03  0000.00E+00  0000.00E+00
252010.E-03  0000.00E+00  0000.00E+00
258010.E-03  0000.00E+00  0000.00E+00
264010.E-03  0000.00E+00  0000.00E+00
270010.E-03  0000.00E+00  0000.00E+00
276010.E-03  0000.00E+00  0000.00E+00
282010.E-03  0000.00E+00  0000.00E+00
288010.E-03  0000.00E+00  0000.00E+00
294010.E-03  0000.00E+00  0000.00E+00
300010.E-03  0000.00E+00  0000.00E+00
306010.E-03  0000.00E+00  0000.00E+00
312010.E-03  0000.00E+00  0000.00E+00
318010.E-03  0000.00E+00  0000.00E+00
324010.E-03  0000.00E+00  0000.00E+00
330010.E-03  0000.00E+00  0000.00E+00
336010.E-03  0000.00E+00  0000.00E+00
342010.E-03  0000.00E+00  0000.00E+00
348010.E-03  0000.00E+00  0000.00E+00
354010.E-03  0000.00E+00  0000.00E+00
360010.E-03  0000.00E+00  0000.00E+00
366010.E-03  0000.00E+00  0000.00E+00
372010.E-03  0000.00E+00  0000.00E+00
378010.E-03  0000.00E+00  0000.00E+00
384010.E-03  0000.00E+00  0000.00E+00
390010.E-03  0000.00E+00  0000.00E+00
396010.E-03  0000.00E+00  0000.00E+00
402010.E-03  0000.00E+00  0000.00E+00
408010.E-03  0000.00E+00  0000.00E+00
414010.E-03  0000.00E+00  0000.00E+00
420010.E-03  0000.00E+00  0000.00E+00
426010.E-03  0000.00E+00  0000.00E+00
432010.E-03  0000.00E+00  0000.00E+00
438010.E-03  0000.00E+00  0000.00E+00
444010.E-03  0000.00E+00  0000.00E+00
450010.E-03  0000.00E+00  0000.00E+00
456010.E-03  0000.00E+00  0000.00E+00
462010.E-03  0000.00E+00  0000.00E+00
468010.E-03  0000.00E+00  0000.00E+00
474010.E-03  0000.00E+00  0000.00E+00
480010.E-03  0000.00E+00  0000.00E+00
486010.E-03  0000.00E+00  0000.00E+00
492010.E-03  0000.00E+00  0000.00E+00
498010.E-03  0000.00E+00  0000.00E+00
504010.E-03  0000.00E+00  0000.00E+00
510010.E-03  0000.00E+00  0000.00E+00
516010.E-03  0000.00E+00  0000.00E+00
522010.E-03  0000.00E+00  0000.00E+00
528010.E-03  0000.00E+00  0000.00E+00
534010.E-03  0000.00E+00  0000.00E+00
540010.E-03  0000.00E+00  0000.00E+00
546010.E-03  0000.00E+00  0000.00E+00
552010.E-03  0000.00E+00  0000.00E+00
558010.E-03  0000.00E+00  0000.00E+00
564010.E-03  0000.00E+00  0000.00E+00
570010.E-03  0000.00E+00  0000.00E+00
576010.E-03  0000.00E+00  0000.00E+00
582010.E-03  0000.00E+00  0000.00E+00
588010.E-03  0000.00E+00  0000.00E+00
594010.E-03  0000.00E+00  0000.00E+00
600010.E-03  0000.00E+00  0000.00E+00
