====== 3keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.= Ar(3 keV) ==> GaAs(  600 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 3 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     6.E+02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
 Total Target Vacancies     = 64 /Ion
 Total Target Displacements = 65 /Ion
 Total Target Replacement Collisions = 2 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
6010000.E-06   0000.012175
1201000.E-05   0000.018208
1801000.E-05   0000.023075
2401000.E-05   0000.025383
3001000.E-05   0000.025166
3601000.E-05   0000.025208
4201000.E-05   0000.024416
4801000.E-05   0000.020291
5401000.E-05   0000.017458
6001000.E-05   0000.014292
6601000.E-05   0000.011825
7201000.E-05   0000.009117
7801000.E-05   0000.007317
8401000.E-05   0000.005817
9001000.E-05   0000.004183
9601000.E-05   0000.003167
1020100.E-04   0000.002258
1080100.E-04   0000.001600
1140100.E-04   0000.001192
1200100.E-04   0000.000633
1260100.E-04   0000.000558
1320100.E-04   0000.000417
1380100.E-04   0000.000233
1440100.E-04   0000.000183
1500100.E-04   0000.000108
1560100.E-04   0000.000050
1620100.E-04   0000.000033
1680100.E-04   0000.000025
1740100.E-04   0000.000017
1800100.E-04   0000.000008
1860100.E-04   0000.000000
1920100.E-04   0000.000000
1980100.E-04   0000.000008
2040100.E-04   0000.000008
2100100.E-04   0000.000000
2160100.E-04   0000.000000
2220100.E-04   0000.000000
2280100.E-04   0000.000000
2340100.E-04   0000.000000
2400100.E-04   0000.000000
2460100.E-04   0000.000000
2520100.E-04   0000.000000
2580100.E-04   0000.000000
2640100.E-04   0000.000000
2700100.E-04   0000.000000
2760100.E-04   0000.000000
2820100.E-04   0000.000000
2880100.E-04   0000.000000
2940100.E-04   0000.000000
3000100.E-04   0000.000000
3060100.E-04   0000.000000
3120100.E-04   0000.000000
3180100.E-04   0000.000000
3240100.E-04   0000.000000
3300100.E-04   0000.000000
3360100.E-04   0000.000000
3420100.E-04   0000.000000
3480100.E-04   0000.000000
3540100.E-04   0000.000000
3600100.E-04   0000.000000
3660100.E-04   0000.000000
3720100.E-04   0000.000000
3780100.E-04   0000.000000
3840100.E-04   0000.000000
3900100.E-04   0000.000000
3960100.E-04   0000.000000
4020100.E-04   0000.000000
4080100.E-04   0000.000000
4140100.E-04   0000.000000
4200100.E-04   0000.000000
4260100.E-04   0000.000000
4320100.E-04   0000.000000
4380100.E-04   0000.000000
4440100.E-04   0000.000000
4500100.E-04   0000.000000
4560100.E-04   0000.000000
4620100.E-04   0000.000000
4680100.E-04   0000.000000
4740100.E-04   0000.000000
4800100.E-04   0000.000000
4860100.E-04   0000.000000
4920100.E-04   0000.000000
4980100.E-04   0000.000000
5040100.E-04   0000.000000
5100100.E-04   0000.000000
5160100.E-04   0000.000000
5220100.E-04   0000.000000
5280100.E-04   0000.000000
5340100.E-04   0000.000000
5400100.E-04   0000.000000
5460100.E-04   0000.000000
5520100.E-04   0000.000000
5580100.E-04   0000.000000
5640100.E-04   0000.000000
5700100.E-04   0000.000000
5760100.E-04   0000.000000
5820100.E-04   0000.000000
5880100.E-04   0000.000000
5940100.E-04   0000.000000
6000100.E-04   0000.000000
