============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 3000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=600000.E-03 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.7399E+01 -4.9624E+01  2.2971E-02
0000002   2.7244E+01  9.9605E+00 -2.1517E+01
0000004   3.3716E+01  6.3633E+00 -3.4625E+01
0000005   1.3922E+01 -5.7850E+01  1.5778E+01
0000006   4.7348E+01  4.5794E+01 -2.3144E+01
0000007   5.9431E+01  2.3991E+01 -1.6506E+01
0000008   3.8962E+01  5.3287E+00 -2.7407E+01
0000009   3.5551E+01  1.5739E+01  3.4961E+01
0000010   3.7754E+01 -1.2612E+01 -4.5104E+01
0000011   4.2879E+01 -3.9319E+01 -1.5898E+01
0000012   3.8786E+01  4.1914E+01 -2.3854E+01
0000013   1.0047E+02 -1.1903E+01 -1.6333E+01
0000015   5.1345E+01  2.1038E+01 -2.1671E+01
0000016   2.8931E+01 -3.4694E+01  4.1914E+00
0000017   8.5914E+01 -4.2843E+01  4.7485E+01
0000018   6.4014E+01 -3.7567E+01 -8.8521E+00
0000019   1.4774E+02 -2.5950E+01 -1.4255E+01
0000020   5.1303E+01 -2.7404E+01  2.9386E+01
0000021   1.8884E+01 -1.9243E+00 -1.2146E+01
0000022   1.3779E+01 -2.6838E+01 -1.3379E+00
0000023   8.1963E+01 -2.1990E+01  1.8280E+01
0000024   1.8740E+01 -3.0663E+01 -3.1066E+01
0000026   3.0411E+01 -1.1293E+01 -6.8233E-01
0000028   3.3997E+01 -3.3177E+01 -1.7805E+01
0000029   8.8258E+01  7.5118E+00 -2.9746E+01
0000030   8.4175E+01 -3.6763E+01  3.2668E+01
0000031   2.7759E+00 -4.1502E+01  1.4912E+01
0000032   5.8884E+01  3.8901E+01  4.3715E+00
0000033   4.7566E+01  1.6567E+01 -1.5340E+01
0000034   5.1467E+00  3.1273E+00  1.8529E+01
0000035   3.8310E+01 -5.6353E+00 -1.6445E+01
0000036   7.5314E+01  9.6685E+00  4.5045E+01
0000037   2.0379E+01  2.0745E+01 -3.3338E+01
0000038   6.9447E+01 -1.7746E+01  6.9351E+00
0000039   2.7864E+01 -1.2800E+01 -4.6813E+00
0000040   8.7896E+01 -1.9995E+01  1.2261E+01
0000041   1.6633E+01 -7.1866E+00  3.2187E+01
0000042   9.9619E+01 -7.3559E+00 -3.8281E+01
0000043   4.3597E+01 -2.3812E+00 -6.1870E+00
0000044   2.5323E+01  4.0240E+01 -3.7697E+00
0000045   2.9682E+01 -4.1498E+00  6.3828E+00
0000046   4.4031E+01 -1.8219E+01  2.6953E+01
0000047   1.0301E+02 -4.8250E+01  7.7855E+01
0000048   3.8958E+01  3.8445E+01 -4.6533E+01
0000049   6.6193E+01  3.1547E+01  1.9524E+01
0000050   5.7669E+01  4.2100E+00  2.1923E+01
0000051   4.8227E+01 -8.1088E+00 -2.6520E+01
0000052   3.6477E+01 -3.6825E+00 -2.2210E+01
0000053   1.6255E+01  1.0666E+01  1.4516E+01
0000054   9.4987E+01  1.0115E+02  4.8009E+01
0000055   2.2875E+01 -1.7579E+01 -3.3275E+01
0000056   5.6547E+00 -2.2096E+01 -2.7692E+01
0000057   5.5376E+01 -3.2393E+01  4.3631E+00
0000058   3.0569E+01 -7.3573E+00 -2.4921E+01
0000059   5.2302E+01 -4.1126E+00  2.8183E+01
0000060   8.9647E+01 -3.9389E+01  5.1974E+01
0000061   3.3703E+01 -1.0879E+01  3.5457E+01
0000062   1.1293E+02  6.9386E+01 -1.6319E+01
0000063   2.5014E+01  3.6637E+00  1.5275E+01
0000064   8.4350E+01  4.7980E+01  2.4551E+01
0000065   8.3355E+01 -2.2609E+01  7.7519E+00
0000066   3.1516E+01 -9.3987E+00 -7.6389E+00
0000067   3.2398E+01  2.0088E+00  3.4266E+00
0000068   2.8043E+01 -1.0628E+01 -3.2139E+01
0000069   6.6069E+01 -3.8288E+01  3.8483E+01
0000070   3.8362E+01  1.6882E+01  3.3054E+01
0000071   6.3497E+01 -3.9119E+01 -7.4552E+00
0000072   4.7037E+01  2.8183E+00  3.9501E+01
0000073   7.4022E+01 -2.4405E+01 -8.5637E+00
0000074   1.0370E+02 -3.3236E+01 -2.9530E+01
0000075   9.5104E+01 -2.3737E+01 -5.1644E+01
0000076   1.1978E+02 -1.4969E+01 -2.6289E+01
0000077   3.8710E+01  3.1062E+00  2.0813E+01
0000078   4.1326E+00 -3.6908E+01  3.3542E+01
0000079   2.7631E+01 -3.9760E+01 -2.1723E+01
0000080   5.9565E+01 -1.6071E+01 -5.6187E+01
0000081   5.3374E+01  3.2474E+01  5.7764E+01
0000082   2.5100E+01 -1.2376E+00 -5.3464E+00
0000083   6.3261E+01 -3.0829E+01  2.8548E+01
0000084   1.0024E+02 -7.6394E+01 -4.8412E+00
0000085   1.0277E+01 -2.5249E+01  4.3524E+01
0000086   8.8643E+01 -2.1964E+01  5.2616E+01
0000087   5.6062E+01 -1.1325E+01  4.0594E+01
0000089   8.7678E+01 -6.4967E+00  9.1336E+00
0000090   4.1890E+01 -1.9263E+01 -2.6458E+01
0000091   7.7937E+01 -5.8655E+00 -2.1544E+01
0000092   1.2523E+02 -5.3457E+01 -6.0750E+00
0000093   7.2123E+01 -2.3968E+01  1.5273E+01
0000094   6.0294E+01 -6.8481E+01 -1.0259E+01
0000095   9.5922E+01 -5.7309E+01  3.6109E+01
0000097   5.2873E+01  1.1086E+01  2.0887E+00
0000098   3.3567E+01  1.2921E+01 -2.3254E+01
0000099   5.6740E+01  3.2929E+01 -6.6201E+01
0000100   7.4435E+01  3.4720E+01  3.4322E+01
0000101   6.0162E+01 -2.7902E+01  1.7635E+01
0000102   3.9826E+01  1.1522E+00 -3.3727E+01
0000103   9.0258E+01  4.0984E+01 -1.6803E+01
0000104   5.1780E+01  2.3928E+01 -5.7019E+01
0000105   3.7535E+01 -1.2246E+01  2.3826E+01
0000106   8.9388E+01 -4.7941E+01 -1.6292E+01
0000107   5.6824E+01 -1.4232E+01  9.8154E+01
0000108   8.8978E+01  2.8377E+01  2.7371E+01
0000109   7.0760E+01  2.3452E+01 -1.6916E+01
0000110   5.2308E+01  1.8618E+01 -2.9649E+01
0000111   1.0771E+02 -3.1144E+01  2.7582E+01
