====== 3keV Ar into GaAs (sputter) =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Ar(3 keV) ==> GaAs(  600 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ar   Energy = 3 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     6.E+02 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
 Total Target Vacancies     = 64 /Ion
 Total Target Displacements = 65 /Ion
 Total Target Replacement Collisions = 2 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Ar           Ga           As       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
601000.E-05  1038.49E-04  2437.19E-04  2434.86E-04  
120100.E-04  1521.06E-04  3836.07E-04  3859.80E-04  
180100.E-04  1709.57E-04  4729.88E-04  4758.69E-04  
240100.E-04  1723.99E-04  5120.40E-04  5136.68E-04  
300100.E-04  1683.56E-04  5118.23E-04  5121.32E-04  
360100.E-04  1612.10E-04  4881.85E-04  4887.61E-04  
420100.E-04  1477.96E-04  4434.81E-04  4436.73E-04  
480100.E-04  1319.54E-04  3868.79E-04  3856.80E-04  
540100.E-04  1148.63E-04  3273.87E-04  3313.58E-04  
600100.E-04  9783.28E-05  2743.05E-04  2752.79E-04  
660100.E-04  8224.49E-05  2217.90E-04  2207.41E-04  
720100.E-04  6748.19E-05  1748.34E-04  1734.66E-04  
780100.E-04  5217.73E-05  1331.72E-04  1327.46E-04  
840100.E-04  4104.29E-05  9906.58E-05  1003.57E-04  
900100.E-04  3108.34E-05  7393.03E-05  7508.00E-05  
960100.E-04  2439.11E-05  5509.32E-05  5636.79E-05  
102010.E-03  1805.82E-05  3965.94E-05  4173.47E-05  
108010.E-03  1284.18E-05  2739.13E-05  2801.63E-05  
114010.E-03  9400.05E-06  2031.64E-05  1943.31E-05  
120010.E-03  6774.97E-06  1356.68E-05  1361.68E-05  
126010.E-03  4624.99E-06  9666.73E-06  9600.06E-06  
132010.E-03  3200.01E-06  6666.64E-06  6424.96E-06  
138010.E-03  2691.67E-06  4566.66E-06  4374.99E-06  
144010.E-03  1441.67E-06  2983.34E-06  2958.34E-06  
150010.E-03  9250.00E-07  1508.33E-06  1883.33E-06  
156010.E-03  6750.01E-07  1050.00E-06  1216.67E-06  
162010.E-03  4250.00E-07  8416.67E-07  7916.67E-07  
168010.E-03  2000.00E-07  2583.33E-07  3500.00E-07  
174010.E-03  1000.00E-07  2250.00E-07  1500.00E-07  
180010.E-03  6666.67E-08  5000.00E-08  8333.34E-08  
186010.E-03  2500.00E-08  8333.34E-08  4166.67E-08  
192010.E-03  1666.67E-08  5833.34E-08  4166.67E-08  
198010.E-03  1666.67E-08  5000.00E-08  8333.34E-09  
204010.E-03  3333.33E-08  5000.00E-08  4166.67E-08  
210010.E-03  8333.34E-09  8333.34E-09  2500.00E-08  
216010.E-03  0000.00E+00  0000.00E+00  8333.34E-09  
222010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
228010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
234010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
240010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
246010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
252010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
258010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
264010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
270010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
276010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
282010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
288010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
294010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
300010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
306010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
312010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
318010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
324010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
330010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
336010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
342010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
348010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
354010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
360010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
366010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
372010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
378010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
384010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
390010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
396010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
402010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
408010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
414010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
420010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
426010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
432010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
438010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
444010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
450010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
456010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
462010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
468010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
474010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
480010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
486010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
492010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
498010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
504010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
510010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
516010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
522010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
528010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
534010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
540010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
546010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
552010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
558010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
564010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
570010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
576010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
582010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
588010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
594010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
600010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
