====== 10keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ar(10 keV) ==> GaAs(  900 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 90000.E-02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
901000.E-05  5964.73E-02  3081.45E-02  2905.38E-02  
180100.E-04  6480.75E-02  3311.62E-02  3201.80E-02  
270100.E-04  6620.86E-02  3299.50E-02  3357.40E-02  
360100.E-04  6756.14E-02  3316.14E-02  3478.48E-02  
450100.E-04  6535.71E-02  3346.02E-02  3229.37E-02  
540100.E-04  6424.91E-02  3235.80E-02  3229.19E-02  
630100.E-04  6059.70E-02  3085.00E-02  3014.95E-02  
720100.E-04  5739.17E-02  2884.88E-02  2894.05E-02  
810100.E-04  5343.27E-02  2625.34E-02  2756.78E-02  
900100.E-04  4847.50E-02  2460.85E-02  2423.53E-02  
990100.E-04  4404.19E-02  2226.39E-02  2212.49E-02  
108010.E-03  4044.75E-02  2027.77E-02  2049.24E-02  
117010.E-03  3620.90E-02  1855.91E-02  1794.71E-02  
126010.E-03  3150.24E-02  1599.24E-02  1577.89E-02  
135010.E-03  2825.89E-02  1467.69E-02  1383.11E-02  
144010.E-03  2469.33E-02  1250.32E-02  1241.55E-02  
153010.E-03  2057.11E-02  1022.80E-02  1053.88E-02  
162010.E-03  1729.42E-02  8768.36E-03  8694.07E-03  
171010.E-03  1387.01E-02  7155.79E-03  6856.90E-03  
180010.E-03  1157.20E-02  6007.25E-03  5685.15E-03  
189010.E-03  9614.72E-03  4835.41E-03  4882.58E-03  
198010.E-03  7927.21E-03  4189.06E-03  3824.20E-03  
207010.E-03  6172.74E-03  3017.85E-03  3225.32E-03  
216010.E-03  4996.75E-03  2547.32E-03  2506.68E-03  
225010.E-03  4189.05E-03  2215.70E-03  2020.77E-03  
234010.E-03  3036.38E-03  1476.15E-03  1598.62E-03  
243010.E-03  2555.42E-03  1258.84E-03  1327.67E-03  
252010.E-03  1629.95E-03  7954.25E-04  8566.58E-04  
261010.E-03  1384.88E-03  7367.90E-04  6658.38E-04  
270010.E-03  9891.83E-04  4804.70E-04  5218.97E-04  
279010.E-03  8110.49E-04  3764.87E-04  4452.78E-04  
288010.E-03  6182.86E-04  3152.88E-04  3110.31E-04  
297010.E-03  4521.32E-04  2138.72E-04  2455.43E-04  
306010.E-03  3709.32E-04  1858.35E-04  1905.31E-04  
315010.E-03  3024.06E-04  1654.47E-04  1417.26E-04  
324010.E-03  1589.46E-04  7640.46E-05  8485.84E-05  
333010.E-03  1190.88E-04  6821.21E-05  5292.56E-05  
342010.E-03  6651.70E-05  3347.86E-05  3415.51E-05  
351010.E-03  6675.64E-05  4395.89E-05  2396.42E-05  
360010.E-03  4433.02E-05  2485.94E-05  2023.75E-05  
369010.E-03  1053.17E-05  9334.34E-06  1464.05E-06  
378010.E-03  1586.55E-05  5724.41E-06  1039.11E-05  
387010.E-03  3879.73E-06  1224.89E-06  2788.17E-06  
396010.E-03  2367.40E-05  1846.01E-05  5513.86E-06  
405010.E-03  1526.22E-05  9532.45E-06  5963.09E-06  
414010.E-03  2281.52E-06  3160.24E-07  2032.16E-06  
423010.E-03  6640.69E-06  6729.70E-06  2765.57E-08  
432010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
441010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
450010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
459010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
468010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
477010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
486010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
495010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
504010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
513010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
522010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
531010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
540010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
