====== 10keV Ar into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Ar(10 keV) ==> GaAs(  900 A) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ar   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 90000.E-02 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =020000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
901000.E-05  1109.98E-02  8013.04E-03
180100.E-04  1145.17E-02  8480.18E-03
270100.E-04  1161.50E-02  8493.29E-03
360100.E-04  1156.28E-02  9003.45E-03
450100.E-04  1112.33E-02  9507.50E-03
540100.E-04  1070.44E-02  9617.43E-03
630100.E-04  1008.37E-02  9508.22E-03
720100.E-04  9456.80E-03  9233.38E-03
810100.E-04  8799.67E-03  8705.43E-03
900100.E-04  7916.24E-03  8078.41E-03
990100.E-04  7096.42E-03  7375.49E-03
108010.E-03  6355.14E-03  6694.53E-03
117010.E-03  5576.90E-03  6001.25E-03
126010.E-03  4849.22E-03  5260.36E-03
135010.E-03  4255.12E-03  4610.43E-03
144010.E-03  3713.71E-03  4068.60E-03
153010.E-03  3050.47E-03  3475.28E-03
162010.E-03  2587.27E-03  2956.74E-03
171010.E-03  2084.36E-03  2404.90E-03
180010.E-03  1731.77E-03  1965.22E-03
189010.E-03  1364.71E-03  1618.74E-03
198010.E-03  1113.89E-03  1326.97E-03
207010.E-03  9174.54E-04  1078.31E-03
216010.E-03  7075.18E-04  8629.88E-04
225010.E-03  5565.85E-04  6727.92E-04
234010.E-03  4248.55E-04  5339.71E-04
243010.E-03  3304.98E-04  4068.54E-04
252010.E-03  2544.23E-04  3180.29E-04
261010.E-03  1895.67E-04  2283.93E-04
270010.E-03  1397.30E-04  1685.32E-04
279010.E-03  1170.33E-04  1274.27E-04
288010.E-03  8491.29E-05  1059.73E-04
297010.E-03  7155.97E-05  7449.09E-05
306010.E-03  5281.36E-05  5809.56E-05
315010.E-03  3697.87E-05  4079.65E-05
324010.E-03  2249.46E-05  2683.12E-05
333010.E-03  1792.75E-05  2029.25E-05
342010.E-03  1200.73E-05  1469.39E-05
351010.E-03  1256.85E-05  9995.92E-06
360010.E-03  4784.53E-06  6690.01E-06
369010.E-03  2638.93E-06  4038.84E-06
378010.E-03  2353.01E-06  2214.10E-06
387010.E-03  1706.61E-06  2245.65E-06
396010.E-03  1152.55E-06  2474.27E-06
405010.E-03  9038.81E-07  1223.06E-06
414010.E-03  5595.56E-07  9658.36E-07
423010.E-03  7356.24E-07  1027.53E-06
432010.E-03  0000.00E+00  3566.83E-07
441010.E-03  0000.00E+00  1471.90E-07
450010.E-03  0000.00E+00  0000.00E+00
459010.E-03  0000.00E+00  0000.00E+00
468010.E-03  0000.00E+00  0000.00E+00
477010.E-03  0000.00E+00  0000.00E+00
486010.E-03  0000.00E+00  0000.00E+00
495010.E-03  0000.00E+00  0000.00E+00
504010.E-03  0000.00E+00  0000.00E+00
513010.E-03  0000.00E+00  0000.00E+00
522010.E-03  0000.00E+00  0000.00E+00
531010.E-03  0000.00E+00  0000.00E+00
540010.E-03  0000.00E+00  0000.00E+00
549010.E-03  0000.00E+00  0000.00E+00
558010.E-03  0000.00E+00  0000.00E+00
567010.E-03  0000.00E+00  0000.00E+00
576010.E-03  0000.00E+00  0000.00E+00
585010.E-03  0000.00E+00  0000.00E+00
594010.E-03  0000.00E+00  0000.00E+00
603010.E-03  0000.00E+00  0000.00E+00
612010.E-03  0000.00E+00  0000.00E+00
621010.E-03  0000.00E+00  0000.00E+00
630010.E-03  0000.00E+00  0000.00E+00
639010.E-03  0000.00E+00  0000.00E+00
648010.E-03  0000.00E+00  0000.00E+00
657010.E-03  0000.00E+00  0000.00E+00
666010.E-03  0000.00E+00  0000.00E+00
675010.E-03  0000.00E+00  0000.00E+00
684010.E-03  0000.00E+00  0000.00E+00
693010.E-03  0000.00E+00  0000.00E+00
702010.E-03  0000.00E+00  0000.00E+00
711010.E-03  0000.00E+00  0000.00E+00
720010.E-03  0000.00E+00  0000.00E+00
729010.E-03  0000.00E+00  0000.00E+00
738010.E-03  0000.00E+00  0000.00E+00
747010.E-03  0000.00E+00  0000.00E+00
756010.E-03  0000.00E+00  0000.00E+00
765010.E-03  0000.00E+00  0000.00E+00
774010.E-03  0000.00E+00  0000.00E+00
783010.E-03  0000.00E+00  0000.00E+00
792010.E-03  0000.00E+00  0000.00E+00
801010.E-03  0000.00E+00  0000.00E+00
810010.E-03  0000.00E+00  0000.00E+00
819010.E-03  0000.00E+00  0000.00E+00
828010.E-03  0000.00E+00  0000.00E+00
837010.E-03  0000.00E+00  0000.00E+00
846010.E-03  0000.00E+00  0000.00E+00
855010.E-03  0000.00E+00  0000.00E+00
864010.E-03  0000.00E+00  0000.00E+00
873010.E-03  0000.00E+00  0000.00E+00
882010.E-03  0000.00E+00  0000.00E+00
891010.E-03  0000.00E+00  0000.00E+00
900010.E-03  0000.00E+00  0000.00E+00
