====== 10keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(10 keV) ==> GaAs(  900 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 10 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 90000.E-02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 112055.E-03 A   Straggling = 636732.E-04 A
 Ion Lateral Range = 483348.E-04 A   Straggling = 625168.E-04 A
 Ion Radial  Range = 763934.E-04 A   Straggling = 454615.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
9010000.E-06 37430777.E-06 49913449.E-06 57744518.E-06 37159574.E-06 
1801000.E-05 40747422.E-06 54836655.E-06 61643554.E-06 41755063.E-06 
2701000.E-05 36007662.E-06 48249276.E-06 60613371.E-06 39283751.E-06 
3601000.E-05 41737841.E-06 54244901.E-06 64848782.E-06 41283094.E-06 
4501000.E-05 42605857.E-06 56735428.E-06 65256198.E-06 41017828.E-06 
5401000.E-05 41869553.E-06 55327246.E-06 66001261.E-06 42841035.E-06 
6301000.E-05 44303394.E-06 57317109.E-06 68239790.E-06 42353995.E-06 
7201000.E-05 45808955.E-06 58733793.E-06 73548432.E-06 43106981.E-06 
8101000.E-05 45039878.E-06 58996922.E-06 73040392.E-06 45101009.E-06 
9001000.E-05 46640605.E-06 59603962.E-06 74249445.E-06 43346867.E-06 
9901000.E-05 48680914.E-06 61579556.E-06 73985669.E-06 43395956.E-06 
1080100.E-04 46544543.E-06 59729815.E-06 75871617.E-06 43024950.E-06 
1170100.E-04 50245741.E-06 64939912.E-06 78800304.E-06 46834791.E-06 
1260100.E-04 50087621.E-06 63124821.E-06 78880535.E-06 43855826.E-06 
1350100.E-04 50334493.E-06 64367739.E-06 79383736.E-06 45455629.E-06 
1440100.E-04 53365803.E-06 67880413.E-06 83075110.E-06 45788998.E-06 
1530100.E-04 52561853.E-06 67284678.E-06 83076184.E-06 46981733.E-06 
1620100.E-04 54328058.E-06 69192899.E-06 85092991.E-06 47585261.E-06 
1710100.E-04 50840771.E-06 64509459.E-06 82006956.E-06 44760766.E-06 
1800100.E-04 55905147.E-06 70036599.E-06 86188821.E-06 47783351.E-06 
1890100.E-04 55862683.E-06 71544772.E-06 87703615.E-06 48233350.E-06 
1980100.E-04 53465020.E-06 69968692.E-06 90181888.E-06 49238943.E-06 
