====== 10keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.= Ar(10 keV) ==> GaAs(  900 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     9.E+02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
 Total Target Vacancies     = 197 /Ion
 Total Target Displacements = 202 /Ion
 Total Target Replacement Collisions = 5 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
9010000.E-06   0000.016017
1801000.E-05   0000.023301
2701000.E-05   0000.029889
3601000.E-05   0000.033832
4501000.E-05   0000.036542
5401000.E-05   0000.038292
6301000.E-05   0000.038370
7201000.E-05   0000.037226
8101000.E-05   0000.035604
9001000.E-05   0000.033938
9901000.E-05   0000.030633
1080100.E-04   0000.027811
1170100.E-04   0000.024978
1260100.E-04   0000.022695
1350100.E-04   0000.020295
1440100.E-04   0000.018256
1530100.E-04   0000.015545
1620100.E-04   0000.013417
1710100.E-04   0000.010906
1800100.E-04   0000.009456
1890100.E-04   0000.007661
1980100.E-04   0000.006117
2070100.E-04   0000.005061
2160100.E-04   0000.004089
2250100.E-04   0000.003189
2340100.E-04   0000.002422
2430100.E-04   0000.002117
2520100.E-04   0000.001533
2610100.E-04   0000.001161
2700100.E-04   0000.000872
2790100.E-04   0000.000633
2880100.E-04   0000.000528
2970100.E-04   0000.000344
3060100.E-04   0000.000322
3150100.E-04   0000.000233
3240100.E-04   0000.000089
3330100.E-04   0000.000089
3420100.E-04   0000.000061
3510100.E-04   0000.000061
3600100.E-04   0000.000050
3690100.E-04   0000.000017
3780100.E-04   0000.000022
3870100.E-04   0000.000006
3960100.E-04   0000.000011
4050100.E-04   0000.000000
4140100.E-04   0000.000011
4230100.E-04   0000.000006
4320100.E-04   0000.000000
4410100.E-04   0000.000000
4500100.E-04   0000.000000
4590100.E-04   0000.000000
4680100.E-04   0000.000000
4770100.E-04   0000.000000
4860100.E-04   0000.000000
4950100.E-04   0000.000000
5040100.E-04   0000.000000
5130100.E-04   0000.000000
5220100.E-04   0000.000000
5310100.E-04   0000.000000
5400100.E-04   0000.000000
5490100.E-04   0000.000000
5580100.E-04   0000.000000
5670100.E-04   0000.000000
5760100.E-04   0000.000000
5850100.E-04   0000.000000
5940100.E-04   0000.000000
6030100.E-04   0000.000000
6120100.E-04   0000.000000
6210100.E-04   0000.000000
6300100.E-04   0000.000000
6390100.E-04   0000.000000
6480100.E-04   0000.000000
6570100.E-04   0000.000000
6660100.E-04   0000.000000
6750100.E-04   0000.000000
6840100.E-04   0000.000000
6930100.E-04   0000.000000
7020100.E-04   0000.000000
7110100.E-04   0000.000000
7200100.E-04   0000.000000
7290100.E-04   0000.000000
7380100.E-04   0000.000000
7470100.E-04   0000.000000
7560100.E-04   0000.000000
7650100.E-04   0000.000000
7740100.E-04   0000.000000
7830100.E-04   0000.000000
7920100.E-04   0000.000000
8010100.E-04   0000.000000
8100100.E-04   0000.000000
8190100.E-04   0000.000000
8280100.E-04   0000.000000
8370100.E-04   0000.000000
8460100.E-04   0000.000000
8550100.E-04   0000.000000
8640100.E-04   0000.000000
8730100.E-04   0000.000000
8820100.E-04   0000.000000
8910100.E-04   0000.000000
9000100.E-04   0000.000000
