====== 10keV Ar into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Ar(10 keV) ==> GaAs(  900 A) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ar   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     9.E+02 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
901000.E-05  100205.E-05  132391.E-04
180100.E-04  114440.E-05  277788.E-04
270100.E-04  129556.E-05  389315.E-04
360100.E-04  139752.E-05  448186.E-04
450100.E-04  145106.E-05  483147.E-04
540100.E-04  147971.E-05  494744.E-04
630100.E-04  148811.E-05  496617.E-04
720100.E-04  147092.E-05  487789.E-04
810100.E-04  146140.E-05  464822.E-04
900100.E-04  138009.E-05  435553.E-04
990100.E-04  131463.E-05  401744.E-04
108010.E-03  123420.E-05  367833.E-04
117010.E-03  114399.E-05  332820.E-04
126010.E-03  104738.E-05  296222.E-04
135010.E-03  982470.E-06  262425.E-04
144010.E-03  880959.E-06  231819.E-04
153010.E-03  777412.E-06  199751.E-04
162010.E-03  675727.E-06  170019.E-04
171010.E-03  576495.E-06  140617.E-04
180010.E-03  499184.E-06  116879.E-04
189010.E-03  426003.E-06  961856.E-05
198010.E-03  345734.E-06  796652.E-05
207010.E-03  293688.E-06  654033.E-05
216010.E-03  240986.E-06  521699.E-05
225010.E-03  193018.E-06  412181.E-05
234010.E-03  164836.E-06  330810.E-05
243010.E-03  137375.E-06  257150.E-05
252010.E-03  996032.E-07  199514.E-05
261010.E-03  734545.E-07  145692.E-05
270010.E-03  583319.E-07  109408.E-05
279010.E-03  470346.E-07  823184.E-06
288010.E-03  349241.E-07  675545.E-06
297010.E-03  283004.E-07  500399.E-06
306010.E-03  238624.E-07  391685.E-06
315010.E-03  201190.E-07  278046.E-06
324010.E-03  127652.E-07  183806.E-06
333010.E-03  975176.E-08  136604.E-06
342010.E-03  497165.E-08  983336.E-07
351010.E-03  668643.E-08  635276.E-07
360010.E-03  373783.E-08  475317.E-07
369010.E-03  174179.E-08  282676.E-07
378010.E-03  222030.E-09  165751.E-07
387010.E-03  836547.E-09  155884.E-07
396010.E-03  483983.E-09  110226.E-07
405010.E-03  869150.E-09  110597.E-07
414010.E-03  798072.E-09  689039.E-08
423010.E-03  520805.E-09  796846.E-08
432010.E-03  000000.E+00  281703.E-08
441010.E-03  000000.E+00  110812.E-08
450010.E-03  000000.E+00  000000.E+00
459010.E-03  000000.E+00  000000.E+00
468010.E-03  000000.E+00  000000.E+00
477010.E-03  000000.E+00  000000.E+00
486010.E-03  000000.E+00  000000.E+00
495010.E-03  000000.E+00  000000.E+00
504010.E-03  000000.E+00  000000.E+00
513010.E-03  000000.E+00  000000.E+00
522010.E-03  000000.E+00  000000.E+00
531010.E-03  000000.E+00  000000.E+00
540010.E-03  000000.E+00  000000.E+00
549010.E-03  000000.E+00  000000.E+00
558010.E-03  000000.E+00  000000.E+00
567010.E-03  000000.E+00  000000.E+00
576010.E-03  000000.E+00  000000.E+00
585010.E-03  000000.E+00  000000.E+00
594010.E-03  000000.E+00  000000.E+00
603010.E-03  000000.E+00  000000.E+00
612010.E-03  000000.E+00  000000.E+00
621010.E-03  000000.E+00  000000.E+00
630010.E-03  000000.E+00  000000.E+00
639010.E-03  000000.E+00  000000.E+00
648010.E-03  000000.E+00  000000.E+00
657010.E-03  000000.E+00  000000.E+00
666010.E-03  000000.E+00  000000.E+00
675010.E-03  000000.E+00  000000.E+00
684010.E-03  000000.E+00  000000.E+00
693010.E-03  000000.E+00  000000.E+00
702010.E-03  000000.E+00  000000.E+00
711010.E-03  000000.E+00  000000.E+00
720010.E-03  000000.E+00  000000.E+00
729010.E-03  000000.E+00  000000.E+00
738010.E-03  000000.E+00  000000.E+00
747010.E-03  000000.E+00  000000.E+00
756010.E-03  000000.E+00  000000.E+00
765010.E-03  000000.E+00  000000.E+00
774010.E-03  000000.E+00  000000.E+00
783010.E-03  000000.E+00  000000.E+00
792010.E-03  000000.E+00  000000.E+00
801010.E-03  000000.E+00  000000.E+00
810010.E-03  000000.E+00  000000.E+00
819010.E-03  000000.E+00  000000.E+00
828010.E-03  000000.E+00  000000.E+00
837010.E-03  000000.E+00  000000.E+00
846010.E-03  000000.E+00  000000.E+00
855010.E-03  000000.E+00  000000.E+00
864010.E-03  000000.E+00  000000.E+00
873010.E-03  000000.E+00  000000.E+00
882010.E-03  000000.E+00  000000.E+00
891010.E-03  000000.E+00  000000.E+00
900010.E-03  000000.E+00  000000.E+00
