====== 10keV Ar into GaAs (sputter) =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Ar(10 keV) ==> GaAs(  900 A) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ar   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     9.E+02 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
 Total Target Vacancies     = 197 /Ion
 Total Target Displacements = 202 /Ion
 Total Target Replacement Collisions = 5 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Ar           Ga           As       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
901000.E-05  7362.23E-05  3071.62E-04  3071.06E-04  
180100.E-04  1088.97E-04  4854.32E-04  4866.29E-04  
270100.E-04  1201.00E-04  6012.02E-04  6013.80E-04  
360100.E-04  1282.42E-04  6793.99E-04  6838.30E-04  
450100.E-04  1322.69E-04  7285.56E-04  7284.17E-04  
540100.E-04  1335.69E-04  7438.58E-04  7392.82E-04  
630100.E-04  1341.35E-04  7369.78E-04  7400.78E-04  
720100.E-04  1325.25E-04  7230.51E-04  7210.75E-04  
810100.E-04  1294.64E-04  6871.47E-04  6866.69E-04  
900100.E-04  1228.82E-04  6435.57E-04  6432.34E-04  
990100.E-04  1156.29E-04  5904.03E-04  5918.12E-04  
108010.E-03  1074.92E-04  5358.41E-04  5405.62E-04  
117010.E-03  9904.94E-05  4877.97E-04  4876.42E-04  
126010.E-03  8958.51E-05  4311.65E-04  4317.38E-04  
135010.E-03  8301.45E-05  3812.95E-04  3813.18E-04  
144010.E-03  7514.97E-05  3375.21E-04  3385.84E-04  
153010.E-03  6522.44E-05  2899.84E-04  2884.31E-04  
162010.E-03  5605.44E-05  2447.57E-04  2480.47E-04  
171010.E-03  4752.87E-05  2031.63E-04  2033.80E-04  
180010.E-03  4013.05E-05  1663.16E-04  1677.83E-04  
189010.E-03  3442.07E-05  1384.34E-04  1366.01E-04  
198010.E-03  2868.33E-05  1140.68E-04  1140.12E-04  
207010.E-03  2347.84E-05  9309.53E-05  9353.41E-05  
216010.E-03  1908.38E-05  7578.84E-05  7464.98E-05  
225010.E-03  1580.59E-05  5914.25E-05  5884.81E-05  
234010.E-03  1279.47E-05  4660.67E-05  4673.44E-05  
243010.E-03  1036.13E-05  3603.70E-05  3701.46E-05  
252010.E-03  7377.90E-06  2780.01E-05  2795.57E-05  
261010.E-03  5916.74E-06  2035.05E-05  2030.05E-05  
270010.E-03  4394.47E-06  1546.15E-05  1515.59E-05  
279010.E-03  3572.22E-06  1147.25E-05  1156.14E-05  
288010.E-03  2677.77E-06  9577.96E-06  9450.18E-06  
297010.E-03  2427.77E-06  6955.66E-06  7161.22E-06  
306010.E-03  1811.11E-06  5172.27E-06  5655.62E-06  
315010.E-03  1588.88E-06  4055.57E-06  3955.57E-06  
324010.E-03  7722.21E-07  2288.88E-06  2522.21E-06  
333010.E-03  6833.33E-07  1927.77E-06  1916.66E-06  
342010.E-03  3722.22E-07  1205.55E-06  1388.89E-06  
351010.E-03  3888.89E-07  9666.65E-07  9166.65E-07  
360010.E-03  2555.56E-07  6166.66E-07  6277.77E-07  
369010.E-03  8888.89E-08  2777.78E-07  4000.00E-07  
378010.E-03  8333.34E-08  2166.67E-07  2500.00E-07  
387010.E-03  4444.44E-08  2166.67E-07  1666.67E-07  
396010.E-03  1000.00E-07  2500.00E-07  1777.78E-07  
405010.E-03  7777.78E-08  1222.22E-07  1722.22E-07  
414010.E-03  2222.22E-08  9444.45E-08  8333.34E-08  
423010.E-03  3888.89E-08  9444.45E-08  1055.56E-07  
432010.E-03  0000.00E+00  2222.22E-08  5555.56E-09  
441010.E-03  0000.00E+00  1111.11E-08  1111.11E-08  
450010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
459010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
468010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
477010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
486010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
495010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
504010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
513010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
522010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
531010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
540010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
549010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
558010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
567010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
576010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
585010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
594010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
603010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
612010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
621010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
630010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
639010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
648010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
657010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
666010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
675010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
684010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
693010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
702010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
711010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
720010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
729010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
738010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
747010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
756010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
765010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
774010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
783010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
792010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
801010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
810010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
819010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
828010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
837010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
846010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
855010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
864010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
873010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
882010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
891010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
