====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
160100.E-04  6693.12E-02  3430.96E-02  3278.38E-02  
320100.E-04  7153.08E-02  3475.63E-02  3699.09E-02  
480100.E-04  7410.26E-02  3606.31E-02  3827.51E-02  
640100.E-04  7655.32E-02  3875.76E-02  3805.11E-02  
800100.E-04  7987.39E-02  4025.71E-02  3988.96E-02  
960100.E-04  8059.94E-02  4120.78E-02  3967.52E-02  
112010.E-03  7961.65E-02  3967.19E-02  4023.94E-02  
128010.E-03  7694.53E-02  3773.33E-02  3950.80E-02  
144010.E-03  7702.87E-02  3902.25E-02  3830.84E-02  
160010.E-03  7428.04E-02  3787.14E-02  3670.90E-02  
176010.E-03  7091.48E-02  3573.90E-02  3547.18E-02  
192010.E-03  6582.00E-02  3319.20E-02  3291.68E-02  
208010.E-03  6415.91E-02  3284.74E-02  3159.35E-02  
224010.E-03  6018.28E-02  3087.33E-02  2958.33E-02  
240010.E-03  5411.82E-02  2722.92E-02  2714.09E-02  
256010.E-03  5235.86E-02  2627.67E-02  2632.23E-02  
272010.E-03  4601.55E-02  2360.45E-02  2264.02E-02  
288010.E-03  4349.38E-02  2153.41E-02  2218.12E-02  
304010.E-03  3992.53E-02  2031.72E-02  1981.07E-02  
320010.E-03  3494.60E-02  1780.15E-02  1732.70E-02  
336010.E-03  3028.60E-02  1542.65E-02  1502.78E-02  
352010.E-03  2732.01E-02  1384.55E-02  1362.68E-02  
368010.E-03  2284.94E-02  1139.03E-02  1159.75E-02  
384010.E-03  2126.92E-02  1090.49E-02  1049.09E-02  
400010.E-03  1835.99E-02  9288.04E-03  9182.56E-03  
416010.E-03  1571.51E-02  8044.49E-03  7768.16E-03  
432010.E-03  1313.90E-02  6441.60E-03  6782.09E-03  
448010.E-03  1146.33E-02  5860.84E-03  5677.18E-03  
464010.E-03  9398.52E-03  4974.39E-03  4487.68E-03  
480010.E-03  7433.67E-03  3657.45E-03  3830.34E-03  
496010.E-03  6474.59E-03  3283.65E-03  3237.79E-03  
512010.E-03  5217.67E-03  2575.43E-03  2679.40E-03  
528010.E-03  4394.18E-03  2287.01E-03  2138.13E-03  
544010.E-03  3200.62E-03  1523.34E-03  1702.07E-03  
560010.E-03  2790.08E-03  1395.04E-03  1417.15E-03  
576010.E-03  2399.82E-03  1164.28E-03  1253.45E-03  
592010.E-03  1711.41E-03  8580.95E-04  8668.35E-04  
608010.E-03  1341.98E-03  7047.52E-04  6481.87E-04  
624010.E-03  1006.47E-03  5139.12E-04  5008.72E-04  
640010.E-03  8311.25E-04  3606.35E-04  4770.25E-04  
656010.E-03  6463.02E-04  3495.44E-04  3021.11E-04  
672010.E-03  4802.73E-04  2307.11E-04  2539.31E-04  
688010.E-03  3807.94E-04  2359.10E-04  1483.25E-04  
704010.E-03  2445.47E-04  1277.37E-04  1186.75E-04  
720010.E-03  1992.53E-04  9211.64E-05  1087.02E-04  
736010.E-03  1434.43E-04  8210.80E-05  6255.34E-05  
752010.E-03  1160.24E-04  7093.63E-05  4640.03E-05  
768010.E-03  8694.42E-05  4117.35E-05  4662.37E-05  
784010.E-03  2333.26E-05  6843.19E-06  1678.94E-05  
800010.E-03  7279.82E-06  3613.83E-06  3834.74E-06  
816010.E-03  1919.58E-05  1343.64E-05  5928.17E-06  
832010.E-03  1258.08E-05  3804.87E-06  8879.05E-06  
848010.E-03  5074.10E-06  1259.17E-06  3880.56E-06  
864010.E-03  5545.73E-06  1483.05E-06  4175.18E-06  
880010.E-03  5170.44E-06  1012.38E-06  4261.19E-06  
896010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
912010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
928010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
944010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
960010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
