====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ar   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 16000.E-01 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =020000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
160100.E-04  1899.37E-02  8235.98E-03
320100.E-04  1956.38E-02  8594.79E-03
480100.E-04  1980.03E-02  1013.98E-02
640100.E-04  1988.05E-02  1145.71E-02
800100.E-04  1960.07E-02  1262.62E-02
960100.E-04  1953.76E-02  1326.11E-02
112010.E-03  1903.22E-02  1354.34E-02
128010.E-03  1814.17E-02  1343.92E-02
144010.E-03  1765.11E-02  1334.03E-02
160010.E-03  1680.94E-02  1305.55E-02
176010.E-03  1567.72E-02  1250.68E-02
192010.E-03  1479.12E-02  1189.77E-02
208010.E-03  1395.04E-02  1123.83E-02
224010.E-03  1270.18E-02  1058.80E-02
240010.E-03  1153.07E-02  9814.29E-03
256010.E-03  1039.39E-02  9120.90E-03
272010.E-03  9525.53E-03  8286.12E-03
288010.E-03  8632.40E-03  7664.07E-03
304010.E-03  7595.15E-03  6993.50E-03
320010.E-03  6700.08E-03  6222.66E-03
336010.E-03  5835.97E-03  5501.42E-03
352010.E-03  5136.30E-03  4838.47E-03
368010.E-03  4531.61E-03  4135.01E-03
384010.E-03  3931.40E-03  3722.74E-03
400010.E-03  3337.81E-03  3176.49E-03
416010.E-03  2803.08E-03  2686.30E-03
432010.E-03  2401.34E-03  2271.79E-03
448010.E-03  1972.22E-03  1959.79E-03
464010.E-03  1616.84E-03  1661.17E-03
480010.E-03  1365.87E-03  1372.82E-03
496010.E-03  1105.36E-03  1112.50E-03
512010.E-03  9036.87E-04  9342.80E-04
528010.E-03  7293.77E-04  7554.19E-04
544010.E-03  5645.99E-04  6140.24E-04
560010.E-03  4571.14E-04  4934.97E-04
576010.E-03  3561.22E-04  3883.51E-04
592010.E-03  2689.50E-04  2899.29E-04
608010.E-03  2132.52E-04  2275.47E-04
624010.E-03  1647.70E-04  1713.57E-04
640010.E-03  1197.19E-04  1470.68E-04
656010.E-03  9635.69E-05  1033.41E-04
672010.E-03  7708.17E-05  8594.38E-05
688010.E-03  4918.56E-05  6403.90E-05
704010.E-03  3419.99E-05  4631.30E-05
720010.E-03  2885.90E-05  3510.48E-05
736010.E-03  1679.33E-05  2339.67E-05
752010.E-03  1376.05E-05  1904.59E-05
768010.E-03  1163.97E-05  1305.27E-05
784010.E-03  3940.11E-06  5765.38E-06
800010.E-03  2937.04E-06  3436.83E-06
816010.E-03  1849.77E-06  2909.59E-06
832010.E-03  1117.86E-06  1193.81E-06
848010.E-03  4040.44E-07  6132.44E-07
864010.E-03  8573.92E-07  7650.97E-07
880010.E-03  9906.04E-07  7135.60E-07
896010.E-03  0000.00E+00  5543.32E-08
912010.E-03  0000.00E+00  0000.00E+00
928010.E-03  0000.00E+00  0000.00E+00
944010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
976010.E-03  0000.00E+00  0000.00E+00
992010.E-03  0000.00E+00  0000.00E+00
100801.E-02  0000.00E+00  0000.00E+00
102401.E-02  0000.00E+00  0000.00E+00
104001.E-02  0000.00E+00  0000.00E+00
105601.E-02  0000.00E+00  0000.00E+00
107201.E-02  0000.00E+00  0000.00E+00
108801.E-02  0000.00E+00  0000.00E+00
110401.E-02  0000.00E+00  0000.00E+00
112001.E-02  0000.00E+00  0000.00E+00
113601.E-02  0000.00E+00  0000.00E+00
115201.E-02  0000.00E+00  0000.00E+00
116801.E-02  0000.00E+00  0000.00E+00
118401.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
121601.E-02  0000.00E+00  0000.00E+00
123201.E-02  0000.00E+00  0000.00E+00
124801.E-02  0000.00E+00  0000.00E+00
126401.E-02  0000.00E+00  0000.00E+00
128001.E-02  0000.00E+00  0000.00E+00
129601.E-02  0000.00E+00  0000.00E+00
131201.E-02  0000.00E+00  0000.00E+00
132801.E-02  0000.00E+00  0000.00E+00
134401.E-02  0000.00E+00  0000.00E+00
136001.E-02  0000.00E+00  0000.00E+00
137601.E-02  0000.00E+00  0000.00E+00
139201.E-02  0000.00E+00  0000.00E+00
140801.E-02  0000.00E+00  0000.00E+00
142401.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
145601.E-02  0000.00E+00  0000.00E+00
147201.E-02  0000.00E+00  0000.00E+00
148801.E-02  0000.00E+00  0000.00E+00
150401.E-02  0000.00E+00  0000.00E+00
152001.E-02  0000.00E+00  0000.00E+00
153601.E-02  0000.00E+00  0000.00E+00
155201.E-02  0000.00E+00  0000.00E+00
156801.E-02  0000.00E+00  0000.00E+00
158401.E-02  0000.00E+00  0000.00E+00
160001.E-02  0000.00E+00  0000.00E+00
