====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 30 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 265025.E-03 A   Straggling = 141644.E-03 A
 Ion Lateral Range = 108287.E-03 A   Straggling = 138892.E-03 A
 Ion Radial  Range = 170165.E-03 A   Straggling = 989247.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1601000.E-05 89556697.E-06 12004453.E-05 14235031.E-05 99988536.E-06 
3201000.E-05 91418751.E-06 12003959.E-05 14517615.E-05 99094879.E-06 
4801000.E-05 91839628.E-06 12416257.E-05 14235286.E-05 98918138.E-06 
6401000.E-05 85326514.E-06 10985550.E-05 14059456.E-05 88073929.E-06 
8001000.E-05 90481669.E-06 12389123.E-05 13785458.E-05 93278707.E-06 
9601000.E-05 92958792.E-06 12338043.E-05 14706423.E-05 94801389.E-06 
1120100.E-04 10219439.E-05 13167392.E-05 15781619.E-05 95539083.E-06 
1280100.E-04 97372633.E-06 12566327.E-05 15050967.E-05 91540976.E-06 
1440100.E-04 94818690.E-06 12402970.E-05 15406142.E-05 94491599.E-06 
1600100.E-04 97547065.E-06 12848716.E-05 15716984.E-05 96543121.E-06 
1760100.E-04 97430405.E-06 12320869.E-05 15386625.E-05 89599168.E-06 
1920100.E-04 99727677.E-06 12742956.E-05 16049453.E-05 93590021.E-06 
2080100.E-04 10731927.E-05 13750831.E-05 16468304.E-05 95086569.E-06 
2240100.E-04 11146858.E-05 14273618.E-05 17182841.E-05 97097021.E-06 
2400100.E-04 10935355.E-05 13852777.E-05 17387402.E-05 97850009.E-06 
2560100.E-04 10706706.E-05 13789909.E-05 16953398.E-05 96597423.E-06 
2720100.E-04 11001738.E-05 14085533.E-05 17633893.E-05 98084243.E-06 
2880100.E-04 10981043.E-05 14074240.E-05 17188860.E-05 10244084.E-05 
3040100.E-04 11084477.E-05 14109710.E-05 17238818.E-05 96532055.E-06 
3200100.E-04 11274812.E-05 14365746.E-05 17922422.E-05 99794649.E-06 
3360100.E-04 11569847.E-05 14694425.E-05 18277051.E-05 10087120.E-05 
3520100.E-04 11516453.E-05 14720711.E-05 17743890.E-05 10000079.E-05 
