====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
 Total Target Vacancies     = 549 /Ion
 Total Target Displacements = 563 /Ion
 Total Target Replacement Collisions = 14 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
1601000.E-05   0000.017400
3201000.E-05   0000.027800
4801000.E-05   0000.033809
6401000.E-05   0000.038728
8001000.E-05   0000.043506
9601000.E-05   0000.045363
1120100.E-04   0000.046853
1280100.E-04   0000.047425
1440100.E-04   0000.047109
1600100.E-04   0000.046756
1760100.E-04   0000.044869
1920100.E-04   0000.043459
2080100.E-04   0000.040700
2240100.E-04   0000.038466
2400100.E-04   0000.035275
2560100.E-04   0000.034341
2720100.E-04   0000.031009
2880100.E-04   0000.029303
3040100.E-04   0000.026122
3200100.E-04   0000.023722
3360100.E-04   0000.021134
3520100.E-04   0000.018625
3680100.E-04   0000.016191
3840100.E-04   0000.014469
4000100.E-04   0000.012322
4160100.E-04   0000.010463
4320100.E-04   0000.008916
4480100.E-04   0000.007716
4640100.E-04   0000.006572
4800100.E-04   0000.005484
4960100.E-04   0000.004544
5120100.E-04   0000.003822
5280100.E-04   0000.003119
5440100.E-04   0000.002597
5600100.E-04   0000.002081
5760100.E-04   0000.001569
5920100.E-04   0000.001366
6080100.E-04   0000.000963
6240100.E-04   0000.000728
6400100.E-04   0000.000650
6560100.E-04   0000.000466
6720100.E-04   0000.000344
6880100.E-04   0000.000278
7040100.E-04   0000.000197
7200100.E-04   0000.000134
7360100.E-04   0000.000116
7520100.E-04   0000.000069
7680100.E-04   0000.000044
7840100.E-04   0000.000019
8000100.E-04   0000.000016
8160100.E-04   0000.000013
8320100.E-04   0000.000006
8480100.E-04   0000.000003
8640100.E-04   0000.000006
8800100.E-04   0000.000009
8960100.E-04   0000.000000
9120100.E-04   0000.000000
9280100.E-04   0000.000000
9440100.E-04   0000.000000
9600100.E-04   0000.000000
9760100.E-04   0000.000000
9920100.E-04   0000.000000
1008010.E-03   0000.000000
1024010.E-03   0000.000000
1040010.E-03   0000.000000
1056010.E-03   0000.000000
1072010.E-03   0000.000000
1088010.E-03   0000.000000
1104010.E-03   0000.000000
1120010.E-03   0000.000000
1136010.E-03   0000.000000
1152010.E-03   0000.000000
1168010.E-03   0000.000000
1184010.E-03   0000.000000
1200010.E-03   0000.000000
1216010.E-03   0000.000000
1232010.E-03   0000.000000
1248010.E-03   0000.000000
1264010.E-03   0000.000000
1280010.E-03   0000.000000
1296010.E-03   0000.000000
1312010.E-03   0000.000000
1328010.E-03   0000.000000
1344010.E-03   0000.000000
1360010.E-03   0000.000000
1376010.E-03   0000.000000
1392010.E-03   0000.000000
1408010.E-03   0000.000000
1424010.E-03   0000.000000
1440010.E-03   0000.000000
1456010.E-03   0000.000000
1472010.E-03   0000.000000
1488010.E-03   0000.000000
1504010.E-03   0000.000000
1520010.E-03   0000.000000
1536010.E-03   0000.000000
1552010.E-03   0000.000000
1568010.E-03   0000.000000
1584010.E-03   0000.000000
1600010.E-03   0000.000000
