====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ar   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
160100.E-04  695208.E-06  173405.E-04
320100.E-04  767090.E-06  348092.E-04
480100.E-04  851356.E-06  439193.E-04
640100.E-04  909054.E-06  503440.E-04
800100.E-04  961564.E-06  557345.E-04
960100.E-04  101154.E-05  587431.E-04
112010.E-03  105248.E-05  605768.E-04
128010.E-03  106971.E-05  610342.E-04
144010.E-03  107851.E-05  609073.E-04
160010.E-03  107894.E-05  598270.E-04
176010.E-03  104922.E-05  579561.E-04
192010.E-03  103679.E-05  557185.E-04
208010.E-03  103188.E-05  527373.E-04
224010.E-03  983447.E-06  499420.E-04
240010.E-03  921569.E-06  467634.E-04
256010.E-03  875956.E-06  435716.E-04
272010.E-03  851802.E-06  398986.E-04
288010.E-03  801267.E-06  371569.E-04
304010.E-03  747996.E-06  339615.E-04
320010.E-03  675892.E-06  305017.E-04
336010.E-03  624921.E-06  272521.E-04
352010.E-03  567776.E-06  241893.E-04
368010.E-03  517490.E-06  209815.E-04
384010.E-03  477053.E-06  188249.E-04
400010.E-03  416680.E-06  162014.E-04
416010.E-03  367432.E-06  138170.E-04
432010.E-03  321130.E-06  117003.E-04
448010.E-03  281056.E-06  101138.E-04
464010.E-03  239735.E-06  866504.E-05
480010.E-03  202466.E-06  726050.E-05
496010.E-03  178066.E-06  593233.E-05
512010.E-03  144453.E-06  493840.E-05
528010.E-03  123518.E-06  399604.E-05
544010.E-03  931050.E-07  330266.E-05
560010.E-03  828979.E-07  265025.E-05
576010.E-03  702287.E-07  210157.E-05
592010.E-03  535654.E-07  161202.E-05
608010.E-03  439078.E-07  123350.E-05
624010.E-03  328082.E-07  956642.E-06
640010.E-03  272149.E-07  803761.E-06
656010.E-03  212469.E-07  588019.E-06
672010.E-03  189863.E-07  482028.E-06
688010.E-03  135471.E-07  366682.E-06
704010.E-03  740481.E-08  259979.E-06
720010.E-03  562980.E-08  198817.E-06
736010.E-03  371425.E-08  136661.E-06
752010.E-03  499484.E-08  111351.E-06
768010.E-03  421674.E-08  779600.E-07
784010.E-03  123924.E-08  362696.E-07
800010.E-03  435967.E-09  212166.E-07
816010.E-03  112594.E-08  161532.E-07
832010.E-03  438056.E-09  869208.E-08
848010.E-03  318061.E-09  537598.E-08
864010.E-03  352199.E-09  552657.E-08
880010.E-03  447044.E-09  537885.E-08
896010.E-03  000000.E+00  443922.E-09
912010.E-03  000000.E+00  000000.E+00
928010.E-03  000000.E+00  000000.E+00
944010.E-03  000000.E+00  000000.E+00
960010.E-03  000000.E+00  000000.E+00
976010.E-03  000000.E+00  000000.E+00
992010.E-03  000000.E+00  000000.E+00
100801.E-02  000000.E+00  000000.E+00
102401.E-02  000000.E+00  000000.E+00
104001.E-02  000000.E+00  000000.E+00
105601.E-02  000000.E+00  000000.E+00
107201.E-02  000000.E+00  000000.E+00
108801.E-02  000000.E+00  000000.E+00
110401.E-02  000000.E+00  000000.E+00
112001.E-02  000000.E+00  000000.E+00
113601.E-02  000000.E+00  000000.E+00
115201.E-02  000000.E+00  000000.E+00
116801.E-02  000000.E+00  000000.E+00
118401.E-02  000000.E+00  000000.E+00
120001.E-02  000000.E+00  000000.E+00
121601.E-02  000000.E+00  000000.E+00
123201.E-02  000000.E+00  000000.E+00
124801.E-02  000000.E+00  000000.E+00
126401.E-02  000000.E+00  000000.E+00
128001.E-02  000000.E+00  000000.E+00
129601.E-02  000000.E+00  000000.E+00
131201.E-02  000000.E+00  000000.E+00
132801.E-02  000000.E+00  000000.E+00
134401.E-02  000000.E+00  000000.E+00
136001.E-02  000000.E+00  000000.E+00
137601.E-02  000000.E+00  000000.E+00
139201.E-02  000000.E+00  000000.E+00
140801.E-02  000000.E+00  000000.E+00
142401.E-02  000000.E+00  000000.E+00
144001.E-02  000000.E+00  000000.E+00
145601.E-02  000000.E+00  000000.E+00
147201.E-02  000000.E+00  000000.E+00
148801.E-02  000000.E+00  000000.E+00
150401.E-02  000000.E+00  000000.E+00
152001.E-02  000000.E+00  000000.E+00
153601.E-02  000000.E+00  000000.E+00
155201.E-02  000000.E+00  000000.E+00
156801.E-02  000000.E+00  000000.E+00
158401.E-02  000000.E+00  000000.E+00
160001.E-02  000000.E+00  000000.E+00
