====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ar   Energy = 30 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+03 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =20000.00
 Total Target Vacancies     = 549 /Ion
 Total Target Displacements = 563 /Ion
 Total Target Replacement Collisions = 14 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Ar           Ga           As       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
160100.E-04  5406.25E-05  3410.75E-04  3420.25E-04  
320100.E-04  7214.69E-05  5336.63E-04  5333.47E-04  
480100.E-04  7850.63E-05  6591.00E-04  6602.13E-04  
640100.E-04  8517.50E-05  7497.66E-04  7526.00E-04  
800100.E-04  9090.31E-05  8296.31E-04  8341.91E-04  
960100.E-04  9452.81E-05  8739.63E-04  8745.78E-04  
112010.E-03  9827.19E-05  9021.31E-04  9053.60E-04  
128010.E-03  9866.88E-05  9074.16E-04  9047.44E-04  
144010.E-03  1007.16E-04  9028.50E-04  9044.88E-04  
160010.E-03  1000.13E-04  8880.31E-04  8845.97E-04  
176010.E-03  9867.81E-05  8588.35E-04  8597.10E-04  
192010.E-03  9627.50E-05  8249.63E-04  8227.72E-04  
208010.E-03  9390.94E-05  7831.91E-04  7804.38E-04  
224010.E-03  9125.63E-05  7396.53E-04  7366.85E-04  
240010.E-03  8396.88E-05  6872.31E-04  6874.31E-04  
256010.E-03  8012.81E-05  6436.85E-04  6455.38E-04  
272010.E-03  7643.75E-05  5887.85E-04  5877.35E-04  
288010.E-03  7382.50E-05  5506.25E-04  5491.75E-04  
304010.E-03  6754.06E-05  5041.81E-04  5031.60E-04  
320010.E-03  6083.75E-05  4506.69E-04  4483.91E-04  
336010.E-03  5609.38E-05  4011.94E-04  4002.72E-04  
352010.E-03  5074.69E-05  3556.34E-04  3574.19E-04  
368010.E-03  4613.75E-05  3071.25E-04  3088.41E-04  
384010.E-03  4220.00E-05  2789.06E-04  2764.59E-04  
400010.E-03  3689.38E-05  2379.63E-04  2377.47E-04  
416010.E-03  3251.56E-05  2025.88E-04  2019.03E-04  
432010.E-03  2823.44E-05  1712.44E-04  1714.31E-04  
448010.E-03  2490.31E-05  1499.81E-04  1487.66E-04  
464010.E-03  2118.44E-05  1271.63E-04  1271.44E-04  
480010.E-03  1804.06E-05  1052.78E-04  1057.25E-04  
496010.E-03  1561.56E-05  8664.06E-05  8653.13E-05  
512010.E-03  1238.75E-05  7238.75E-05  7250.63E-05  
528010.E-03  1031.88E-05  5862.50E-05  5893.44E-05  
544010.E-03  8262.50E-06  4804.06E-05  4818.13E-05  
560010.E-03  7368.75E-06  3930.63E-05  3850.31E-05  
576010.E-03  5968.75E-06  3033.44E-05  3053.13E-05  
592010.E-03  4506.25E-06  2331.56E-05  2326.56E-05  
608010.E-03  3653.13E-06  1785.00E-05  1831.56E-05  
624010.E-03  2771.88E-06  1330.00E-05  1395.63E-05  
640010.E-03  2178.13E-06  1192.19E-05  1222.19E-05  
656010.E-03  1784.38E-06  8440.63E-06  8365.63E-06  
672010.E-03  1456.25E-06  6884.38E-06  7225.00E-06  
688010.E-03  1146.88E-06  5468.75E-06  5287.50E-06  
704010.E-03  6218.75E-07  3837.50E-06  3615.63E-06  
720010.E-03  5218.75E-07  2912.50E-06  2815.63E-06  
736010.E-03  4062.50E-07  1900.00E-06  1975.00E-06  
752010.E-03  4375.00E-07  1625.00E-06  1750.00E-06  
768010.E-03  2843.75E-07  1043.75E-06  1100.00E-06  
784010.E-03  1000.00E-07  4375.00E-07  4781.25E-07  
800010.E-03  5625.00E-08  2906.25E-07  3156.25E-07  
816010.E-03  5625.00E-08  2656.25E-07  2031.25E-07  
832010.E-03  3437.50E-08  1562.50E-07  1250.00E-07  
848010.E-03  2187.50E-08  8437.50E-08  4062.50E-08  
864010.E-03  3750.00E-08  9687.50E-08  7500.00E-08  
880010.E-03  3437.50E-08  8125.00E-08  8125.00E-08  
896010.E-03  0000.00E+00  0000.00E+00  6250.00E-09  
912010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
928010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
944010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
960010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
976010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
992010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
100801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
102401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
104001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
105601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
107201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
108801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
110401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
112001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
113601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
115201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
116801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
118401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
120001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
121601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
123201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
124801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
126401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
128001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
129601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
131201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
132801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
134401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
136001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
137601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
139201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
140801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
142401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
144001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
145601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
147201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
148801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
150401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
152001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
153601.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
155201.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
156801.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
158401.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
160001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
