====== 100keV Ar into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Ar(100 keV) ==> GaAs( 3200 A) =============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ar   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 32000.E-01 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =015000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
320100.E-04  3494.47E-02  7280.64E-03
640100.E-04  3525.75E-02  9149.41E-03
960100.E-04  3524.40E-02  1083.37E-02
128010.E-03  3526.33E-02  1193.34E-02
160010.E-03  3514.74E-02  1309.89E-02
192010.E-03  3509.08E-02  1389.16E-02
224010.E-03  3537.10E-02  1429.58E-02
256010.E-03  3481.61E-02  1458.54E-02
288010.E-03  3408.41E-02  1485.90E-02
320010.E-03  3360.12E-02  1509.09E-02
352010.E-03  3292.97E-02  1528.95E-02
384010.E-03  3226.80E-02  1532.41E-02
416010.E-03  3129.85E-02  1550.86E-02
448010.E-03  3051.86E-02  1524.52E-02
480010.E-03  2963.27E-02  1520.13E-02
512010.E-03  2843.64E-02  1486.78E-02
544010.E-03  2712.28E-02  1463.26E-02
576010.E-03  2597.01E-02  1437.26E-02
608010.E-03  2448.84E-02  1388.20E-02
640010.E-03  2280.12E-02  1321.95E-02
672010.E-03  2166.77E-02  1260.99E-02
704010.E-03  2035.07E-02  1207.45E-02
736010.E-03  1885.01E-02  1105.96E-02
768010.E-03  1720.61E-02  1044.34E-02
800010.E-03  1584.42E-02  9921.82E-03
832010.E-03  1469.51E-02  9358.98E-03
864010.E-03  1352.13E-02  8884.35E-03
896010.E-03  1216.78E-02  8157.13E-03
928010.E-03  1082.50E-02  7416.70E-03
960010.E-03  9577.94E-03  6548.61E-03
992010.E-03  8597.92E-03  5983.22E-03
102401.E-02  7691.61E-03  5307.63E-03
105601.E-02  6962.75E-03  4857.96E-03
108801.E-02  6014.01E-03  4340.78E-03
112001.E-02  5136.90E-03  3733.74E-03
115201.E-02  4488.57E-03  3264.20E-03
118401.E-02  4000.14E-03  2885.98E-03
121601.E-02  3424.12E-03  2594.70E-03
124801.E-02  2921.11E-03  2314.74E-03
128001.E-02  2446.54E-03  2000.06E-03
131201.E-02  1930.93E-03  1585.50E-03
134401.E-02  1559.02E-03  1221.09E-03
137601.E-02  1371.62E-03  1049.12E-03
140801.E-02  1040.96E-03  9066.23E-04
144001.E-02  8410.85E-04  6962.70E-04
147201.E-02  7107.82E-04  6066.65E-04
150401.E-02  5382.29E-04  4910.59E-04
153601.E-02  4487.03E-04  4127.06E-04
156801.E-02  3410.54E-04  3200.48E-04
160001.E-02  3149.48E-04  2571.04E-04
163201.E-02  2036.29E-04  1894.46E-04
166401.E-02  1623.70E-04  1356.50E-04
169601.E-02  1217.39E-04  1194.33E-04
172801.E-02  9294.38E-05  9738.37E-05
176001.E-02  7648.61E-05  6776.92E-05
179201.E-02  5121.59E-05  4457.72E-05
182401.E-02  3182.43E-05  3096.98E-05
185601.E-02  2350.57E-05  1829.09E-05
188801.E-02  1734.37E-05  1453.86E-05
192001.E-02  9862.08E-06  1772.89E-05
195201.E-02  5923.38E-06  7536.57E-06
198401.E-02  3525.59E-06  5748.80E-06
201601.E-02  3964.28E-06  3761.27E-06
204801.E-02  2504.95E-06  2773.84E-06
208001.E-02  8232.03E-07  5660.10E-07
211201.E-02  5907.63E-07  4806.65E-07
214401.E-02  4949.53E-07  1760.18E-07
217601.E-02  1122.93E-06  1776.09E-06
220801.E-02  1532.13E-07  2120.54E-06
224001.E-02  0000.00E+00  5715.00E-07
227201.E-02  0000.00E+00  0000.00E+00
230401.E-02  0000.00E+00  0000.00E+00
233601.E-02  0000.00E+00  0000.00E+00
236801.E-02  0000.00E+00  0000.00E+00
240001.E-02  0000.00E+00  0000.00E+00
243201.E-02  0000.00E+00  0000.00E+00
246401.E-02  0000.00E+00  0000.00E+00
249601.E-02  0000.00E+00  0000.00E+00
252801.E-02  0000.00E+00  0000.00E+00
256001.E-02  0000.00E+00  0000.00E+00
259201.E-02  0000.00E+00  0000.00E+00
262401.E-02  0000.00E+00  0000.00E+00
265601.E-02  0000.00E+00  0000.00E+00
268801.E-02  0000.00E+00  0000.00E+00
272001.E-02  0000.00E+00  0000.00E+00
275201.E-02  0000.00E+00  0000.00E+00
278401.E-02  0000.00E+00  0000.00E+00
281601.E-02  0000.00E+00  0000.00E+00
284801.E-02  0000.00E+00  0000.00E+00
288001.E-02  0000.00E+00  0000.00E+00
291201.E-02  0000.00E+00  0000.00E+00
294401.E-02  0000.00E+00  0000.00E+00
297601.E-02  0000.00E+00  0000.00E+00
300801.E-02  0000.00E+00  0000.00E+00
304001.E-02  0000.00E+00  0000.00E+00
307201.E-02  0000.00E+00  0000.00E+00
310401.E-02  0000.00E+00  0000.00E+00
313601.E-02  0000.00E+00  0000.00E+00
316801.E-02  0000.00E+00  0000.00E+00
320001.E-02  0000.00E+00  0000.00E+00
