====== 100keV Ar into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Ar(100 keV) ==> GaAs( 3200 A) =============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ar   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     3.E+03 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =15000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
320100.E-04  453464.E-06  200176.E-04
640100.E-04  489453.E-06  342365.E-04
960100.E-04  524880.E-06  410937.E-04
128010.E-03  543979.E-06  455128.E-04
160010.E-03  570323.E-06  494589.E-04
192010.E-03  587090.E-06  526480.E-04
224010.E-03  620076.E-06  545672.E-04
256010.E-03  637627.E-06  564563.E-04
288010.E-03  658781.E-06  576472.E-04
320010.E-03  691821.E-06  590272.E-04
352010.E-03  703419.E-06  598869.E-04
384010.E-03  709505.E-06  607296.E-04
416010.E-03  721269.E-06  615003.E-04
448010.E-03  716071.E-06  606403.E-04
480010.E-03  729108.E-06  604666.E-04
512010.E-03  735615.E-06  599585.E-04
544010.E-03  741075.E-06  588713.E-04
576010.E-03  728799.E-06  582690.E-04
608010.E-03  712518.E-06  566292.E-04
640010.E-03  702426.E-06  545529.E-04
672010.E-03  690373.E-06  523491.E-04
704010.E-03  673822.E-06  501856.E-04
736010.E-03  652615.E-06  467148.E-04
768010.E-03  605194.E-06  440134.E-04
800010.E-03  593847.E-06  415370.E-04
832010.E-03  566266.E-06  397861.E-04
864010.E-03  543189.E-06  377774.E-04
896010.E-03  518631.E-06  349085.E-04
928010.E-03  472199.E-06  320710.E-04
960010.E-03  443044.E-06  284879.E-04
992010.E-03  400225.E-06  259475.E-04
102401.E-02  372797.E-06  234718.E-04
105601.E-02  352543.E-06  214035.E-04
108801.E-02  307710.E-06  193229.E-04
112001.E-02  287595.E-06  168515.E-04
115201.E-02  251794.E-06  148450.E-04
118401.E-02  234703.E-06  131483.E-04
121601.E-02  223186.E-06  118815.E-04
124801.E-02  186370.E-06  105720.E-04
128001.E-02  164572.E-06  916431.E-05
131201.E-02  132680.E-06  725762.E-05
134401.E-02  116496.E-06  576210.E-05
137601.E-02  104068.E-06  494739.E-05
140801.E-02  797199.E-07  420384.E-05
144001.E-02  664350.E-07  333046.E-05
147201.E-02  593239.E-07  286739.E-05
150401.E-02  476069.E-07  232064.E-05
153601.E-02  423412.E-07  199771.E-05
156801.E-02  321417.E-07  154463.E-05
160001.E-02  284534.E-07  125140.E-05
163201.E-02  219910.E-07  942271.E-06
166401.E-02  168523.E-07  680204.E-06
169601.E-02  126192.E-07  572454.E-06
172801.E-02  104740.E-07  500193.E-06
176001.E-02  999907.E-08  352525.E-06
179201.E-02  612488.E-08  241923.E-06
182401.E-02  542921.E-08  164051.E-06
185601.E-02  397998.E-08  100801.E-06
188801.E-02  289299.E-08  780675.E-07
192001.E-02  117330.E-08  809938.E-07
195201.E-02  524764.E-09  362467.E-07
198401.E-02  193037.E-09  197581.E-07
201601.E-02  297055.E-09  175156.E-07
204801.E-02  433826.E-09  140629.E-07
208001.E-02  453483.E-09  392884.E-08
211201.E-02  557094.E-10  294888.E-08
214401.E-02  284926.E-10  129099.E-08
217601.E-02  277310.E-10  650406.E-08
220801.E-02  116473.E-09  926033.E-08
224001.E-02  000000.E+00  306565.E-08
227201.E-02  000000.E+00  000000.E+00
230401.E-02  000000.E+00  000000.E+00
233601.E-02  000000.E+00  000000.E+00
236801.E-02  000000.E+00  000000.E+00
240001.E-02  000000.E+00  000000.E+00
243201.E-02  000000.E+00  000000.E+00
246401.E-02  000000.E+00  000000.E+00
249601.E-02  000000.E+00  000000.E+00
252801.E-02  000000.E+00  000000.E+00
256001.E-02  000000.E+00  000000.E+00
259201.E-02  000000.E+00  000000.E+00
262401.E-02  000000.E+00  000000.E+00
265601.E-02  000000.E+00  000000.E+00
268801.E-02  000000.E+00  000000.E+00
272001.E-02  000000.E+00  000000.E+00
275201.E-02  000000.E+00  000000.E+00
278401.E-02  000000.E+00  000000.E+00
281601.E-02  000000.E+00  000000.E+00
284801.E-02  000000.E+00  000000.E+00
288001.E-02  000000.E+00  000000.E+00
291201.E-02  000000.E+00  000000.E+00
294401.E-02  000000.E+00  000000.E+00
297601.E-02  000000.E+00  000000.E+00
300801.E-02  000000.E+00  000000.E+00
304001.E-02  000000.E+00  000000.E+00
307201.E-02  000000.E+00  000000.E+00
310401.E-02  000000.E+00  000000.E+00
313601.E-02  000000.E+00  000000.E+00
316801.E-02  000000.E+00  000000.E+00
320001.E-02  000000.E+00  000000.E+00
