====== 300keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ar(300 keV) ==> GaAs( 6500 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 300 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 65000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
650100.E-04  4598.72E-02  2206.94E-02  2398.46E-02  
130010.E-03  4665.40E-02  2305.10E-02  2367.88E-02  
195010.E-03  5197.00E-02  2674.46E-02  2530.45E-02  
260010.E-03  4730.92E-02  2368.67E-02  2370.43E-02  
325010.E-03  5257.36E-02  2567.88E-02  2697.82E-02  
390010.E-03  4890.36E-02  2537.73E-02  2361.26E-02  
455010.E-03  5093.26E-02  2486.98E-02  2615.29E-02  
520010.E-03  5572.28E-02  2671.86E-02  2909.76E-02  
585010.E-03  5772.77E-02  2771.57E-02  3010.81E-02  
650010.E-03  6253.19E-02  2959.09E-02  3303.93E-02  
715010.E-03  5623.52E-02  2856.67E-02  2777.15E-02  
780010.E-03  5661.21E-02  2719.09E-02  2952.61E-02  
845010.E-03  6321.01E-02  3140.62E-02  3191.22E-02  
910010.E-03  6213.06E-02  2969.40E-02  3254.74E-02  
975010.E-03  6463.78E-02  3019.57E-02  3455.72E-02  
104001.E-02  6421.41E-02  3189.44E-02  3243.97E-02  
110501.E-02  6553.49E-02  3245.26E-02  3320.20E-02  
117001.E-02  6624.42E-02  3548.46E-02  3088.21E-02  
123501.E-02  6884.28E-02  3439.24E-02  3457.92E-02  
130001.E-02  6979.21E-02  3326.47E-02  3665.50E-02  
136501.E-02  6743.65E-02  3289.55E-02  3467.12E-02  
143001.E-02  6737.58E-02  3353.16E-02  3397.68E-02  
149501.E-02  7070.30E-02  3461.78E-02  3621.77E-02  
156001.E-02  6745.65E-02  3280.94E-02  3478.17E-02  
162501.E-02  6652.55E-02  3248.02E-02  3417.94E-02  
169001.E-02  7102.43E-02  3439.17E-02  3676.89E-02  
175501.E-02  6448.69E-02  3191.78E-02  3270.50E-02  
182001.E-02  6330.10E-02  3164.35E-02  3179.30E-02  
188501.E-02  6011.53E-02  3116.94E-02  2908.00E-02  
195001.E-02  6260.37E-02  3146.35E-02  3127.48E-02  
201501.E-02  5966.98E-02  3101.61E-02  2878.52E-02  
208001.E-02  5951.70E-02  3005.66E-02  2959.18E-02  
214501.E-02  5584.79E-02  2729.64E-02  2867.98E-02  
221001.E-02  5418.34E-02  2587.42E-02  2843.45E-02  
227501.E-02  5479.84E-02  2795.88E-02  2696.15E-02  
234001.E-02  4870.52E-02  2451.42E-02  2430.92E-02  
240501.E-02  4899.12E-02  2502.03E-02  2408.49E-02  
247001.E-02  4378.10E-02  2196.70E-02  2192.40E-02  
253501.E-02  4226.72E-02  2122.05E-02  2115.29E-02  
260001.E-02  4088.26E-02  2016.01E-02  2082.61E-02  
266501.E-02  3720.71E-02  1796.49E-02  1933.75E-02  
273001.E-02  3342.51E-02  1643.77E-02  1707.66E-02  
279501.E-02  3185.93E-02  1553.22E-02  1641.17E-02  
286001.E-02  2984.80E-02  1441.41E-02  1551.38E-02  
292501.E-02  2757.13E-02  1413.63E-02  1350.87E-02  
299001.E-02  2528.54E-02  1269.10E-02  1266.44E-02  
305501.E-02  2068.56E-02  1039.75E-02  1034.69E-02  
312001.E-02  1690.84E-02  8525.64E-03  8433.85E-03  
318501.E-02  1557.44E-02  7576.16E-03  8045.40E-03  
325001.E-02  1451.39E-02  7218.31E-03  7339.58E-03  
331501.E-02  1219.33E-02  5928.21E-03  6302.61E-03  
338001.E-02  1016.72E-02  5112.02E-03  5086.19E-03  
344501.E-02  9341.11E-03  4450.73E-03  4919.10E-03  
351001.E-02  8157.18E-03  4156.63E-03  4025.18E-03  
357501.E-02  6454.34E-03  3075.44E-03  3399.37E-03  
364001.E-02  5126.83E-03  2408.57E-03  2736.14E-03  
370501.E-02  5254.14E-03  2588.53E-03  2680.67E-03  
377001.E-02  3432.35E-03  1681.22E-03  1763.46E-03  
383501.E-02  3218.35E-03  1588.38E-03  1640.20E-03  
390001.E-02  2112.91E-03  1128.86E-03  9921.33E-04  
