====== 300keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(300 keV) ==> GaAs( 6500 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 300 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 65000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 222620.E-02 A   Straggling = 852842.E-03 A
 Ion Lateral Range = 709896.E-03 A   Straggling = 890188.E-03 A
 Ion Radial  Range = 111977.E-02 A   Straggling = 586720.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6501000.E-05 61926020.E-05 80922354.E-05 95329834.E-05 53834858.E-05 
1300100.E-04 70228256.E-05 86472540.E-05 10193312.E-04 49118979.E-05 
1950100.E-04 60644457.E-05 78565697.E-05 92146440.E-05 58891295.E-05 
2600100.E-04 56500811.E-05 76494569.E-05 98995286.E-05 58620936.E-05 
3250100.E-04 78701660.E-05 98326562.E-05 12075404.E-04 70794571.E-05 
3900100.E-04 59040303.E-05 71293748.E-05 98438787.E-05 59519704.E-05 
4550100.E-04 76255126.E-05 94741611.E-05 12927082.E-04 60047694.E-05 
5200100.E-04 61566373.E-05 77195354.E-05 11105895.E-04 56799845.E-05 
5850100.E-04 71153458.E-05 93105906.E-05 10589758.E-04 60472273.E-05 
6500100.E-04 69689315.E-05 91264516.E-05 10754745.E-04 73243004.E-05 
7150100.E-04 69278097.E-05 91795677.E-05 10095420.E-04 57607636.E-05 
7800100.E-04 67214947.E-05 84967524.E-05 10551789.E-04 60736374.E-05 
8450100.E-04 81751691.E-05 10230190.E-04 11887686.E-04 67265242.E-05 
9100100.E-04 71168489.E-05 91509022.E-05 10686605.E-04 62063329.E-05 
9750100.E-04 65000980.E-05 84080312.E-05 10526404.E-04 62286206.E-05 
1040010.E-03 63804170.E-05 82678663.E-05 10200836.E-04 64237594.E-05 
1105010.E-03 73255755.E-05 89977729.E-05 11901408.E-04 57859518.E-05 
1170010.E-03 69381318.E-05 90665777.E-05 10850453.E-04 60773658.E-05 
1235010.E-03 70004873.E-05 88420984.E-05 11392046.E-04 62193636.E-05 
1300010.E-03 75306418.E-05 94263483.E-05 12222399.E-04 64660642.E-05 
1365010.E-03 66200272.E-05 83426690.E-05 10636883.E-04 59055815.E-05 
1430010.E-03 81019946.E-05 10228921.E-04 12267840.E-04 68394248.E-05 
