====== 300keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.= Ar(300 keV) ==> GaAs( 6500 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 300 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     7.E+03 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 3764 /Ion
 Total Target Displacements = 3863 /Ion
 Total Target Replacement Collisions = 98 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
6501000.E-05   0000.013114
1300100.E-04   0000.019511
1950100.E-04   0000.022199
2600100.E-04   0000.024173
3250100.E-04   0000.026197
3900100.E-04   0000.027303
4550100.E-04   0000.028507
5200100.E-04   0000.029045
5850100.E-04   0000.030368
6500100.E-04   0000.031994
7150100.E-04   0000.033140
7800100.E-04   0000.034378
8450100.E-04   0000.035925
9100100.E-04   0000.035411
9750100.E-04   0000.036437
1040010.E-03   0000.037808
1105010.E-03   0000.037149
1170010.E-03   0000.038763
1235010.E-03   0000.039310
1300010.E-03   0000.038163
1365010.E-03   0000.038635
1430010.E-03   0000.039963
1495010.E-03   0000.040159
1560010.E-03   0000.040229
1625010.E-03   0000.039106
1690010.E-03   0000.039277
1755010.E-03   0000.039043
1820010.E-03   0000.038286
1885010.E-03   0000.037031
1950010.E-03   0000.036034
2015010.E-03   0000.036696
2080010.E-03   0000.035107
2145010.E-03   0000.033255
2210010.E-03   0000.032783
2275010.E-03   0000.031692
2340010.E-03   0000.030096
2405010.E-03   0000.029019
2470010.E-03   0000.027043
2535010.E-03   0000.026132
2600010.E-03   0000.025055
2665010.E-03   0000.022942
2730010.E-03   0000.020727
2795010.E-03   0000.019143
2860010.E-03   0000.018102
2925010.E-03   0000.016630
2990010.E-03   0000.015319
3055010.E-03   0000.012888
3120010.E-03   0000.010920
3185010.E-03   0000.009542
3250010.E-03   0000.008744
3315010.E-03   0000.007698
3380010.E-03   0000.006523
3445010.E-03   0000.005705
3510010.E-03   0000.004954
3575010.E-03   0000.004146
3640010.E-03   0000.003569
3705010.E-03   0000.002943
3770010.E-03   0000.002474
3835010.E-03   0000.001982
3900010.E-03   0000.001340
3965010.E-03   0000.001120
4030010.E-03   0000.000882
4095010.E-03   0000.000685
4160010.E-03   0000.000517
4225010.E-03   0000.000423
4290010.E-03   0000.000295
4355010.E-03   0000.000160
4420010.E-03   0000.000085
4485010.E-03   0000.000038
4550010.E-03   0000.000034
4615010.E-03   0000.000035
4680010.E-03   0000.000052
4745010.E-03   0000.000029
4810010.E-03   0000.000012
4875010.E-03   0000.000009
4940010.E-03   0000.000000
5005010.E-03   0000.000000
5070010.E-03   0000.000000
5135010.E-03   0000.000000
5200010.E-03   0000.000000
5265010.E-03   0000.000000
5330010.E-03   0000.000000
5395010.E-03   0000.000000
5460010.E-03   0000.000000
5525010.E-03   0000.000000
5590010.E-03   0000.000000
5655010.E-03   0000.000000
5720010.E-03   0000.000000
5785010.E-03   0000.000000
5850010.E-03   0000.000000
5915010.E-03   0000.000000
5980010.E-03   0000.000000
6045010.E-03   0000.000000
6110010.E-03   0000.000000
6175010.E-03   0000.000000
6240010.E-03   0000.000000
6305010.E-03   0000.000000
6370010.E-03   0000.000000
6435010.E-03   0000.000000
6500010.E-03   0000.000000
