====== 300keV Ar into GaAs (sputter) =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Ar(300 keV) ==> GaAs( 6500 A) =============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ar   Energy = 300 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     7.E+03 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 3764 /Ion
 Total Target Displacements = 3863 /Ion
 Total Target Replacement Collisions = 98 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Ar           Ga           As       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
650100.E-04  2227.15E-05  2541.07E-04  2548.41E-04  
130010.E-03  2528.62E-05  3728.84E-04  3726.32E-04  
195010.E-03  2635.52E-05  4344.52E-04  4364.86E-04  
260010.E-03  2727.65E-05  4648.66E-04  4639.27E-04  
325010.E-03  2777.02E-05  5041.42E-04  5049.25E-04  
390010.E-03  2874.23E-05  5226.80E-04  5236.69E-04  
455010.E-03  3000.81E-05  5499.31E-04  5498.63E-04  
520010.E-03  3110.02E-05  5553.05E-04  5577.56E-04  
585010.E-03  3200.15E-05  5899.67E-04  5902.70E-04  
650010.E-03  3277.21E-05  6167.58E-04  6173.09E-04  
715010.E-03  3430.40E-05  6333.77E-04  6341.39E-04  
780010.E-03  3495.31E-05  6582.86E-04  6597.77E-04  
845010.E-03  3608.66E-05  6796.31E-04  6809.05E-04  
910010.E-03  3690.49E-05  6790.38E-04  6814.00E-04  
975010.E-03  3833.38E-05  7051.42E-04  7033.59E-04  
104001.E-02  3999.80E-05  7259.64E-04  7276.91E-04  
110501.E-02  3986.72E-05  7168.67E-04  7187.24E-04  
117001.E-02  4084.24E-05  7411.58E-04  7405.55E-04  
123501.E-02  4291.73E-05  7637.63E-04  7624.70E-04  
130001.E-02  4249.58E-05  7422.47E-04  7426.84E-04  
136501.E-02  4338.33E-05  7522.58E-04  7542.25E-04  
143001.E-02  4423.08E-05  7582.70E-04  7567.24E-04  
149501.E-02  4416.62E-05  7702.59E-04  7677.92E-04  
156001.E-02  4485.99E-05  7683.14E-04  7688.38E-04  
162501.E-02  4467.68E-05  7595.74E-04  7607.61E-04  
169001.E-02  4541.20E-05  7578.78E-04  7573.42E-04  
175501.E-02  4528.90E-05  7564.03E-04  7574.44E-04  
182001.E-02  4517.36E-05  7315.50E-04  7331.47E-04  
188501.E-02  4468.76E-05  7084.95E-04  7078.20E-04  
195001.E-02  4484.14E-05  6945.74E-04  6952.64E-04  
201501.E-02  4382.32E-05  6925.78E-04  6923.19E-04  
208001.E-02  4378.63E-05  6812.70E-04  6788.61E-04  
214501.E-02  4278.65E-05  6527.97E-04  6507.13E-04  
221001.E-02  4175.45E-05  6294.84E-04  6276.72E-04  
227501.E-02  4064.40E-05  6029.20E-04  6044.41E-04  
234001.E-02  3938.74E-05  5741.59E-04  5739.31E-04  
240501.E-02  3796.31E-05  5539.94E-04  5547.41E-04  
247001.E-02  3667.57E-05  5182.14E-04  5169.24E-04  
253501.E-02  3535.60E-05  4956.81E-04  4943.83E-04  
260001.E-02  3454.08E-05  4750.16E-04  4755.19E-04  
266501.E-02  3176.15E-05  4363.94E-04  4365.41E-04  
273001.E-02  2970.20E-05  3935.26E-04  3935.72E-04  
279501.E-02  2819.93E-05  3647.73E-04  3654.20E-04  
286001.E-02  2665.20E-05  3479.57E-04  3482.94E-04  
292501.E-02  2455.10E-05  3158.49E-04  3150.55E-04  
299001.E-02  2332.51E-05  2982.58E-04  2971.15E-04  
305501.E-02  1959.68E-05  2466.54E-04  2451.63E-04  
312001.E-02  1701.28E-05  2093.40E-04  2080.52E-04  
318501.E-02  1572.70E-05  1840.57E-04  1824.46E-04  
325001.E-02  1466.57E-05  1666.09E-04  1679.54E-04  
331501.E-02  1251.39E-05  1456.34E-04  1458.48E-04  
338001.E-02  1034.21E-05  1203.77E-04  1205.29E-04  
344501.E-02  9573.10E-06  1092.47E-04  1098.09E-04  
351001.E-02  8208.81E-06  9563.82E-05  9585.20E-05  
357501.E-02  6826.07E-06  7987.90E-05  7915.15E-05  
364001.E-02  5961.56E-06  6802.19E-05  6764.97E-05  
370501.E-02  5021.56E-06  5563.88E-05  5516.81E-05  
377001.E-02  4112.32E-06  4596.73E-05  4573.20E-05  
383501.E-02  3406.17E-06  3730.63E-05  3779.85E-05  
390001.E-02  2695.40E-06  2690.12E-05  2719.03E-05  
396501.E-02  2324.62E-06  2066.42E-05  2058.27E-05  
403001.E-02  1855.39E-06  1739.73E-05  1725.28E-05  
409501.E-02  1220.00E-06  1240.01E-05  1270.46E-05  
416001.E-02  9461.57E-07  9371.61E-06  9231.64E-06  
422501.E-02  7200.02E-07  7293.65E-06  7282.89E-06  
429001.E-02  5307.71E-07  5278.48E-06  5380.02E-06  
435501.E-02  3723.09E-07  3050.78E-06  3161.55E-06  
442001.E-02  2830.78E-07  1867.70E-06  1916.93E-06  
448501.E-02  1030.77E-07  6569.25E-07  6738.48E-07  
455001.E-02  1000.00E-07  7461.56E-07  7430.79E-07  
461501.E-02  7538.46E-08  5046.17E-07  5430.79E-07  
468001.E-02  8615.39E-08  7523.10E-07  7276.95E-07  
474501.E-02  6307.69E-08  4246.17E-07  4384.63E-07  
481001.E-02  2000.00E-08  2584.62E-07  2461.54E-07  
487501.E-02  0000.00E+00  8307.69E-08  8615.39E-08  
494001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
500501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
507001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
513501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
520001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
526501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
533001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
539501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
546001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
552501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
559001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
565501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
572001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
578501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
585001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
591501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
598001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
604501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
611001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
617501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
624001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
630501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
637001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
643501.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
650001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
