====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 16000.E+00 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =8000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
160010.E-03  2824.04E-02  1394.54E-02  1433.35E-02  
320010.E-03  2629.04E-02  1373.84E-02  1259.42E-02  
480010.E-03  2331.58E-02  1153.09E-02  1182.84E-02  
640010.E-03  2787.99E-02  1424.67E-02  1367.73E-02  
800010.E-03  2607.08E-02  1382.68E-02  1228.88E-02  
960010.E-03  3006.25E-02  1576.31E-02  1434.52E-02  
112001.E-02  3051.19E-02  1497.91E-02  1557.99E-02  
128001.E-02  3171.40E-02  1448.54E-02  1727.62E-02  
144001.E-02  2915.79E-02  1567.13E-02  1353.61E-02  
160001.E-02  3149.88E-02  1465.76E-02  1689.19E-02  
176001.E-02  3034.44E-02  1444.76E-02  1594.81E-02  
192001.E-02  3524.48E-02  1809.07E-02  1720.68E-02  
208001.E-02  3479.66E-02  1676.62E-02  1808.49E-02  
224001.E-02  3573.99E-02  1816.47E-02  1763.01E-02  
240001.E-02  3602.28E-02  1614.24E-02  1993.67E-02  
256001.E-02  3695.04E-02  1838.18E-02  1862.59E-02  
272001.E-02  3584.57E-02  1718.86E-02  1871.59E-02  
288001.E-02  3466.94E-02  1682.83E-02  1790.14E-02  
304001.E-02  4173.69E-02  1842.84E-02  2337.13E-02  
320001.E-02  4303.56E-02  2109.80E-02  2200.36E-02  
336001.E-02  4599.91E-02  2276.94E-02  2329.75E-02  
352001.E-02  4191.63E-02  2012.95E-02  2185.42E-02  
368001.E-02  4097.01E-02  2087.48E-02  2016.38E-02  
384001.E-02  4449.78E-02  2322.16E-02  2134.74E-02  
400001.E-02  4605.68E-02  2161.20E-02  2451.95E-02  
416001.E-02  4699.73E-02  2209.32E-02  2498.02E-02  
432001.E-02  4652.74E-02  2170.27E-02  2490.13E-02  
448001.E-02  4869.71E-02  2330.64E-02  2546.92E-02  
464001.E-02  4890.30E-02  2338.25E-02  2560.14E-02  
480001.E-02  4681.71E-02  2324.57E-02  2365.29E-02  
496001.E-02  4858.84E-02  2614.67E-02  2252.62E-02  
512001.E-02  5381.75E-02  2661.43E-02  2728.92E-02  
528001.E-02  4873.07E-02  2374.71E-02  2507.05E-02  
544001.E-02  5169.09E-02  2659.51E-02  2518.47E-02  
560001.E-02  5227.38E-02  2675.08E-02  2561.45E-02  
576001.E-02  5032.82E-02  2363.99E-02  2678.16E-02  
592001.E-02  5498.24E-02  2667.20E-02  2840.66E-02  
608001.E-02  5509.56E-02  2753.02E-02  2765.98E-02  
624001.E-02  5425.15E-02  2644.30E-02  2790.52E-02  
640001.E-02  5320.88E-02  2498.59E-02  2831.95E-02  
656001.E-02  5314.79E-02  2700.89E-02  2623.77E-02  
672001.E-02  5148.96E-02  2449.20E-02  2709.20E-02  
688001.E-02  4943.04E-02  2438.21E-02  2514.17E-02  
704001.E-02  4949.80E-02  2449.15E-02  2510.22E-02  
720001.E-02  4817.10E-02  2400.48E-02  2426.00E-02  
736001.E-02  4441.88E-02  2300.49E-02  2150.26E-02  
752001.E-02  4141.72E-02  2060.41E-02  2089.86E-02  
768001.E-02  4155.72E-02  2071.16E-02  2092.70E-02  
784001.E-02  3754.51E-02  1873.19E-02  1889.01E-02  
800001.E-02  3548.40E-02  1706.45E-02  1849.40E-02  
816001.E-02  3255.58E-02  1600.10E-02  1662.52E-02  
832001.E-02  2883.81E-02  1474.85E-02  1415.40E-02  
848001.E-02  2646.21E-02  1317.72E-02  1334.28E-02  
864001.E-02  2354.93E-02  1221.94E-02  1138.23E-02  
880001.E-02  2173.42E-02  1004.46E-02  1173.56E-02  
896001.E-02  1628.54E-02  8230.79E-03  8095.24E-03  
912001.E-02  1472.95E-02  7495.53E-03  7270.62E-03  
928001.E-02  1272.07E-02  6036.85E-03  6717.41E-03  
944001.E-02  9947.16E-03  5134.70E-03  4840.32E-03  
960001.E-02  9958.05E-03  5120.94E-03  4861.91E-03  
