====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ar   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 16000.E+00 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =008000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
160010.E-03  1081.73E-01  3872.59E-03
320010.E-03  1073.64E-01  5215.22E-03
480010.E-03  1057.43E-01  5549.77E-03
640010.E-03  1058.02E-01  5835.63E-03
800010.E-03  1049.27E-01  6326.81E-03
960010.E-03  1035.21E-01  6724.14E-03
112001.E-02  1034.41E-01  7019.16E-03
128001.E-02  1019.35E-01  6982.54E-03
144001.E-02  1009.82E-01  7503.06E-03
160001.E-02  1006.45E-01  7483.24E-03
176001.E-02  9904.52E-02  8177.82E-03
192001.E-02  9865.07E-02  8423.92E-03
208001.E-02  9670.40E-02  8879.75E-03
224001.E-02  9622.59E-02  8930.84E-03
240001.E-02  9524.29E-02  9083.67E-03
256001.E-02  9405.69E-02  8595.66E-03
272001.E-02  9211.86E-02  8721.93E-03
288001.E-02  9142.07E-02  9186.27E-03
304001.E-02  9054.35E-02  1016.36E-02
320001.E-02  9017.74E-02  1039.31E-02
336001.E-02  8883.83E-02  1062.38E-02
352001.E-02  8728.86E-02  9992.22E-03
368001.E-02  8521.06E-02  9861.77E-03
384001.E-02  8406.23E-02  1085.71E-02
400001.E-02  8298.47E-02  1074.11E-02
416001.E-02  8151.08E-02  1082.88E-02
432001.E-02  8013.68E-02  1094.97E-02
448001.E-02  7787.86E-02  1153.65E-02
464001.E-02  7674.21E-02  1127.64E-02
480001.E-02  7440.47E-02  1161.90E-02
496001.E-02  7350.57E-02  1143.23E-02
512001.E-02  7146.88E-02  1183.47E-02
528001.E-02  6940.12E-02  1163.98E-02
544001.E-02  6743.76E-02  1140.01E-02
560001.E-02  6491.43E-02  1174.40E-02
576001.E-02  6277.90E-02  1156.32E-02
592001.E-02  6137.06E-02  1210.79E-02
608001.E-02  5764.13E-02  1210.12E-02
624001.E-02  5538.68E-02  1195.40E-02
640001.E-02  5228.13E-02  1194.94E-02
656001.E-02  4997.66E-02  1182.89E-02
672001.E-02  4682.81E-02  1127.67E-02
688001.E-02  4388.45E-02  1093.97E-02
704001.E-02  4144.85E-02  1065.20E-02
720001.E-02  3818.36E-02  1013.15E-02
736001.E-02  3506.25E-02  9471.55E-03
752001.E-02  3206.31E-02  9059.51E-03
768001.E-02  2855.28E-02  8582.94E-03
784001.E-02  2562.94E-02  8092.73E-03
800001.E-02  2271.32E-02  7314.09E-03
816001.E-02  2024.73E-02  6740.55E-03
832001.E-02  1734.15E-02  6130.76E-03
848001.E-02  1501.50E-02  5401.96E-03
864001.E-02  1277.13E-02  4863.23E-03
880001.E-02  1068.32E-02  4302.55E-03
896001.E-02  8870.34E-03  3414.56E-03
912001.E-02  7520.32E-03  2955.85E-03
928001.E-02  6198.46E-03  2552.09E-03
944001.E-02  4916.02E-03  2100.81E-03
960001.E-02  3965.81E-03  1898.31E-03
976001.E-02  2874.63E-03  1411.88E-03
992001.E-02  2235.27E-03  1112.42E-03
100800.E-01  1532.87E-03  8228.89E-04
102400.E-01  9631.38E-04  5649.77E-04
104000.E-01  6378.27E-04  3583.62E-04
105600.E-01  4557.46E-04  2322.67E-04
107200.E-01  3012.87E-04  1768.80E-04
108800.E-01  2167.96E-04  1252.32E-04
110400.E-01  1491.17E-04  1009.09E-04
112000.E-01  5394.23E-05  4583.05E-05
113600.E-01  2804.69E-05  2014.75E-05
115200.E-01  1969.06E-05  1966.22E-05
116800.E-01  8182.36E-06  1295.29E-05
118400.E-01  5186.88E-07  7102.50E-07
120000.E-01  0000.00E+00  0000.00E+00
121600.E-01  0000.00E+00  0000.00E+00
123200.E-01  0000.00E+00  0000.00E+00
124800.E-01  0000.00E+00  0000.00E+00
126400.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
129600.E-01  0000.00E+00  0000.00E+00
131200.E-01  0000.00E+00  0000.00E+00
132800.E-01  0000.00E+00  0000.00E+00
134400.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
137600.E-01  0000.00E+00  0000.00E+00
139200.E-01  0000.00E+00  0000.00E+00
140800.E-01  0000.00E+00  0000.00E+00
142400.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
145600.E-01  0000.00E+00  0000.00E+00
147200.E-01  0000.00E+00  0000.00E+00
148800.E-01  0000.00E+00  0000.00E+00
150400.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
153600.E-01  0000.00E+00  0000.00E+00
155200.E-01  0000.00E+00  0000.00E+00
156800.E-01  0000.00E+00  0000.00E+00
158400.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
