====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 1000 keV
 Total Ions calculated =8000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 16000.E+00 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 704617.E-02 A   Straggling = 194967.E-02 A
 Ion Lateral Range = 177134.E-02 A   Straggling = 219703.E-02 A
 Ion Radial  Range = 276551.E-02 A   Straggling = 139474.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1600100.E-04 91729280.E-05 10169308.E-04 20698094.E-04 53483280.E-06 
3200100.E-04 13943948.E-04 17851313.E-04 18268383.E-04 11838272.E-04 
4800100.E-04 15373628.E-04 19680226.E-04 25774249.E-04 17865342.E-04 
6400100.E-04 15593951.E-04 18344058.E-04 40896119.E-04 65231343.E-05 
8000100.E-04 14930309.E-04 20273851.E-04 27376074.E-04 13962990.E-04 
9600100.E-04 11760072.E-04 17266120.E-04 24571807.E-04 16284188.E-04 
1120010.E-03 19335118.E-04 22329347.E-04 28809423.E-04 13380231.E-04 
1280010.E-03 15382584.E-04 18782065.E-04 20381955.E-04 13142558.E-04 
1440010.E-03 18890671.E-04 23110956.E-04 26552868.E-04 11622443.E-04 
1600010.E-03 23693254.E-04 29645280.E-04 36666187.E-04 18315693.E-04 
1760010.E-03 20128461.E-04 23465879.E-04 29524477.E-04 14718648.E-04 
1920010.E-03 22657756.E-04 25217815.E-04 30526381.E-04 12938240.E-04 
2080010.E-03 21777132.E-04 27401105.E-04 30581879.E-04 14868717.E-04 
2240010.E-03 22086379.E-04 26871263.E-04 28980076.E-04 15498132.E-04 
2400010.E-03 16898842.E-04 21920152.E-04 34883065.E-04 16404525.E-04 
2560010.E-03 22159197.E-04 27813772.E-04 32364307.E-04 15370345.E-04 
2720010.E-03 18385325.E-04 23241181.E-04 35063843.E-04 16964754.E-04 
2880010.E-03 17183481.E-04 21082404.E-04 27795536.E-04 14026772.E-04 
3040010.E-03 17527543.E-04 22452172.E-04 29312695.E-04 15279365.E-04 
3200010.E-03 18834411.E-04 23174612.E-04 29575664.E-04 13607063.E-04 
3360010.E-03 19647613.E-04 24266796.E-04 31806834.E-04 15156631.E-04 
3520010.E-03 24054947.E-04 30732279.E-04 35369011.E-04 18555137.E-04 
