====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =8000.00
 Total Target Vacancies     = 7827 /Ion
 Total Target Displacements = 8032 /Ion
 Total Target Replacement Collisions = 205 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
1600100.E-04   0000.008239
3200100.E-04   0000.011391
4800100.E-04   0000.012069
6400100.E-04   0000.012908
8000100.E-04   0000.013660
9600100.E-04   0000.014286
1120010.E-03   0000.014961
1280010.E-03   0000.015193
1440010.E-03   0000.015795
1600010.E-03   0000.016172
1760010.E-03   0000.017328
1920010.E-03   0000.018261
2080010.E-03   0000.018572
2240010.E-03   0000.019454
2400010.E-03   0000.019638
2560010.E-03   0000.019265
2720010.E-03   0000.019695
2880010.E-03   0000.020686
3040010.E-03   0000.022220
3200010.E-03   0000.023084
3360010.E-03   0000.023853
3520010.E-03   0000.022888
3680010.E-03   0000.023089
3840010.E-03   0000.024987
4000010.E-03   0000.024867
4160010.E-03   0000.025512
4320010.E-03   0000.025813
4480010.E-03   0000.027433
4640010.E-03   0000.027220
4800010.E-03   0000.027757
4960010.E-03   0000.027964
5120010.E-03   0000.029047
5280010.E-03   0000.028933
5440010.E-03   0000.027995
5600010.E-03   0000.029618
5760010.E-03   0000.029344
5920010.E-03   0000.030682
6080010.E-03   0000.030784
6240010.E-03   0000.031237
6400010.E-03   0000.031074
6560010.E-03   0000.031054
6720010.E-03   0000.029600
6880010.E-03   0000.028792
7040010.E-03   0000.028667
7200010.E-03   0000.027691
7360010.E-03   0000.025947
7520010.E-03   0000.025017
7680010.E-03   0000.023715
7840010.E-03   0000.022209
8000010.E-03   0000.020415
8160010.E-03   0000.019061
8320010.E-03   0000.017482
8480010.E-03   0000.015586
8640010.E-03   0000.014229
8800010.E-03   0000.012590
8960010.E-03   0000.010205
9120010.E-03   0000.009023
9280010.E-03   0000.007583
9440010.E-03   0000.006487
9600010.E-03   0000.005705
9760010.E-03   0000.004353
9920010.E-03   0000.003408
1008001.E-02   0000.002562
1024001.E-02   0000.001837
1040001.E-02   0000.001123
1056001.E-02   0000.000754
1072001.E-02   0000.000558
1088001.E-02   0000.000408
1104001.E-02   0000.000345
1120001.E-02   0000.000138
1136001.E-02   0000.000073
1152001.E-02   0000.000065
1168001.E-02   0000.000037
1184001.E-02   0000.000000
1200001.E-02   0000.000000
1216001.E-02   0000.000000
1232001.E-02   0000.000000
1248001.E-02   0000.000000
1264001.E-02   0000.000000
1280001.E-02   0000.000000
1296001.E-02   0000.000000
1312001.E-02   0000.000000
1328001.E-02   0000.000000
1344001.E-02   0000.000000
1360001.E-02   0000.000000
1376001.E-02   0000.000000
1392001.E-02   0000.000000
1408001.E-02   0000.000000
1424001.E-02   0000.000000
1440001.E-02   0000.000000
1456001.E-02   0000.000000
1472001.E-02   0000.000000
1488001.E-02   0000.000000
1504001.E-02   0000.000000
1520001.E-02   0000.000000
1536001.E-02   0000.000000
1552001.E-02   0000.000000
1568001.E-02   0000.000000
1584001.E-02   0000.000000
1600001.E-02   0000.000000
