====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ar   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =8000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
160010.E-03  194127.E-06  106212.E-04
320010.E-03  195865.E-06  146736.E-04
480010.E-03  202134.E-06  156910.E-04
640010.E-03  205405.E-06  164278.E-04
800010.E-03  207031.E-06  177760.E-04
960010.E-03  211373.E-06  184757.E-04
112001.E-02  216264.E-06  194066.E-04
128001.E-02  219059.E-06  194743.E-04
144001.E-02  223847.E-06  205868.E-04
160001.E-02  230531.E-06  209360.E-04
176001.E-02  234201.E-06  222389.E-04
192001.E-02  238189.E-06  234561.E-04
208001.E-02  240022.E-06  243189.E-04
224001.E-02  245798.E-06  246597.E-04
240001.E-02  249027.E-06  251773.E-04
256001.E-02  253826.E-06  248235.E-04
272001.E-02  259253.E-06  252918.E-04
288001.E-02  267159.E-06  267898.E-04
304001.E-02  275679.E-06  289043.E-04
320001.E-02  283004.E-06  297580.E-04
336001.E-02  289221.E-06  308621.E-04
352001.E-02  290422.E-06  295216.E-04
368001.E-02  296930.E-06  296910.E-04
384001.E-02  305174.E-06  322844.E-04
400001.E-02  314958.E-06  321984.E-04
416001.E-02  321974.E-06  326844.E-04
432001.E-02  324722.E-06  330388.E-04
448001.E-02  328135.E-06  349267.E-04
464001.E-02  336540.E-06  350901.E-04
480001.E-02  340020.E-06  357647.E-04
496001.E-02  344559.E-06  358459.E-04
512001.E-02  347880.E-06  373600.E-04
528001.E-02  355394.E-06  371358.E-04
544001.E-02  362668.E-06  366440.E-04
560001.E-02  372728.E-06  383439.E-04
576001.E-02  376438.E-06  378482.E-04
592001.E-02  387894.E-06  397514.E-04
608001.E-02  374473.E-06  395611.E-04
624001.E-02  384891.E-06  400000.E-04
640001.E-02  386830.E-06  400377.E-04
656001.E-02  391288.E-06  399241.E-04
672001.E-02  375279.E-06  381744.E-04
688001.E-02  368661.E-06  371452.E-04
704001.E-02  373015.E-06  369394.E-04
720001.E-02  364414.E-06  355424.E-04
736001.E-02  339455.E-06  334804.E-04
752001.E-02  328375.E-06  320873.E-04
768001.E-02  311601.E-06  304478.E-04
784001.E-02  294985.E-06  288753.E-04
800001.E-02  282822.E-06  266069.E-04
816001.E-02  264611.E-06  246775.E-04
832001.E-02  241436.E-06  225158.E-04
848001.E-02  216801.E-06  201395.E-04
864001.E-02  198035.E-06  182770.E-04
880001.E-02  175170.E-06  160404.E-04
896001.E-02  150533.E-06  130738.E-04
912001.E-02  137609.E-06  115524.E-04
928001.E-02  125565.E-06  100412.E-04
944001.E-02  103817.E-06  831148.E-05
960001.E-02  898945.E-07  732943.E-05
976001.E-02  718783.E-07  561042.E-05
992001.E-02  569707.E-07  448287.E-05
100800.E-01  442380.E-07  332297.E-05
102400.E-01  300872.E-07  233689.E-05
104000.E-01  202335.E-07  148481.E-05
105600.E-01  156329.E-07  958773.E-06
107200.E-01  105979.E-07  727580.E-06
108800.E-01  795221.E-08  542442.E-06
110400.E-01  624197.E-08  441301.E-06
112000.E-01  257844.E-08  191052.E-06
113600.E-01  141709.E-08  904673.E-07
115200.E-01  840445.E-09  807556.E-07
116800.E-01  731415.E-09  533702.E-07
118400.E-01  484030.E-10  300416.E-08
120000.E-01  000000.E+00  000000.E+00
121600.E-01  000000.E+00  000000.E+00
123200.E-01  000000.E+00  000000.E+00
124800.E-01  000000.E+00  000000.E+00
126400.E-01  000000.E+00  000000.E+00
128000.E-01  000000.E+00  000000.E+00
129600.E-01  000000.E+00  000000.E+00
131200.E-01  000000.E+00  000000.E+00
132800.E-01  000000.E+00  000000.E+00
134400.E-01  000000.E+00  000000.E+00
136000.E-01  000000.E+00  000000.E+00
137600.E-01  000000.E+00  000000.E+00
139200.E-01  000000.E+00  000000.E+00
140800.E-01  000000.E+00  000000.E+00
142400.E-01  000000.E+00  000000.E+00
144000.E-01  000000.E+00  000000.E+00
145600.E-01  000000.E+00  000000.E+00
147200.E-01  000000.E+00  000000.E+00
148800.E-01  000000.E+00  000000.E+00
150400.E-01  000000.E+00  000000.E+00
152000.E-01  000000.E+00  000000.E+00
153600.E-01  000000.E+00  000000.E+00
155200.E-01  000000.E+00  000000.E+00
156800.E-01  000000.E+00  000000.E+00
158400.E-01  000000.E+00  000000.E+00
160000.E-01  000000.E+00  000000.E+00
