============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=160000.E-01 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.2639E+03 -2.6906E+02  4.2579E+02
0000002   8.0945E+03 -1.7176E+03 -2.8226E+03
0000003   8.2018E+03 -3.6055E+01 -4.6322E+02
0000004   4.5012E+03  7.9514E+02  1.3098E+03
0000005   7.6267E+03 -3.1519E+03  1.6484E+03
0000006   7.3163E+03  3.2242E+03  3.1028E+03
0000007   6.4677E+03 -4.2554E+02  1.1740E+03
0000008   6.1147E+03 -3.1823E+03  2.0150E+03
0000009   5.4682E+03 -2.3531E+03  9.3508E+02
0000010   8.9687E+03  2.2246E+01 -1.8146E+03
0000011   5.7217E+03  3.8432E+03  3.1586E+03
0000012   6.8528E+03  1.5996E+03  3.0310E+02
0000013   9.8852E+03 -9.7731E+02 -1.1109E+03
0000014   4.9831E+02  2.4201E+03  3.6507E+03
0000015   8.7994E+03 -7.3075E+01  3.7597E+02
0000016   5.9480E+03  6.7331E+02  2.7512E+01
0000017   9.0057E+03 -2.7665E+02 -3.5549E+02
0000018   8.5121E+03 -2.3730E+03  1.1093E+03
0000019   9.3567E+03 -8.4209E+02 -2.1092E+03
0000020   7.6526E+03 -2.5880E+03 -3.6212E+02
0000021   7.7317E+03 -2.2778E+03  2.3548E+03
0000022   6.9091E+03 -5.1731E+02  1.4706E+03
0000023   8.1168E+03 -1.2108E+03 -5.3910E+03
0000024   5.8227E+03  1.2860E+03  3.1613E+03
0000025   9.7781E+03 -7.7834E+02  1.8304E+02
0000026   6.7702E+03 -1.9038E+03  1.2131E+03
0000027   6.7803E+03 -2.1558E+03 -1.5734E+03
0000028   6.9740E+03 -8.7469E+02 -2.4063E+02
0000029   6.0794E+03  1.0077E+03 -1.6476E+02
0000030   3.8735E+03 -4.9719E+03 -3.9821E+03
0000031   6.1035E+03  6.8080E+02  1.1850E+03
0000032   8.1863E+03  1.4939E+03 -1.7546E+03
0000033   9.3027E+03  2.6235E+03  2.0728E+03
0000034   9.2820E+03  1.3064E+03 -3.0873E+03
0000035   7.7460E+03  3.6263E+03  9.3399E+01
0000036   7.8837E+03 -5.7816E+03  2.2498E+03
0000037   8.0106E+03 -9.4904E+02  2.8864E+03
0000038   7.4025E+03 -3.5277E+03  2.3843E+03
0000039   7.3926E+03  3.1713E+03 -2.1398E+03
0000040   1.0700E+04 -4.7783E+02 -3.0875E+01
0000041   8.4010E+03 -2.1198E+03  3.1909E+02
0000042   8.6488E+03 -1.2610E+03  1.2143E+03
0000043   6.5587E+03  3.8062E+03 -3.2418E+03
0000044   5.4146E+03  4.2054E+03  1.2903E+03
0000045   8.1025E+03  2.4345E+03  3.1558E+03
0000046   6.0161E+03  2.3440E+01 -2.0292E+03
0000047   5.7657E+03  4.3523E+03 -2.3708E+03
0000048   8.7069E+03 -9.8845E+02 -2.2229E+03
0000049   6.7112E+03  9.0334E+01  2.2487E+03
0000050   8.5994E+03  9.5540E+02  1.9952E+03
0000051   4.8785E+03  2.9507E+03  1.6788E+03
0000052   5.0640E+03 -3.7732E+03 -1.6555E+03
0000053   5.5834E+03  7.7455E+02 -1.9899E+02
0000054   3.8597E+03  1.1485E+03 -4.2579E+03
0000055   7.3509E+03 -1.5071E+03  1.7363E+03
0000056   5.7050E+03 -3.6934E+03  1.1585E+03
0000057   7.8238E+03 -8.1428E+02 -3.4619E+02
0000058   3.6383E+03 -2.3140E+03 -8.8245E+02
0000059   7.4856E+03  1.7358E+02  7.1454E+02
0000060   7.2058E+03 -4.1198E+02  1.4301E+03
0000061   5.1510E+03  3.9903E+01 -7.4277E+02
0000062   5.2557E+03 -4.6052E+02  3.9065E+03
0000063   4.8673E+03 -3.3654E+03  6.4184E+02
0000064   8.5558E+03 -1.4218E+03 -9.1094E+02
0000065   8.7261E+03 -1.2129E+03 -1.2253E+03
0000066   3.9369E+03  2.1990E+02 -2.0962E+03
0000067   6.6608E+03  1.1949E+03 -8.6395E+02
0000068   5.7097E+03  1.2524E+03  2.3952E+02
0000069   6.8036E+03 -2.6800E+03  2.0032E+03
0000070   6.2398E+03  2.9472E+03  3.1108E+03
0000071   8.8573E+03 -2.8270E+03  1.8664E+03
0000072   8.0516E+03 -1.4011E+03 -2.7656E+03
0000073   1.0651E+04  1.4749E+03  2.4492E+03
0000074   4.8500E+03 -4.0930E+03  1.0980E+03
0000075   7.5048E+03 -2.3344E+03 -6.0516E+02
0000076   7.5594E+03 -1.2471E+03 -1.1892E+02
0000077   7.3495E+03  1.2089E+03  3.5428E+03
0000078   8.9212E+03 -8.2163E+02  3.5229E+03
0000079   6.8755E+03 -1.1271E+03  1.1937E+03
0000080   7.5321E+03  6.4497E+02 -5.2670E+02
0000081   9.5854E+03  1.0647E+03  6.9049E+02
0000082   1.0143E+04 -3.5084E+03  5.9736E+00
0000083   4.6800E+03  2.1104E+03  8.3755E+02
0000084   7.0503E+03 -2.9612E+03 -1.0843E+03
0000085   5.4418E+03  4.2363E+03  7.2641E+02
0000086   6.1566E+03  2.5235E+02  4.5539E+03
0000087   9.4948E+03  2.1416E+03 -2.0273E+03
0000088   8.1241E+03 -1.8669E+03  1.7557E+03
0000089   7.9726E+03 -1.1781E+02  1.5420E+02
0000090   6.9700E+03  9.3146E+02 -3.5319E+02
0000091   4.6587E+03 -9.1138E+02  3.1274E+03
0000092   3.6954E+03 -3.3348E+03  2.1486E+03
0000093   4.9970E+03 -1.7953E+03  4.6362E+03
0000094   3.4892E+03 -6.5093E+03  6.1367E+01
0000095   9.5804E+03 -2.1062E+03 -1.4567E+03
0000096   6.0274E+03  1.5959E+03  5.6340E+03
0000097   6.9345E+03  1.9568E+03  4.9504E+03
0000098   6.1065E+03  2.0426E+03 -2.2773E+02
0000099   8.6072E+03  1.2765E+02  2.3544E+03
0000100   5.7189E+03 -5.1500E+02 -3.3151E+03
0000101   9.4298E+03  5.9043E+02 -6.6168E+02
0000102   9.3744E+03  3.4740E+02  2.5434E+02
0000103   7.8010E+03  2.6012E+02  3.9654E+02
0000104   3.2744E+03  1.1602E+03 -2.9899E+03
0000105   7.1049E+03  4.8864E+03 -1.4456E+03
0000106   6.5850E+03  1.1977E+03 -2.6496E+03
