====== 1MeV Ar into GaAs (sputter) =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Ar(1 MeV) ==> GaAs(  1.6 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ar   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =8000.00
 Total Target Vacancies     = 7827 /Ion
 Total Target Displacements = 8032 /Ion
 Total Target Replacement Collisions = 205 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Ar           Ga           As       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
160010.E-03  1281.60E-05  1590.34E-04  1592.00E-04  
320010.E-03  1408.21E-05  2167.74E-04  2167.32E-04  
480010.E-03  1448.12E-05  2312.15E-04  2315.56E-04  
640010.E-03  1468.90E-05  2420.43E-04  2424.60E-04  
800010.E-03  1493.73E-05  2621.28E-04  2625.21E-04  
960010.E-03  1528.10E-05  2730.30E-04  2731.92E-04  
112001.E-02  1566.37E-05  2868.04E-04  2868.74E-04  
128001.E-02  1587.15E-05  2882.09E-04  2882.11E-04  
144001.E-02  1648.13E-05  3038.80E-04  3052.00E-04  
160001.E-02  1691.69E-05  3095.76E-04  3104.37E-04  
176001.E-02  1710.69E-05  3301.40E-04  3300.75E-04  
192001.E-02  1758.00E-05  3475.96E-04  3497.76E-04  
208001.E-02  1816.89E-05  3611.03E-04  3614.79E-04  
224001.E-02  1832.92E-05  3659.39E-04  3667.66E-04  
240001.E-02  1874.45E-05  3743.31E-04  3742.36E-04  
256001.E-02  1909.40E-05  3690.94E-04  3691.21E-04  
272001.E-02  1960.47E-05  3758.26E-04  3756.55E-04  
288001.E-02  2008.95E-05  3977.38E-04  3990.94E-04  
304001.E-02  2093.41E-05  4306.40E-04  4309.51E-04  
320001.E-02  2203.59E-05  4428.12E-04  4436.44E-04  
336001.E-02  2260.52E-05  4595.35E-04  4601.94E-04  
352001.E-02  2248.09E-05  4386.82E-04  4400.71E-04  
368001.E-02  2283.91E-05  4421.34E-04  4425.63E-04  
384001.E-02  2374.54E-05  4810.23E-04  4822.36E-04  
400001.E-02  2490.67E-05  4789.90E-04  4803.73E-04  
416001.E-02  2536.89E-05  4879.19E-04  4881.12E-04  
432001.E-02  2553.86E-05  4925.71E-04  4947.26E-04  
448001.E-02  2614.70E-05  5203.43E-04  5218.90E-04  
464001.E-02  2696.18E-05  5229.99E-04  5241.60E-04  
480001.E-02  2717.46E-05  5326.36E-04  5345.10E-04  
496001.E-02  2815.13E-05  5357.90E-04  5343.77E-04  
512001.E-02  2866.98E-05  5572.94E-04  5588.92E-04  
528001.E-02  2898.49E-05  5546.62E-04  5542.05E-04  
544001.E-02  2963.79E-05  5456.92E-04  5481.35E-04  
560001.E-02  3050.98E-05  5730.44E-04  5726.59E-04  
576001.E-02  3111.28E-05  5647.94E-04  5657.79E-04  
592001.E-02  3207.70E-05  5940.63E-04  5950.41E-04  
608001.E-02  3151.00E-05  5903.68E-04  5914.91E-04  
624001.E-02  3228.11E-05  5982.89E-04  5985.29E-04  
640001.E-02  3218.96E-05  5976.60E-04  5989.01E-04  
656001.E-02  3291.45E-05  5960.39E-04  5970.73E-04  
672001.E-02  3146.15E-05  5694.79E-04  5699.09E-04  
688001.E-02  3112.29E-05  5549.24E-04  5554.02E-04  
704001.E-02  3192.22E-05  5520.76E-04  5511.63E-04  
720001.E-02  3129.11E-05  5299.39E-04  5305.52E-04  
736001.E-02  2955.66E-05  4997.97E-04  4991.99E-04  
752001.E-02  2852.27E-05  4774.58E-04  4781.61E-04  
768001.E-02  2714.56E-05  4539.26E-04  4547.32E-04  
784001.E-02  2567.15E-05  4301.18E-04  4304.11E-04  
800001.E-02  2484.73E-05  3961.92E-04  3960.33E-04  
816001.E-02  2349.60E-05  3664.35E-04  3665.22E-04  
832001.E-02  2145.41E-05  3346.62E-04  3342.88E-04  
848001.E-02  1928.17E-05  2984.46E-04  2983.06E-04  
864001.E-02  1745.65E-05  2703.90E-04  2704.53E-04  
880001.E-02  1534.74E-05  2370.19E-04  2374.40E-04  
896001.E-02  1353.38E-05  1932.39E-04  1940.72E-04  
912001.E-02  1221.46E-05  1707.35E-04  1710.44E-04  
928001.E-02  1117.97E-05  1487.18E-04  1489.43E-04  
944001.E-02  9283.26E-06  1226.59E-04  1230.75E-04  
960001.E-02  8263.19E-06  1090.04E-04  1083.77E-04  
976001.E-02  6387.09E-06  8340.39E-05  8312.84E-05  
992001.E-02  5013.99E-06  6653.72E-05  6621.12E-05  
100800.E-01  3992.36E-06  4935.40E-05  4938.22E-05  
102400.E-01  2778.22E-06  3451.61E-05  3488.52E-05  
104000.E-01  1825.04E-06  2187.48E-05  2187.80E-05  
105600.E-01  1372.67E-06  1412.97E-05  1415.86E-05  
107200.E-01  9312.40E-07  1065.17E-05  1079.77E-05  
108800.E-01  7171.81E-07  7960.14E-06  8185.87E-06  
110400.E-01  6054.64E-07  6512.06E-06  6610.47E-06  
112000.E-01  2070.32E-07  2764.16E-06  2807.91E-06  
113600.E-01  1265.63E-07  1342.20E-06  1328.92E-06  
115200.E-01  9375.01E-08  1217.19E-06  1208.60E-06  
116800.E-01  5546.87E-08  8335.86E-07  7578.05E-07  
118400.E-01  8593.75E-09  4296.87E-08  4531.25E-08  
120000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
121600.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
123200.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
124800.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
126400.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
129600.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
131200.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
132800.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
134400.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
137600.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
139200.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
140800.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
142400.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
145600.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
147200.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
148800.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
150400.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
153600.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
155200.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
156800.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
158400.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
