====== 100 keV H into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.=  H(100 keV) ==> GaAs(  2 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
200010.E-03  2148.01E-05  1052.57E-05  1099.94E-05  
400010.E-03  2237.81E-05  1091.45E-05  1159.86E-05  
600010.E-03  2445.18E-05  1268.26E-05  1199.72E-05  
800010.E-03  2680.79E-05  1266.11E-05  1443.78E-05  
100001.E-02  2736.55E-05  1284.27E-05  1497.13E-05  
120001.E-02  2652.79E-05  1243.48E-05  1472.16E-05  
140001.E-02  2733.37E-05  1345.36E-05  1465.42E-05  
160001.E-02  2732.33E-05  1235.47E-05  1547.11E-05  
180001.E-02  2727.50E-05  1268.13E-05  1511.87E-05  
200001.E-02  2785.84E-05  1361.83E-05  1479.81E-05  
220001.E-02  2676.01E-05  1240.44E-05  1498.87E-05  
240001.E-02  2932.69E-05  1398.60E-05  1597.24E-05  
260001.E-02  2973.22E-05  1580.01E-05  1458.17E-05  
280001.E-02  2875.98E-05  1435.23E-05  1509.00E-05  
300001.E-02  2949.35E-05  1581.30E-05  1439.75E-05  
320001.E-02  3150.10E-05  1639.93E-05  1580.07E-05  
340001.E-02  3374.18E-05  1750.82E-05  1694.61E-05  
360001.E-02  3665.47E-05  1982.67E-05  1769.34E-05  
380001.E-02  4015.60E-05  2092.18E-05  2014.17E-05  
400001.E-02  4110.28E-05  2070.59E-05  2144.99E-05  
420001.E-02  4082.53E-05  2140.54E-05  2048.94E-05  
440001.E-02  4155.50E-05  1929.91E-05  2334.64E-05  
460001.E-02  4351.15E-05  2094.19E-05  2382.21E-05  
480001.E-02  4896.31E-05  2448.55E-05  2571.51E-05  
500001.E-02  5336.83E-05  2805.22E-05  2665.41E-05  
520001.E-02  5706.14E-05  2956.00E-05  2909.28E-05  
540001.E-02  6075.72E-05  3232.75E-05  3016.37E-05  
560001.E-02  6465.55E-05  3285.22E-05  3371.58E-05  
580001.E-02  7071.79E-05  3833.36E-05  3450.38E-05  
600001.E-02  7834.49E-05  4101.93E-05  3985.91E-05  
620001.E-02  8234.74E-05  4174.53E-05  4328.11E-05  
640001.E-02  8356.63E-05  4205.25E-05  4446.13E-05  
660001.E-02  8800.94E-05  4617.23E-05  4528.25E-05  
680001.E-02  9404.10E-05  4923.58E-05  4838.27E-05  
700001.E-02  9478.26E-05  5030.49E-05  4846.77E-05  
720001.E-02  1021.35E-04  5483.46E-05  5157.88E-05  
740001.E-02  9460.53E-05  4967.56E-05  4938.48E-05  
760001.E-02  9156.90E-05  4880.11E-05  4698.89E-05  
780001.E-02  8260.81E-05  4245.65E-05  4435.91E-05  
800001.E-02  7316.25E-05  3866.41E-05  3833.39E-05  
820001.E-02  5865.33E-05  3202.33E-05  2985.80E-05  
840001.E-02  4408.29E-05  2342.35E-05  2326.94E-05  
860001.E-02  3090.45E-05  1670.80E-05  1607.00E-05  
880001.E-02  2372.99E-05  1372.53E-05  1144.01E-05  
900001.E-02  1317.70E-05  6863.07E-06  7191.44E-06  
920001.E-02  7895.51E-06  4560.34E-06  3885.67E-06  
940001.E-02  4583.19E-06  2491.59E-06  2454.60E-06  
960001.E-02  2389.52E-06  1153.05E-06  1401.46E-06  
980001.E-02  9728.43E-07  4478.04E-07  5895.40E-07  
100000.E-01  4875.74E-07  3087.32E-07  2163.43E-07  
102000.E-01  2052.49E-07  1967.69E-07  2497.99E-08  
104000.E-01  1683.56E-07  1366.16E-07  4074.07E-08  
106000.E-01  9448.86E-09  0000.00E+00  1094.89E-08  
108000.E-01  6212.25E-08  6512.25E-08  0000.00E+00  
110000.E-01  4183.91E-08  2682.73E-08  1801.18E-08  
112000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
114000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
116000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
118000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
122000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
124000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
126000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
