====== 100 keV H into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  H(100 keV) ==> GaAs(  2 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  1270.79E-02  3196.43E-07
400010.E-03  1271.00E-02  5129.43E-07
600010.E-03  1273.12E-02  1118.29E-06
800010.E-03  1282.03E-02  1725.69E-06
100001.E-02  1294.31E-02  3340.92E-06
120001.E-02  1300.36E-02  4250.32E-06
140001.E-02  1310.78E-02  6704.60E-06
160001.E-02  1315.17E-02  2852.70E-06
180001.E-02  1315.40E-02  4375.02E-06
200001.E-02  1322.46E-02  4240.94E-06
220001.E-02  1318.76E-02  3116.66E-06
240001.E-02  1325.87E-02  4306.77E-06
260001.E-02  1333.58E-02  4646.75E-06
280001.E-02  1339.07E-02  3798.22E-06
300001.E-02  1343.00E-02  4667.42E-06
320001.E-02  1346.10E-02  4335.78E-06
340001.E-02  1352.56E-02  4633.26E-06
360001.E-02  1355.83E-02  5103.97E-06
380001.E-02  1358.51E-02  4855.27E-06
400001.E-02  1365.95E-02  6465.65E-06
420001.E-02  1359.88E-02  6789.27E-06
440001.E-02  1351.64E-02  6220.07E-06
460001.E-02  1342.42E-02  5893.39E-06
480001.E-02  1345.68E-02  6657.39E-06
500001.E-02  1342.69E-02  7705.95E-06
520001.E-02  1324.69E-02  8140.85E-06
540001.E-02  1314.98E-02  8778.69E-06
560001.E-02  1291.34E-02  9593.53E-06
580001.E-02  1258.67E-02  9671.15E-06
600001.E-02  1245.27E-02  1121.32E-05
620001.E-02  1205.55E-02  1212.16E-05
640001.E-02  1159.88E-02  1189.68E-05
660001.E-02  1109.35E-02  1299.44E-05
680001.E-02  1037.71E-02  1339.19E-05
700001.E-02  9618.03E-03  1420.94E-05
720001.E-02  8762.79E-03  1511.74E-05
740001.E-02  7914.43E-03  1522.16E-05
760001.E-02  6895.85E-03  1398.98E-05
780001.E-02  5800.07E-03  1340.95E-05
800001.E-02  4773.49E-03  1216.07E-05
820001.E-02  3674.17E-03  9955.26E-06
840001.E-02  2730.64E-03  7746.99E-06
860001.E-02  1907.07E-03  5872.10E-06
880001.E-02  1286.35E-03  4367.68E-06
900001.E-02  8115.43E-04  2571.89E-06
920001.E-02  4941.96E-04  1656.26E-06
940001.E-02  2683.90E-04  1037.56E-06
960001.E-02  1381.61E-04  5077.00E-07
980001.E-02  5115.60E-05  2103.35E-07
100000.E-01  3233.87E-05  1285.88E-07
102000.E-01  1329.42E-05  5437.86E-08
104000.E-01  3519.47E-06  2688.08E-08
106000.E-01  1290.71E-06  4270.76E-09
108000.E-01  2755.58E-06  7506.46E-09
110000.E-01  4800.70E-07  9714.31E-09
112000.E-01  5616.26E-08  3146.77E-10
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
